version 1, schema campaign_map_towns_and_ports_tables
Town_ID(string)	Slot(string)	Name(string)
"town:eur_aquitaine:mont_de_marsan"	"town-commercial"	"Mont-de-Marsan"
"town:eur_austria:graz"	"town-intellectual"	"Graz"
"town:eur_austria:linz"	"town-commercial"	"Linz"
"town:eur_austria:salzburg"	"town-intellectual"	"Salzburg"
"town:eur_baden_wurttemberg:heidelberg"	"town-intellectual"	"Heidelberg"
"town:eur_balkans:sarajevo"	"town-commercial"	"Sarajevo"
"town:eur_bavaria:augsburg"	"town-industrial"	"Augsburg"
"town:eur_bavaria:regensburg"	"town-intellectual"	"Regensburg"
"town:eur_belarus:vitebsk"	"town-industrial"	"Vitebsk"
"town:eur_belgorod_guberniya:bryansk"	"town-commercial"	"Bryansk"
"town:eur_bohemia:budweis"	"town-commercial"	"Budweis"
"town:eur_brandenburg:kustrin"	"town-commercial"	"Küstrin"
"town:eur_brandenburg:magdeburg"	"town-intellectual"	"Magdeburg"
"town:eur_brandenburg:potsdam"	"town-commercial"	"Potsdam"
"town:eur_catalonia:cervera"	"town-intellectual"	"Cervera"
"town:eur_cleves_mark:munster"	"town-industrial"	"Münster"
"town:eur_courland:kuldiga"	"town-intellectual"	"Kuldīga"
"town:eur_croatia:rijeka"	"town-commercial"	"Rijeka"
"town:eur_denmark:hamburg"	"town-commercial"	"Hamburg"
"town:eur_denmark:schleswig"	"town-intellectual"	"Schleswig"
"town:eur_east_prussia:gumbinnen"	"town-industrial"	"Gumbinnen"
"town:eur_england:birmingham"	"town-industrial"	"Birmingham"
"town:eur_england:manchester"	"town-industrial"	"Manchester"
"town:eur_england:oxford"	"town-intellectual"	"Oxford"
"town:eur_england:york"	"town-commercial"	"York"
"town:eur_finland:helsinki"	"town-commercial"	"Helsinki"
"town:eur_flanders_wallonia:liege"	"town-intellectual"	"Liège"
"town:eur_france:clermont_ferrand"	"town-industrial"	"Clermont-Ferrand"
"town:eur_france:dijon_tut"	"town-industrial"	"Dijon"
"town:eur_france:lyons"	"town-commercial"	"Lyons"
"town:eur_france:orleans"	"town-intellectual"	"Orléans"
"town:eur_galicia:rzeszow"	"town-commercial"	"Rzeszów"
"town:eur_greater_poland:cracow"	"town-intellectual"	"Cracow"
"town:eur_greater_poland:lodz"	"town-industrial"	"Łódź"
"town:eur_greece:thessaloniki"	"town-commercial"	"Thessaloniki"
"town:eur_hannover:braunschweig"	"town-commercial"	"Braunschweig"
"town:eur_hessen_nassau:frankfurt"	"town-commercial"	"Frankfurt"
"town:eur_holland:utrecht"	"town-intellectual"	"Utrecht"
"town:eur_hungary:debreczin"	"town-industrial"	"Debreczin"
"town:eur_ingria:narva"	"town-commercial"	"Narva"
"town:eur_ireland:cork"	"town-commercial"	"Cork"
"town:eur_kiev_guberniya:poltava"	"town-commercial"	"Poltava"
"town:eur_lithuania:grodno"	"town-industrial"	"Grodno"
"town:eur_little_tatary:rostov"	"town-industrial"	"Rostov-on-Don"
"town:eur_little_tatary:sevastopol"	"town-commercial"	"Sevastopol"
"town:eur_moldova_bessarabia:chisinau"	"town-commercial"	"Chisinau"
"town:eur_moravia:brunn"	"town-industrial"	"Brünn"
"town:eur_moscow_guberniya:nizhny_novgorod"	"town-intellectual"	"Nizhny Novgorod"
"town:eur_moscow_guberniya:ryazan"	"town-commercial"	"Ryazan"
"town:eur_moscow_guberniya:yaroslavl"	"town-industrial"	"Yaroslavl"
"town:eur_naples:potenza"	"town-industrial"	"Potenza"
"town:eur_navarra:bilbao"	"town-industrial"	"Bilbao"
"town:eur_normandie:rouen"	"town-industrial"	"Rouen"
"town:eur_northern_italy:florence"	"town-intellectual"	"Florence"
"town:eur_novgorod:tver"	"town-commercial"	"Novgorod"
"town:eur_papal_state:perugia"	"town-intellectual"	"Perugia"
"town:eur_pays_d_oc:montpellier"	"town-commercial"	"Montpellier"
"town:eur_picardie_champagne:amiens"	"town-industrial"	"Amiens"
"town:eur_picardie_champagne:brienne_tut"	"town-intellectual"	"Brienne"
"town:eur_portugal:evora"	"town-commercial"	"Evora"
"town:eur_provence:niece"	"town-commercial"	"Nice"
"town:eur_rumelia:edirne"	"town-intellectual"	"Edirne"
"town:eur_rumelia:sofia"	"town-intellectual"	"Sofia"
"town:eur_saxony_thuringia:erfurt"	"town-intellectual"	"Erfurt"
"town:eur_silesia:glogau"	"town-industrial"	"Glogau"
"town:eur_spain:granada"	"town-commercial"	"Granada"
"town:eur_spain:salamanca"	"town-intellectual"	"Salamanca"
"town:eur_spain:sevilla"	"town-industrial"	"Sevilla"
"town:eur_sweden:goteborg"	"town-intellectual"	"Göteborg"
"town:eur_switzerland:zurich"	"town-commercial"	"Zürich"
"town:eur_transylvania:hermannstadt"	"town-industrial"	"Hermannstadt"
"town:eur_tyrol:trient"	"town-industrial"	"Trient"
"town:eur_volhynia_podolia:letychiv"	"town-industrial"	"Letychiv"
"town:eur_wales:swansea"	"town-industrial"	"Swansea"
"town:eur_wallachia:craiova"	"town-industrial"	"Craiova"
"town:eur_west_prussia:thorn"	"town-commercial"	"Thorn"
"town:ita_alpes_maritimes:antibes"	"town-commercial"	"Antibes"
"town:ita_ancona:fano"	"town-commercial"	"Fano"
"town:ita_brescia:bergamo"	"town-industrial"	"Bergamo"
"town:ita_cuneo:mondovi"	"town-commercial"	"Mondovi"
"town:ita_emilio_romagna:cesena"	"town-industrial"	"Cesena"
"town:ita_friuli:cordenone"	"town-industrial"	"Pordenone"
"town:ita_liguria:savona"	"town-commercial"	"Savona"
"town:ita_lissandria:novi"	"town-industrial"	"Novi"
"town:ita_mantova:castiglione"	"town-commercial"	"Castiglione"
"town:ita_milano:como"	"town-industrial"	"Como"
"town:ita_modena:reggio"	"town-commercial"	"Reggio"
"town:ita_padova:rovigo"	"town-commercial"	"Rovigo"
"town:ita_parma:piacenza"	"town-commercial"	"Piacenza"
"town:ita_trento:bozen"	"town-commercial"	"Bozen"
"town:ita_tuscany:livorno"	"town-commercial"	"Livorno"
"town:ita_verona:vicenza"	"town-industrial"	"Vicenza"
"town:spa_alentejo:beja"	"town-intellectual"	"Beja"
"town:spa_alentejo:portalegre"	"town-industrial"	"Portalegre"
"town:spa_algarves:silves"	"town-commercial"	"Silves"
"town:spa_asturias:gijon"	"town-intellectual"	"Gijón"
"town:spa_badajoz:zafra"	"town-industrial"	"Zafra"
"town:spa_burgos:palencia"	"town-commercial"	"Palencia"
"town:spa_caceres:plasencia"	"town-commercial"	"Plasencia"
"town:spa_castilla_la_nueva:talavera_de_la_reina"	"town-intellectual"	"Talavera de la Reina"
"town:spa_castilla_la_nueva:toledo"	"town-industrial"	"Toledo"
"town:spa_castilla_la_vieja:avila"	"town-intellectual"	"Ávila"
"town:spa_castilla_la_vieja:soria"	"town-commercial"	"Soria"
"port:egy_arabah:aqaba"	"port"	"Aqaba"
"port:egy_cyprus:famagusta"	"port"	"Famagusta"
"port:egy_el_jnoub:sidon"	"port"	"Sidon"
"port:egy_galilee:haifa"	"port"	"Haifa"
"port:egy_helwan:port_taufiq"	"port"	"Port Taufiq"
"port:egy_mount_lebanon:byblos"	"port"	"Byblos"
"port:egy_north_lebanon:tripoli_harbour"	"port"	"Tripoli Harbour"
"port:egy_palestine:ashdod"	"port"	"Ashdod"
"port:egy_sharqia:port_said"	"port"	"Port Said"
"port:egy_syrian_coast:tartus"	"port"	"Tartus"
"port:egy_western_delta:abu_qir"	"port"	"Abu Qir"
"port:eur_austria:triest"	"port"	"Triest"
"port:eur_balearic_isles:menorca"	"port"	"Menorca"
"port:eur_bretagne:brest"	"port"	"Brest"
"port:eur_catalonia:tarragona"	"port"	"Tarragona"
"port:eur_corsica:bastia"	"port"	"Bastia"
"port:eur_courland:liepaja"	"port"	"Liepāja"
"port:eur_croatia:split"	"port"	"Split"
"port:eur_denmark:aalborg"	"port"	"Aalborg"
"port:eur_england:bristol"	"port"	"Bristol"
"port:eur_england:chatham"	"port"	"Chatham Docks"
"port:eur_england:liverpool"	"port"	"Liverpool"
"port:eur_england:portsmouth"	"port"	"Portsmouth"
"port:eur_estonia_livonia:reval"	"port"	"Reval"
"port:eur_flanders_wallonia:antwerpen"	"port"	"Antwerp"
"port:eur_france:nantes"	"port"	"Nantes"
"port:eur_gibraltar:sandy_bay"	"port"	"Sandy Bay"
"port:eur_greece:patras"	"port"	"Patras"
"port:eur_holland:rotterdam"	"port"	"Rotterdam"
"port:eur_ingria:staraya_ladoga"	"port"	"Staraya Ladoga"
"port:eur_ireland:waterford"	"port"	"Waterford"
"port:eur_little_tatary:sevastopol"	"port"	"Sevastopol"
"port:eur_mecklenburg:wismar"	"port"	"Wismar"
"port:eur_naples:taranto"	"port"	"Taranto"
"port:eur_normandie:le_havre"	"port"	"Le Havre"
"port:eur_norway:stavanger"	"port"	"Stavanger"
"port:eur_picardie_champagne:calais"	"port"	"Calais"
"port:eur_piemont_liguria:genoa"	"port"	"Genoa"
"port:eur_pommerania:kolberg"	"port"	"Kolberg"
"port:eur_portugal:porto"	"port"	"Porto"
"port:eur_provence:marseille_tut"	"port"	"Marseille"
"port:eur_provence:toulon"	"port"	"Toulon"
"port:eur_rumelia:burgas"	"port"	"Burgas"
"port:eur_sardinia:olbia"	"port"	"Olbia"
"port:eur_scotland:glasgow"	"port"	"Glasgow"
"port:eur_sicily:siracusa"	"port"	"Siracusa"
"port:eur_spain:cadiz"	"port"	"Cadiz"
"port:eur_spain:cartagena"	"port"	"Cartagena"
"port:eur_spain:la_coruna"	"port"	"La Coruña"
"port:eur_sweden:malmo"	"port"	"Malmö"
"port:eur_venetia:chioggia"	"port"	"Chioggia"
"port:spa_basses_pyrenees:anglet"	"port"	"Anglet"
"port:spa_cantabria:san_noja"	"port"	"Noja"
"port:spa_centro:figueira_da_foz"	"port"	"Figueira da Foz"
"port:spa_galicia:a_coruna"	"port"	"A Coruña"
"port:spa_gibraltar:port_of_gibraltar"	"port"	"Port of Gibraltar"
"port:spa_granada:malaga"	"port"	"Málaga"
"port:spa_lisboa:sintra"	"port"	"Sintra"
"port:spa_murcia:cartagena"	"port"	"Cartagena"
"port:spa_sevilla:cadiz"	"port"	"Cádiz"
"port:spa_valencia:alicante"	"port"	"Alicante"
"port:spa_vascongadas:san_sebastian"	"port"	"San Sebastián"
"town:egy_amman:al_karak"	"town_UNUSED"	"Al-Karak"
"town:egy_amman:zarqa"	"town_UNUSED"	"Zarqa"
"town:egy_beheira:disuq"	"town_UNUSED"	"Disuq"
"town:egy_beheira:hawsh_isa"	"town_UNUSED"	"Hawsh-Isa"
"town:egy_beni_suef:girza"	"town-commercial"	"Girza"
"town:egy_dumyat:baltim"	"town-commercial"	"Baltim"
"town:egy_dumyat:kafr_el_sheikh"	"town-intellectual"	"Kafr el Sheikh"
"town:egy_el_jnoub:marj_ayyun"	"town_UNUSED"	"Marj Ayyun"
"town:egy_fayum_oasis:tamiyah"	"town_UNUSED"	"Tamiyah"
"town:egy_galilee:jenin"	"town_UNUSED"	"Jenin"
"town:egy_galilee:nazareth"	"town_UNUSED"	"Nazareth"
"town:egy_galilee:tiberias"	"town_UNUSED"	"Tiberias"
"town:egy_gharbia:shibin_al_kawm"	"town_UNUSED"	"Shibin al-Kawm"
"town:egy_gharbia:tanta"	"town_UNUSED"	"Tanta"
"town:egy_hedjaz:al_bad"	"town-commercial"	"Al Bad"
"town:egy_helwan:agruda"	"town_UNUSED"	"Agruda"
"town:egy_judea:bethlehem"	"town_UNUSED"	"Bethlehem"
"town:egy_judea:hebron"	"town_UNUSED"	"Hebron"
"town:egy_judea:nablus"	"town-industrial"	"Nablus"
"town:egy_maan:al_mudawwarah"	"town_UNUSED"	"Al Mudawwarah"
"town:egy_matruh:mungar_el_mugabra"	"town_UNUSED"	"Mungar el-Mugabra"
"town:egy_minya:maghagha"	"town-commercial"	"Maghagha"
"town:egy_mount_lebanon:baalbek"	"town_UNUSED"	"Baalbek"
"town:egy_mount_lebanon:jounieh"	"town_UNUSED"	"Jounieh"
"town:egy_mount_lebanon:zahle"	"town_UNUSED"	"Zahle"
"town:egy_negev:beersheba"	"town_UNUSED"	"Beersheba"
"town:egy_negev:rafah"	"town-commercial"	"Rafah"
"town:egy_north_lebanon:al_hirmil"	"town-industrial"	"Al-Hirmil"
"town:egy_north_sinai:romani"	"town-industrial"	"Romani"
"town:egy_palestine:ramla"	"town-industrial"	"Ramla"
"town:egy_qalyubia:giza"	"town-intellectual"	"Giza"
"town:egy_qalyubia:qalyub"	"town_UNUSED"	"Qalyub"
"town:egy_red_sea_coast:bir_thamadah"	"town_UNUSED"	"Bir Thamadah"
"town:egy_rif_dimashq:al_qunaytirah"	"town-industrial"	"Al Qunaytirah"
"town:egy_rif_dimashq:as_suwayda"	"town_UNUSED"	"As Suwayda"
"town:egy_rif_dimashq:dara"	"town_UNUSED"	"Dara"
"town:egy_rif_dimashq:nawa"	"town-intellectual"	"Nawa"
"town:egy_sharqia:bilbeis"	"town-industrial"	"Bilbeis"
"town:egy_sharqia:ismalia"	"town_UNUSED"	"Ismalia"
"town:egy_south_sinai:el_tor"	"town_UNUSED"	"El-Tor"
"town:egy_syria:hama"	"town-commercial"	"Hama"
"town:egy_syria:maarrat_al_numan"	"town_UNUSED"	"Ma'arrat al-Numan"
"town:egy_syrian_coast:habrun"	"town_UNUSED"	"Habrun"
"town:egy_syrian_coast:jablah"	"town_UNUSED"	"Jablah"
"town:egy_western_delta:kafr_el_dawwar"	"town_UNUSED"	"Kafr el-Dawwar"
"town:egy_western_delta:rosetta"	"town_UNUSED"	"Rosetta"
"town:eur_alsace_lorraine:metz"	"town-industrial"	"Metz"
"town:spa_cataluna:girona"	"town-intellectual"	"Girona"
"town:spa_cataluna:lleida"	"town-commercial"	"Lleida"
"town:spa_cordoba:jaen"	"town-commercial"	"Jaén"
"town:spa_cuenca:tarancon"	"town-commercial"	"Tarancón"
"town:spa_la_mancha:puertollano"	"town-industrial"	"Puertollano"
"town:spa_leon:benavente"	"town-commercial"	"Benavente"
"town:spa_lisboa:santarem"	"town-commercial"	"Santarém"
"town:spa_midi_pyrenees:auch"	"town-intellectual"	"Auch"
"town:spa_midi_pyrenees:castres"	"town-industrial"	"Castres"
"town:spa_murcia:albacete"	"town-industrial"	"Albacete"
"town:spa_navarre:estella"	"town-commercial"	"Estella"
"town:spa_norte:ponte_de_lima"	"town-commercial"	"Ponte de Lima"
"town:spa_pyrenees_orientales:narbonne"	"town-commercial"	"Narbonne"
"town:spa_salamanca:bejar"	"town-industrial"	"Béjar"
"town:spa_teruel:alcaniz"	"town-industrial"	"Alcañiz"
"town:spa_vascongadas:bilbao"	"town-industrial"	"Bilbao"
"town:spa_zaragoza:huesca"	"town-intellectual"	"Huesca"
"port:spa_gibraltar:algeciras"	"port"	"Algeciras"
"port:spa_cataluna:tarragona"	"port"	"Tarragona"
"town:spa_centro:viseu"	"town-intellectual"	"Viseu"
"town:spa_valencia:castellon_de_la_plana"	"town-intellectual"	"Castellón de la Plana"
