version 3, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)
"12_lber_howitzer"	"12-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	790	760	1	970	240	22	true	"artillery_medium_howitzer"	"euro_howitzer_12_icon"	"12_lber_howitzer"	"12_lber_howitzer"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"12_lber_land_cannon"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	640	620	1	1160	290	22	true	"artillery_medium_cannon"	"euro_cannon_12_icon"	"12_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"12_lber_land_cannon_indian"	"12-lber Foot Artillery"	"artillery"	"artillery_foot"	640	620	1	1160	290	22	true	"artillery_medium_cannon"	"ott_cannon_12_icon"	"East_Artillerymen_info_cn12"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"18_lber_land_cannon"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	1180	290	22	true	"artillery_heavy_cannon"	"euro_cannon_18_icon"	"18_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"18_lber_land_cannon_east"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	1170	290	22	true	"artillery_medium_cannon"	"ott_cannon_18_icon"	"East_Artillerymen_info_cn18"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"18_lber_land_cannon_guard_galloper"	"18-lber Horse Guard Artillery"	"artillery"	"artillery_horse"	910	840	2	1480	370	24	true	"artillery_guards"	"euro_cannon_18_icon"	"18_lber_land_cannon"	"12_lber_land_cannon_galloper"	"global"	4	"mp_artillery"	false	false	true	0	false	0
"18_lber_land_cannon_indian"	"18-lber Foot Artillery"	"artillery"	"artillery_foot"	650	630	1	1170	290	22	true	"artillery_heavy_cannon"	"ott_cannon_18_icon"	"East_Artillerymen_info_cn18"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_howitzer"	"24-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	800	770	2	990	250	22	true	"artillery_howitzer"	"euro_howitzer_24_icon"	"24_lber_howitzer"	"12_lber_howitzer"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"24_lber_howitzer_ottoman"	"24-lber Howitzer Foot Artillery"	"artillery"	"artillery_foot"	800	770	2	980	250	22	true	"artillery_howitzer"	"ott_howitzer_24_icon"	"East_Artillerymen_info_hw24"	"12_lber_howitzer"	"global"	0	"mp_artillery"	true	true	true	0	false	0
"24_lber_land_cannon"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	1210	300	22	true	"artillery_heavy_cannon"	"euro_cannon_24_icon"	"24_lber_land_cannon"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_land_cannon_(demi_cannon)"	"Demi-Cannons"	"artillery"	"artillery_fixed"	640	620	2	1040	250	22	true	"artillery_demi_cannon"	"euro_ancient_cannon_24_icon"	"euro_artillery_info_sk24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_(demi_cannon)_east"	"Demi-Cannons"	"artillery"	"artillery_fixed"	660	630	2	1030	250	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_(demi_cannon)_indian"	"Cannons"	"artillery"	"artillery_fixed"	660	630	2	1030	250	22	true	"artillery_demi_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"24_lber_land_cannon_(demi_cannon)"	"global"	0	"mp_artillery"	true	false	false	0	false	0
"24_lber_land_cannon_east"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	1180	290	22	true	"artillery_heavy_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"24_lber_land_cannon_guard"	"24-lber Guard Artillery"	"artillery"	"artillery_foot"	860	800	3	1460	360	22	true	"artillery_heavy_cannon"	"euro_cannon_24_icon"	"24_lber_land_cannon_guard"	"12_lber_land_cannon"	"global"	4	"mp_artillery"	false	false	true	0	false	0
"24_lber_land_cannon_indian"	"24-lber Foot Artillery"	"artillery"	"artillery_foot"	670	640	2	1180	290	22	true	"artillery_medium_cannon"	"ott_cannon_24_icon"	"East_Artillerymen_info_cn24"	"12_lber_land_cannon"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"3_lber_land_cannon_galloper"	"3-lber Horse Artillery"	"artillery"	"artillery_horse"	680	650	1	1160	290	25	true	"artillery_light_horse"	"euro_cannon_03_galloper_icon"	"3_lber_land_cannon_galloper"	"12_lber_land_cannon_galloper"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"4_inch_mortar"	"4-inch Mortar Battery"	"artillery"	"artillery_fixed"	920	880	1	950	230	22	true	"artillery_light_mortar"	"euro_mortar_04_icon"	"4_inch_mortar"	"4_inch_mortar"	"global"	0	"mp_artillery"	true	true	true	0	false	0
"4_inch_mortar_indian"	"Mortars"	"artillery"	"artillery_fixed"	920	880	1	950	230	22	true	"artillery_light_mortar"	"ott_mortar_04_icon"	"East_Artillerymen_info_mo04"	"4_inch_mortar"	"global"	0	"mp_artillery"	true	true	false	0	false	0
"6_lber_land_cannon_galloper"	"6-lber Horse Artillery"	"artillery"	"artillery_horse"	690	660	1	1180	290	24	true	"artillery_light_horse"	"euro_cannon_06_galloper_icon"	"6_lber_land_cannon_galloper"	"12_lber_land_cannon_galloper"	"global"	0	"mp_artillery"	false	true	true	0	false	0
"64_lber_land_cannon_elephant"	"64-lber Great Gun"	"artillery"	"artillery_fixed"	860	800	3	1360	330	24	true	"artillery_elephant"	"ott_cannon_64_icon"	"East_Artillerymen_info_cn64"	"64_lber_land_cannon_elephant"	"india"	0	"mp_artillery"	false	true	true	0	false	0
"64_lber_siege_cannon"	"64-lber Heavy Artillery"	"artillery"	"artillery_fixed"	860	800	3	1360	330	21	true	"artillery_siege_guns"	"ott_cannon_64_icon"	"East_Artillerymen_info_cn64"	"64_lber_land_cannon_elephant"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"8_inch_mortar"	"8-inch Mortar Battery"	"artillery"	"artillery_fixed"	880	840	1	960	230	21	true	"artillery_heavy_mortar"	"euro_mortar_08_icon"	"8_inch_mortar"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
"8_inch_mortar_east"	"Bombardment Mortars"	"artillery"	"artillery_fixed"	880	840	1	950	230	21	true	"artillery_heavy_mortar"	"ott_mortar_08_icon"	"East_Artillerymen_info_mo08"	"4_inch_mortar"	"global"	0	"mp_artillery"	false	false	true	0	false	0
