version 1, schema battle_type_faction_presets_tables
Faction_IDRef(string)	weighting_type(int)	id(int)
"austria"	28	2
"austria"	62	24
"austria"	63	13
"austria"	88	39
"austria"	89	28
"austria"	90	50
"austria"	148	81
"austria"	149	69
"austria"	150	61
"britain"	28	3
"britain"	62	25
"britain"	63	14
"britain"	88	40
"britain"	89	29
"britain"	90	51
"britain"	148	82
"britain"	149	70
"britain"	150	62
"denmark"	28	4
"denmark"	62	26
"denmark"	63	15
"denmark"	88	41
"denmark"	89	30
"denmark"	90	52
"denmark"	148	83
"denmark"	149	71
"denmark"	150	63
"france"	28	5
"france"	62	27
"france"	63	16
"france"	88	42
"france"	89	31
"france"	90	53
"france"	148	84
"france"	149	72
"france"	150	64
"netherlands"	148	85
"netherlands"	149	78
"netherlands"	150	77
"ottomans"	28	12
"ottomans"	63	23
"ottomans"	88	49
"ottomans"	89	38
"ottomans"	90	60
"ottomans"	148	86
"ottomans"	149	73
"ottomans"	150	65
"portugal"	28	6
"portugal"	63	17
"portugal"	88	43
"portugal"	89	32
"portugal"	90	54
"portugal"	148	87
"portugal"	149	74
"portugal"	150	66
"prussia"	28	7
"prussia"	63	18
"prussia"	88	44
"prussia"	89	33
"prussia"	90	55
"russia"	28	8
"russia"	63	19
"russia"	88	45
"russia"	89	34
"russia"	90	56
"russia"	148	88
"russia"	149	79
"russia"	150	80
"spa_spain"	28	9
"spa_spain"	63	20
"spa_spain"	88	46
"spa_spain"	89	35
"spa_spain"	90	57
"spain"	148	89
"spain"	149	75
"spain"	150	67
"sweden"	28	10
"sweden"	63	21
"sweden"	88	47
"sweden"	89	36
"sweden"	90	58
"sweden"	148	90
"sweden"	149	76
"sweden"	150	68
"united_netherlands"	28	11
"united_netherlands"	63	22
"united_netherlands"	88	48
"united_netherlands"	89	37
"united_netherlands"	90	59
"prussia"	150	91
"prussia"	149	92
"prussia"	148	93
