version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
"-2145575618"	"RigidModels\\Buildings\\west_euro_townhall\\west_euro_townhall_piece01_destruct01_lod05.rigid_model"	"3_3"	"west_euro_townhall_piece01_destruct01"
"-2145485987"	"RigidModels\\Buildings\\fort_indian\\fort_indian_piece05_destruct03_lod01.rigid_model"	"3_1"	"fort_indian_piece05_destruct03"
"-2144167767"	"RigidModels\\Buildings\\fort_ottoman\\fort_ottoman_piece04_destruct02_lod01.rigid_model"	"3_1"	"fort_ottoman_piece04_destruct02"
"-2143898391"	"RigidModels\\Buildings\\euro_stone_armoury02\\euro_stone_armoury02_piece02_destruct02_lod01.rigid_model"	"3_1"	"euro_stone_armoury02_piece02_destruct02"
"-2140746214"	"RigidModels\\Buildings\\fort_star\\fort_star_piece01_destruct02_lod01.rigid_model"	"3_1"	"fort_star_piece01_destruct02"
"-2138761129"	"RigidModels\\Buildings\\west_euro_townhall\\west_euro_townhall_piece03_destruct01_lod03.rigid_model"	"3_2"	"west_euro_townhall_piece03_destruct01"
"-2137947206"	"RigidModels/CampaignBuildings/Buildings/EU/EU_resource_farm_lvl5_sheep.rigid_model"	"0"	"EU_resource_farm_lvl5_sheep"
"-2134767914"	"RigidModels\\Buildings\\east_euro_townhall\\east_euro_townhall_piece01_destruct01_lod05.rigid_model"	"3_3"	"east_euro_townhall_piece01_destruct01"
"-2134280584"	"RigidModels/CampaignBuildings/CampaignAgentIcons/All_agent_indicator_gentleman_home_enemy.rigid_model"	"0"	"All_agent_indicator_gentleman_home_enemy"
"-2134258737"	"RigidModels/CampaignBuildings/Buildings/IND/IND_town_ind_lvl1_metalworks.rigid_model"	"0"	"IND_town_ind_lvl1_metalworks"
"-2133545880"	"RigidModels\\Buildings\\nwe_euro_ruins01\\nwe_euro_ruins01_piece01_destruct01_lod05.rigid_model"	"3_3"	"nwe_euro_ruins01_piece01_destruct01"
"-2133486331"	"RigidModels\\Buildings\\south_euro_rural03\\south_euro_rural03_piece01_destruct02_lod01.rigid_model"	"2_1"	"south_euro_rural03_piece01_destruct02"
"-2133456861"	"RigidModels\\Buildings\\fort_indian_small\\fort_indian_small_piece03_destruct01_lod03.rigid_model"	"3_2"	"fort_indian_small_piece03_destruct01"
"-2133009974"	"RigidModels\\city_buildings\\us\\out_build_02.rigid_model"	"1_1"	"city_us_building_02"
"-2132585725"	"RigidModels\\Buildings\\fort_euro_wooden\\fort_euro_wooden_piece06_destruct02_gate_closed_lod01.rigid_model"	"3_1"	"fort_euro_wooden_piece06_destruct02_gate_closed"
"-2132471051"	"RigidModels\\Buildings\\indian_house01b\\indian_house01b_piece01_destruct01_lod02.rigid_model"	"5_2"	"indian_house01b_piece01_destruct01"
"-2130219457"	"RigidModels/CampaignBuildings/Buildings/prestige/prestige_shaniwarwada.rigid_model"	"0"	"prestige_shaniwarwada"
"-2126127090"	"RigidModels\\city_buildings\\east\\out_build_05.rigid_model"	"1_1"	"city_east_building_05"
"-2123660956"	"RigidModels\\Buildings\\ottoman_warehouse04\\ottoman_warehouse04_piece03_destruct03_lod05.rigid_model"	"3_3"	"ottoman_warehouse04_piece03_destruct03"
"-2122841041"	"RigidModels\\Buildings\\prop_town_pulley\\prop_town_pulley_piece01_destruct01_lod05.rigid_model"	"2_2"	"prop_town_pulley_piece01_destruct01"
"-2122589108"	"RigidModels\\Buildings\\east_euro_townhall\\east_euro_townhall_piece02_destruct02_lod01.rigid_model"	"3_1"	"east_euro_townhall_piece02_destruct02"
"-2120671196"	"RigidModels\\Buildings\\prop_field_stepladder\\prop_field_stepladder_piece01_destruct01_lod01.rigid_model"	"2_1"	"prop_field_stepladder_piece01_destruct01"
"-2119489981"	"RigidModels\\Buildings\\west_euro_house04\\west_euro_house04_piece01_destruct01_lod04.rigid_model"	"5_4"	"west_euro_house04_piece01_destruct01"
"-2117500378"	"RigidModels\\Buildings\\north_euro_house04b\\north_euro_house04b_piece01_destruct01_lod01.rigid_model"	"3_1"	"north_euro_house04b_piece01_destruct01"
"-2117179484"	"RigidModels\\Buildings\\ottoman_townhall\\ottoman_townhall_piece01_destruct01_lod03.rigid_model"	"3_2"	"ottoman_townhall_piece01_destruct01"
"-2115844475"	"RigidModels\\Buildings\\west_euro_house05\\west_euro_house05_piece01_destruct01_lod03.rigid_model"	"5_3"	"west_euro_house05_piece01_destruct01"
"-2114293409"	"RigidModels\\Buildings\\indian_house06b\\indian_house06b_piece01_destruct01_lod02.rigid_model"	"5_2"	"indian_house06b_piece01_destruct01"
"-2113814274"	"RigidModels\\Buildings\\west_euro_house05b\\west_euro_house05b_piece01_destruct02_lod05.rigid_model"	"2_2"	"west_euro_house05b_piece01_destruct02"
"-2113268607"	"RigidModels\\Buildings\\west_euro_hut01\\west_euro_hut01_piece01_destruct01_lod01.rigid_model"	"3_1"	"west_euro_hut01_piece01_destruct01"
"-2112514459"	"RigidModels/CampaignBuildings/CampaignAgentIcons/agent_ID_netherlands_republic.rigid_model"	"0"	"agent_ID_netherlands_republic"
"-2111391548"	"RigidModels\\Buildings\\north_euro_hut01\\north_euro_hut01_piece01_destruct02_lod05.rigid_model"	"2_2"	"north_euro_hut01_piece01_destruct02"
"-2110216069"	"RigidModels\\Buildings\\fort_indian\\fort_indian_piece08_destruct02_lod05.rigid_model"	"3_3"	"fort_indian_piece08_destruct02"
"-2109302896"	"RigidModels\\Buildings\\indian_house01b\\indian_house01b_piece01_destruct01_lod05.rigid_model"	"5_5"	"indian_house01b_piece01_destruct01"
"-2108792876"	"RigidModels\\Buildings\\indian_large_fort_hq\\indian_large_fort_hq_piece01_destruct03_lod03.rigid_model"	"3_2"	"indian_large_fort_hq_piece01_destruct03"
"-2108677591"	"RigidModels\\Buildings\\west_euro_house04\\west_euro_house04_piece01_destruct02_lod01.rigid_model"	"2_1"	"west_euro_house04_piece01_destruct02"
"-2108666976"	"RigidModels/CampaignBuildings/Buildings/IND/IND_resource_farm_lvl5_sheep.rigid_model"	"0"	"IND_resource_farm_lvl5_sheep"
"-2106984832"	"RigidModels/CampaignBuildings/Buildings/NA/NA_resource_plantation_lvl1_spice_blend.rigid_model"	"0"	"NA_resource_plantation_lvl1_spice_blend"
"-2106065613"	"RigidModels\\Buildings\\american_church\\american_church_piece01_destruct02_lod03.rigid_model"	"3_2"	"american_church_piece01_destruct02"
