version 2, schema character_traits_tables, guid 5e7bb5bd-8c71-4ec2-a7d1-f666058e4c7b
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)	Unknown4(boolean)
"S2_boshin_all_blokes_maimed"	1	false	1	"dummy"	false
"S2_boshin_all_blokes_noodles"	1	false	1	"dummy"	false
"S2_boshin_all_blokes_womaniser"	1	false	1	"dummy"	false
"S2_boshin_all_blokes_womaniser_agents"	1	false	1	"dummy"	false
"S2_boshin_daimyo_cruel"	1	false	1	"dummy"	false
"S2_boshin_daimyo_foreign_tastes"	1	false	1	"dummy"	false
"S2_boshin_daimyo_paranoia"	1	false	1	"dummy"	false
"S2_boshin_daimyo_peace"	1	false	1	"dummy"	false
"S2_boshin_daimyo_protected"	1	false	1	"dummy"	false
"S2_boshin_daimyo_summer_son"	1	false	1	"dummy"	false
"S2_boshin_daimyo_uncouth"	1	false	1	"dummy"	false
"S2_boshin_daimyo_unjust"	1	false	1	"dummy"	false
"S2_boshin_daimyo_winter_son"	1	false	1	"dummy"	false
"S2_boshin_geisha_maimed"	1	false	1	"dummy"	false
"S2_boshin_geisha_new_tricks"	1	false	1	"dummy"	false
"S2_boshin_general_ambition"	1	false	1	"dummy"	false
"S2_boshin_general_bloodthirsty"	1	false	1	"dummy"	false
"S2_boshin_general_brave"	1	false	1	"dummy"	false
"S2_boshin_general_conservative"	1	false	1	"dummy"	false
"S2_boshin_general_coward"	1	false	1	"dummy"	false
"S2_boshin_general_drunkard"	1	false	1	"dummy"	false
"S2_boshin_general_loyal"	1	false	1	"dummy"	false
"S2_boshin_general_mad"	1	false	1	"dummy"	false
"S2_boshin_general_mad_grief"	1	false	1	"dummy"	false
"S2_boshin_general_new_toys"	1	false	1	"dummy"	false
"S2_boshin_general_nocturnal"	1	false	1	"dummy"	false
"S2_boshin_general_nostalgic"	1	false	1	"dummy"	false
"S2_boshin_general_paranoia"	1	false	1	"dummy"	false
"S2_boshin_general_protected"	1	false	1	"dummy"	false
"S2_boshin_general_seasick"	1	false	1	"dummy"	false
"S2_boshin_ishin_shishi_chip"	1	false	1	"dummy"	false
"S2_boshin_ishin_shishi_cruel"	1	false	1	"dummy"	false
"S2_boshin_ishin_shishi_persuasive"	1	false	1	"dummy"	false
"S2_boshin_ishin_shishi_superpatriot"	1	false	1	"dummy"	false
"S2_boshin_shinobi_vicious"	1	false	1	"dummy"	false
"S2_boshin_shinobi_xenophobe"	1	false	1	"dummy"	false
"S2_boshin_shinsengumi_bandit"	1	false	1	"dummy"	false
"S2_boshin_shinsengumi_chip"	1	false	1	"dummy"	false
"S2_boshin_shinsengumi_cruel"	1	false	1	"dummy"	false
"S2_boshin_shinsengumi_noble"	1	false	1	"dummy"	false
"S2_boshin_shinsengumi_superpatriot"	1	false	1	"dummy"	false
"S2_boshin_veteran_drunkard"	1	false	1	"dummy"	false
"S2_boshin_veteran_imperialist"	1	false	1	"dummy"	false
"S2_boshin_veteran_japanophile"	1	false	1	"dummy"	false
"S2_boshin_veteran_japanophobe"	1	false	1	"dummy"	false
"S2_boshin_veteran_mercenary"	1	false	1	"dummy"	false
"S2_boshin_veteran_teetotal"	1	false	1	"dummy"	false
"S2_boshin_wife_ambition"	1	false	1	"dummy"	false
"S2_boshin_wife_beauty"	1	false	1	"dummy"	false
"S2_boshin_wife_cunning"	1	false	1	"dummy"	false
"S2_boshin_wife_diplomatic"	1	false	1	"dummy"	false
"S2_boshin_wife_fertile"	1	false	1	"dummy"	false
"S2_boshin_wife_fiscal_prudence"	1	false	1	"dummy"	false
"S2_boshin_wife_loyal"	1	false	1	"dummy"	false
"S2_boshin_wife_moneylover"	1	false	1	"dummy"	false
"S2_boshin_wife_shrewish"	1	false	1	"dummy"	false
"S2_trait_all_blokes_maimed"	1	false	1	"dummy"	false
"S2_trait_all_blokes_noodles"	1	false	1	"dummy"	false
"S2_trait_all_blokes_womaniser"	1	false	1	"dummy"	false
"S2_trait_daimyo_cruel"	1	false	1	"dummy"	false
"S2_trait_daimyo_foreign_tastes"	1	false	1	"dummy"	false
"S2_trait_daimyo_paranoia"	1	false	1	"dummy"	false
"S2_trait_daimyo_peace"	1	false	1	"dummy"	false
"S2_trait_daimyo_protected"	1	false	1	"dummy"	false
"S2_trait_daimyo_summer_son"	1	false	1	"dummy"	false
"S2_trait_daimyo_uncouth"	1	false	1	"dummy"	false
"S2_trait_daimyo_unjust"	1	false	1	"dummy"	false
"S2_trait_geisha_maimed"	1	false	1	"dummy"	false
"S2_trait_general_ambition"	1	false	1	"dummy"	false
"S2_trait_general_bloodthirsty"	1	false	1	"dummy"	false
"S2_trait_general_brave"	1	false	1	"dummy"	false
"S2_trait_general_coward"	1	false	1	"dummy"	false
"S2_trait_general_drunkard"	1	false	1	"dummy"	false
"S2_trait_general_ikko_fanatic"	1	false	1	"dummy"	false
"S2_trait_general_ikko_looter"	1	false	1	"dummy"	false
"S2_trait_general_loyal"	1	false	1	"dummy"	false
"S2_trait_general_mad"	1	false	1	"dummy"	false
"S2_trait_general_mad_grief"	1	false	1	"dummy"	false
"S2_trait_general_nocturnal"	1	false	1	"dummy"	false
"S2_trait_general_paranoia"	1	false	1	"dummy"	false
"S2_trait_general_plunder"	1	false	1	"dummy"	false
