version 1, schema videos_subtitles_junctions_tables, guid d9f3b489-62c1-440b-8f7e-fb2e0c226572
unknown1(string)	unknown2(int)	unknown3(int)	unknown4(string)
"Environment/ENV_AUTUMN.bik"	85	423	"ENV_AUTUMN_1"
"Environment/ENV_CHERRY.bik"	85	430	"ENV_CHERRY_1"
"Environment/ENV_HARVST.bik"	90	410	"ENV_HARVST_1"
"Environment/ENV_SNOW.bik"	80	410	"ENV_SNOW_1"
"Faction/Event/DAI_SHO_CHO.bik"	1220	1706	"DAI_SHO_CHO_3"
"Faction/Event/DAI_SHO_CHO.bik"	160	770	"DAI_SHO_CHO_1"
"Faction/Event/DAI_SHO_CHO.bik"	800	1080	"DAI_SHO_CHO_2"
"Faction/Event/DAI_SHO_DAT.bik"	1220	1706	"DAI_SHO_DAT_3"
"Faction/Event/DAI_SHO_DAT.bik"	1220	770	"DAI_SHO_DAT_1"
"Faction/Event/DAI_SHO_DAT.bik"	800	1080	"DAI_SHO_DAT_2"
"Faction/Event/DAI_SHO_HOJ.bik"	1220	1706	"DAI_SHO_HOJ_3"
"Faction/Event/DAI_SHO_HOJ.bik"	160	770	"DAI_SHO_HOJ_1"
"Faction/Event/DAI_SHO_HOJ.bik"	800	1080	"DAI_SHO_HOJ_2"
"Faction/Event/DAI_SHO_IGA.bik"	1220	1706	"DAI_SHO_IGA_3"
"Faction/Event/DAI_SHO_IGA.bik"	160	770	"DAI_SHO_IGA_1"
"Faction/Event/DAI_SHO_IGA.bik"	800	1080	"DAI_SHO_IGA_2"
"Faction/Event/DAI_SHO_IKO.bik"	1220	1706	"DAI_SHO_IKO_3"
"Faction/Event/DAI_SHO_IKO.bik"	160	770	"DAI_SHO_IKO_1"
"Faction/Event/DAI_SHO_IKO.bik"	800	1080	"DAI_SHO_IKO_2"
"Faction/Event/DAI_SHO_MOR.bik"	1220	1706	"DAI_SHO_MOR_3"
"Faction/Event/DAI_SHO_MOR.bik"	160	770	"DAI_SHO_MOR_1"
"Faction/Event/DAI_SHO_MOR.bik"	800	1080	"DAI_SHO_MOR_2"
"Faction/Event/DAI_SHO_ODA.bik"	1220	1706	"DAI_SHO_ODA_3"
"Faction/Event/DAI_SHO_ODA.bik"	160	770	"DAI_SHO_ODA_1"
"Faction/Event/DAI_SHO_ODA.bik"	800	1080	"DAI_SHO_ODA_2"
"Faction/Event/DAI_SHO_SHI.bik"	1220	1706	"DAI_SHO_SHI_3"
"Faction/Event/DAI_SHO_SHI.bik"	160	770	"DAI_SHO_SHI_1"
"Faction/Event/DAI_SHO_SHI.bik"	800	1080	"DAI_SHO_SHI_2"
"Faction/Event/DAI_SHO_TAK.bik"	1220	1706	"DAI_SHO_TAK_3"
"Faction/Event/DAI_SHO_TAK.bik"	160	770	"DAI_SHO_TAK_1"
"Faction/Event/DAI_SHO_TAK.bik"	800	1080	"DAI_SHO_TAK_2"
"Faction/Event/DAI_SHO_TOK.bik"	1220	1706	"DAI_SHO_TOK_3"
"Faction/Event/DAI_SHO_TOK.bik"	160	770	"DAI_SHO_TOK_1"
"Faction/Event/DAI_SHO_TOK.bik"	800	1080	"DAI_SHO_TOK_2"
"Faction/Event/DAI_SHO_UES.bik"	1220	1706	"DAI_SHO_UES_3"
"Faction/Event/DAI_SHO_UES.bik"	160	770	"DAI_SHO_UES_1"
"Faction/Event/DAI_SHO_UES.bik"	800	1080	"DAI_SHO_UES_2"
"Faction/Event/ENE_STA_CHO.bik"	1050	1300	"ENE_STA_CHO_3"
"Faction/Event/ENE_STA_CHO.bik"	80	295	"ENE_STA_CHO_1"
"Faction/Event/ENE_STA_CHO.bik"	930	1016	"ENE_STA_CHO_2"
"Faction/Event/ENE_STA_DAT.bik"	1050	1300	"ENE_STA_DAT_3"
"Faction/Event/ENE_STA_DAT.bik"	80	295	"ENE_STA_DAT_1"
"Faction/Event/ENE_STA_DAT.bik"	930	1016	"ENE_STA_DAT_2"
"Faction/Event/ENE_STA_HOJ.bik"	1050	1300	"ENE_STA_HOJ_3"
"Faction/Event/ENE_STA_HOJ.bik"	80	295	"ENE_STA_HOJ_1"
"Faction/Event/ENE_STA_HOJ.bik"	930	1016	"ENE_STA_HOJ_2"
"Faction/Event/ENE_STA_IGA.bik"	1050	1300	"ENE_STA_IGA_3"
"Faction/Event/ENE_STA_IGA.bik"	80	295	"ENE_STA_IGA_1"
"Faction/Event/ENE_STA_IGA.bik"	890	1000	"ENE_STA_IGA_2"
"Faction/Event/ENE_STA_IKO.bik"	1050	1300	"ENE_STA_IKO_3"
"Faction/Event/ENE_STA_IKO.bik"	80	295	"ENE_STA_IKO_1"
"Faction/Event/ENE_STA_IKO.bik"	930	1016	"ENE_STA_IKO_2"
"Faction/Event/ENE_STA_MOR.bik"	1050	1300	"ENE_STA_MOR_3"
"Faction/Event/ENE_STA_MOR.bik"	80	295	"ENE_STA_MOR_1"
"Faction/Event/ENE_STA_MOR.bik"	930	1016	"ENE_STA_MOR_2"
"Faction/Event/ENE_STA_ODA.bik"	1050	1300	"ENE_STA_ODA_3"
"Faction/Event/ENE_STA_ODA.bik"	80	295	"ENE_STA_ODA_1"
"Faction/Event/ENE_STA_ODA.bik"	930	1016	"ENE_STA_ODA_2"
"Faction/Event/ENE_STA_SHI.bik"	1050	1300	"ENE_STA_SHI_3"
"Faction/Event/ENE_STA_SHI.bik"	80	295	"ENE_STA_SHI_1"
"Faction/Event/ENE_STA_SHI.bik"	930	1016	"ENE_STA_SHI_2"
"Faction/Event/ENE_STA_TAK.bik"	1050	1300	"ENE_STA_TAK_3"
"Faction/Event/ENE_STA_TAK.bik"	80	295	"ENE_STA_TAK_1"
"Faction/Event/ENE_STA_TAK.bik"	930	1016	"ENE_STA_TAK_2"
"Faction/Event/ENE_STA_TOK.bik"	1050	1300	"ENE_STA_TOK_3"
"Faction/Event/ENE_STA_TOK.bik"	80	295	"ENE_STA_TOK_1"
"Faction/Event/ENE_STA_TOK.bik"	930	1016	"ENE_STA_TOK_2"
"Faction/Event/ENE_STA_UES.bik"	1050	1300	"ENE_STA_UES_3"
"Faction/Event/ENE_STA_UES.bik"	80	295	"ENE_STA_UES_1"
"Faction/Event/ENE_STA_UES.bik"	930	1016	"ENE_STA_UES_2"
"Faction/Event/HIS_CHRIST.bik"	130	364	"HIS_CHRIST_2"
"Faction/Event/HIS_CHRIST.bik"	20	120	"HIS_CHRIST_1"
"Faction/Event/HIS_CHRIST.bik"	380	625	"HIS_CHRIST_3"
"Faction/Event/HIS_EURO.bik"	132	380	"HIS_EURO_2"
"Faction/Event/HIS_EURO.bik"	390	830	"HIS_EURO_3"
"Faction/Event/HIS_EURO.bik"	40	120	"HIS_EURO_1"
"Faction/Lose/LOS_CHO.bik"	420	694	"LOS_CHO_1"
"Faction/Lose/LOS_DAT.bik"	450	772	"LOS_DAT_1"
"Faction/Lose/LOS_HOJ.bik"	410	734	"LOS_HOJ_1"
"Faction/Lose/LOS_IGA.bik"	1155	1672	"LOS_IGA_1"
"Faction/Lose/LOS_IKO.bik"	450	800	"LOS_IKO_1"
"Faction/Lose/LOS_MOR.bik"	742	1092	"LOS_MOR_1"
"Faction/Lose/LOS_ODA.bik"	425	702	"LOS_ODA_1"
"Faction/Lose/LOS_SHI.bik"	1128	1405	"LOS_SHI_1"
"Faction/Lose/LOS_TAK.bik"	770	1126	"LOS_TAK_1"
"Faction/Lose/LOS_TOK.bik"	1150	1671	"LOS_TOK_1"
"Faction/Lose/LOS_UES.bik"	530	890	"LOS_UES_1"
"Faction/Start/FSM_CHO.bik"	1166	1458	"FSM_CHO_5"
"Faction/Start/FSM_CHO.bik"	120	435	"FSM_CHO_1"
"Faction/Start/FSM_CHO.bik"	1470	1560	"FSM_CHO_6"
"Faction/Start/FSM_CHO.bik"	1625	1755	"FSM_CHO_7"
"Faction/Start/FSM_CHO.bik"	1780	2121	"FSM_CHO_8"
"Faction/Start/FSM_CHO.bik"	2135	2488	"FSM_CHO_9"
"Faction/Start/FSM_CHO.bik"	2492	2700	"FSM_CHO_10"
"Faction/Start/FSM_CHO.bik"	2717	2923	"FSM_CHO_11"
"Faction/Start/FSM_CHO.bik"	2960	3222	"FSM_CHO_12"
"Faction/Start/FSM_CHO.bik"	3233	3450	"FSM_CHO_13"
"Faction/Start/FSM_CHO.bik"	3455	3554	"FSM_CHO_14"
"Faction/Start/FSM_CHO.bik"	577	765	"FSM_CHO_2"
"Faction/Start/FSM_CHO.bik"	787	903	"FSM_CHO_3"
"Faction/Start/FSM_CHO.bik"	941	1132	"FSM_CHO_4"
"Faction/Start/FSM_DAT.bik"	1166	1458	"FSM_DAT_5"
