version 1, schema warscape_animated_lod_tables
Random_Index(string)	Path(string)	Meters_to_x0020_Lod_transition(float)	Filename_x0020_WA_ID(string)
"-2144383636"	"RigidModels\\Buildings\\euro_stone_armoury01\\euro_stone_armoury01_piece01_destruct01_anim.rigid_model_animation"	0	"euro_stone_armoury01_piece01_destruct01"
"-2140812125"	"RigidModels\\Buildings\\south_euro_hut02\\south_euro_hut02_piece01_destruct01_anim.rigid_model_animation"	0	"south_euro_hut02_piece01_destruct01"
"-2140256612"	"RigidModels\\Buildings\\fort_jamestown\\fort_jamestown_piece01_destruct01_anim.rigid_model_animation"	0	"fort_jamestown_piece01_destruct01"
"-2136377357"	"RigidModels\\Buildings\\prop_town_ottoman_stall02\\prop_town_ottoman_stall02_piece01_destruct01_anim.rigid_model_animation"	0	"prop_town_ottoman_stall02_piece01_destruct01"
"-2133025162"	"RigidModels\\Buildings\\prop_field_fire_pit\\prop_field_fire_pit_piece01_destruct01_anim.rigid_model_animation"	0	"prop_field_fire_pit_piece01_destruct01"
"-2132057856"	"UnitModels/Campaign_Native_American_Spy_Lod1.variant_weighted_mesh"	40	"Campaign_Native_American_Spy"
"-2128095565"	"RigidModels\\Buildings\\east_euro_townhall\\east_euro_townhall_piece01_destruct01_anim.rigid_model_animation"	0	"east_euro_townhall_piece01_destruct01"
"-2124754176"	"RigidModels\\Buildings\\west_euro_farmhouse03\\west_euro_farmhouse03_piece01_destruct02_anim.rigid_model_animation"	0	"west_euro_farmhouse03_piece01_destruct02"
"-2123916898"	"RigidModels\\Buildings\\north_west_europe_building06\\north_west_europe_building06_piece01_destruct02_anim.rigid_model_animation"	0	"north_west_europe_building06_piece01_destruct02"
"-2120466820"	"UnitModels\\horse\\horse_A_artillery_lod3.variant_weighted_mesh"	50	"horse_artillery_light_brown"
"-2119598879"	"unitmodels/barbary_pirates_lod3.variant_weighted_mesh"	15	"barbary_pirates"
"-2117082848"	"RigidModels\\Buildings\\indian_large_fort_hq\\indian_large_fort_hq_piece02_destruct02_anim.rigid_model_animation"	0	"indian_large_fort_hq_piece02_destruct02"
"-2114998124"	"RigidModels\\Buildings\\habitable_building_g\\habitable_building_g_piece01_destruct02_anim.rigid_model_animation"	0	"habitable_building_g_piece01_destruct02"
"-2114864345"	"RigidModels/CampaignBuildings/Buildings/OTT/Ott_resource_farm_lvl3_sheep.rigid_model_animation"	0	"Ott_resource_farm_lvl3_sheep"
"-2113029878"	"UnitModels\\horse\\horse_B_artillery_lod1.variant_weighted_mesh"	10	"horse_artillery_grey"
"-2112262182"	"RigidModels\\Buildings\\north_euro_hut02\\north_euro_hut02_piece01_destruct01_anim.rigid_model_animation"	0	"north_euro_hut02_piece01_destruct01"
"-2106873420"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD3.animatable_rigid_model"	0	"howitzer_7_Austria"
"-2105639681"	"UnitModels\\horse\\horse_C_artillery_lod2.variant_weighted_mesh"	20	"horse_artillery_black"
"-2104884016"	"UnitModels\\horse\\horse_B_basic_lod3.variant_weighted_mesh"	50	"horse_basic_grey"
"-2104409057"	"RigidModels\\Buildings\\fort_euro_wooden\\fort_euro_wooden_piece06_destruct01_gate_opening_anim.rigid_model_animation"	0	"fort_euro_wooden_piece06_destruct01_gate_opening"
"-2100872435"	"RigidModels\\Buildings\\native_house03b\\native_house03b_piece01_destruct01_anim.rigid_model_animation"	0	"native_house03b_piece01_destruct01"
"-2099782875"	"UnitModels\\horse\\horse_E_basic_lod4.variant_weighted_mesh"	0	"horse_basic_white"
"-2099048291"	"RigidModels\\Buildings\\native_house05\\native_house05_piece01_destruct01_anim.rigid_model_animation"	0	"native_house05_piece01_destruct01"
"-2091114785"	"RigidModels\\Buildings\\fort_star\\fort_star_piece07_destruct02_anim.rigid_model_animation"	0	"fort_star_piece07_destruct02"
"-2088533831"	"EngineModels/Howitzer_7/Howitzer_7_destruction.rigid_model_animation"	0	"howitzer_7_destruction"
"-2087435856"	"EngineModels/Unicorn_10/unicorn_10_destruction.rigid_model_animation"	0	"unicorn_10_Russia_destruction"
"-2087120593"	"EngineModels/Mortar/Mortar_LOD2.animatable_rigid_model"	20	"Mortar"
"-2076496319"	"unitmodels/campaign_euro_admiral_LOD1.variant_weighted_mesh"	40	"Campaign_euro_admiral"
"-2070655367"	"RigidModels\\Buildings\\prop_town_plant_pot02\\prop_town_plant_pot02_piece01_destruct01_anim.rigid_model_animation"	0	"prop_town_plant_pot02_piece01_destruct01"
"-2070471503"	"unitmodels/campaign_euro_captain1_lod2.variant_weighted_mesh"	0	"campaign_euro_general2_ita_milan"
"-2069982734"	"RigidModels/CampaignBuildings/Buildings/eu/eu_resource_mining_gold_lvl3_blend.rigid_model_animation"	0	"eu_resource_mining_gold_lvl3_blend"
"-2066345189"	"EngineModels/Field_Cannon_18lb/Field_Cannon_18lb_destruction.rigid_model_animation"	0	"field_cannon_18lb_destruction"
"-2066075718"	"EngineModels/Field_Cannon_6lb/Field_Cannon_6lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_6lb_France"
"-2056279051"	"RigidModels\\Buildings\\fort_stockade\\fort_stockade_piece03_destruct01_anim.rigid_model_animation"	0	"fort_stockade_piece03_destruct01"
"-2049067281"	"RigidModels\\Buildings\\indian_town_hall\\indian_town_hall_piece02_destruct01_anim.rigid_model_animation"	0	"indian_town_hall_piece02_destruct01"
"-2049011569"	"unitmodels/campaign_euro_captain1_lod2.variant_weighted_mesh"	0	"campaign_euro_general2_ita_austrian_alliance"
