version 1, schema resources_tables
Resource_ID(string)	Dimension_Unit(optstring)	Slot_ID(string)	Effect_for_non_trade_goods_x0020__x0028__x003F__x0029_(int)	Graphic_path(string)
"res_cattle"	nil	"corn"	0	"data\\UI\\Campaign UI\\Pips\\corn.tga"
"res_coffee"	"sacks"	"caribbean"	0	"data\\UI\\Campaign UI\\Pips\\coffee.tga"
"res_corn"	nil	"corn"	25	"data\\UI\\Campaign UI\\Pips\\corn.tga"
"res_cotton"	"bales"	"india_highlands"	0	"data\\UI\\Campaign UI\\Pips\\cotton.tga"
"res_fish"	nil	"fish"	25	"data\\UI\\Campaign UI\\Pips\\fish.tga"
"res_furs"	"pelts"	"fur"	0	"data\\UI\\Campaign UI\\Pips\\furs.tga"
"res_gems"	nil	"gems"	50	"data\\UI\\Campaign UI\\Pips\\gems.tga"
"res_gold"	nil	"gold"	75	"data\\UI\\Campaign UI\\Pips\\gold.tga"
"res_iron"	nil	"iron"	30	"data\\UI\\Campaign UI\\Pips\\iron.tga"
"res_ivory"	"tusks"	"fort"	50	"data\\UI\\Campaign UI\\Pips\\ivory.tga"
"res_rice"	nil	"rice"	25	"data\\UI\\Campaign UI\\Pips\\rice.tga"
"res_sheep"	nil	"sheep"	25	"data\\UI\\Campaign UI\\Pips\\sheep.tga"
"res_silver"	nil	"silver"	50	"data\\UI\\Campaign UI\\Pips\\silver.tga"
"res_spices"	"pounds"	"india_highlands"	0	"data\\UI\\Campaign UI\\Pips\\spices.tga"
"res_sugar"	"loaves"	"caribbean"	0	"data\\UI\\Campaign UI\\Pips\\sugar.tga"
"res_tea"	"chests"	"tropical_humid"	0	"data\\UI\\Campaign UI\\Pips\\tea.tga"
"res_timber"	nil	"timber"	30	"data\\UI\\Campaign UI\\Pips\\timber.tga"
"res_tobacco"	"barrels"	"caribbean"	0	"data\\UI\\Campaign UI\\Pips\\tobacco.tga"
"res_wheat"	nil	"wheat"	25	"data\\UI\\Campaign UI\\Pips\\wheat.tga"
"res_wine"	nil	"wine"	30	"data\\UI\\Campaign UI\\Pips\\wine.tga"
