version 1, schema effect_bonus_value_unit_ability_junctions_tables, guid 6d3c4a52-39f7-4f3a-ba78-9d1da76e606f
Effect_IDRef(string)	String2(string)	Unit_x0020_Ability(string)
"bos_enable_stand_and_fight"	"enable"	"we_stand_and_fight"
"bos_tech_ability_banzai"	"enable"	"banzai"
"bos_tech_ability_blinding_grenades"	"enable"	"blinding_grenade"
"bos_tech_ability_enable_kneel_fire"	"enable"	"kneel_fire_ability"
"bos_tech_ability_enable_ramming"	"enable"	"ram_naval"
"bos_tech_ability_enable_suppression_fire"	"enable"	"suppression_fire"
"bos_tech_ability_fire_arrows"	"enable"	"flaming_arrows_ability"
"bos_tech_ability_fire_arrows"	"enable"	"flaming_arrows_extreme_range_ability"
"bos_tech_ability_fire_arrows"	"enable"	"flaming_arrows_long_range_ability"
"enable_inspire_unit"	"enable"	"inspire_unit"
"tech_enable_banzai"	"enable"	"banzai"
"tech_enable_blinding_grenades"	"enable"	"blinding_grenade"
"tech_enable_fire_arrows"	"enable"	"flaming_arrows_ability"
"tech_enable_fire_arrows"	"enable"	"flaming_arrows_extreme_range_ability"
"tech_enable_fire_arrows"	"enable"	"flaming_arrows_long_range_ability"
"tech_enable_fire_arrows"	"enable"	"flaming_arrows_naval"
"tech_enable_pike_square"	"enable"	"pike_square_formation"
"tech_enable_ranked_fire"	"enable"	"rank_fire"
"tech_enable_stand_and_fight"	"enable"	"we_stand_and_fight"
"tech_enable_swooping_crane"	"enable"	"cantabrian_circle"
"tech_enable_wedge_formation"	"enable"	"wedge_formation"
