version 2, schema technology_node_links_tables, guid f0ea8a32-eb69-4a55-9d14-6ea43b7d4b8c
unknown1(string)	unknown2(int)	unknown3(string)	unknown4(int)	unknown5(int)
"boshin_main_civil_node_003_administrative_training"	0	"boshin_main_civil_node_001_epic_architecture"	1	0
"boshin_main_civil_node_020_restoration_of_the_domain"	1	"boshin_main_civil_node_001_epic_architecture"	0	0
"boshin_main_civil_node_004_merchant_houses"	0	"boshin_main_civil_node_002_consular_court"	-1	0
"boshin_main_civil_node_008_cordial_relations"	1	"boshin_main_civil_node_002_consular_court"	0	0
"boshin_main_civil_node_006_surveillance"	0	"boshin_main_civil_node_003_administrative_training"	-1	0
"boshin_main_civil_node_007_tea_ceremony"	0	"boshin_main_civil_node_003_administrative_training"	1	0
"boshin_main_civil_node_009_domain_and_the_realm"	1	"boshin_main_civil_node_003_administrative_training"	0	0
"boshin_main_civil_node_013_western_agenda"	0	"boshin_main_civil_node_005_foreign_affairs"	0	0
"boshin_main_civil_node_012_seclusion"	1	"boshin_main_civil_node_006_surveillance"	0	0
"boshin_main_civil_node_005_foreign_affairs"	0	"boshin_main_civil_node_008_cordial_relations"	0	0
"boshin_main_civil_node_015_merchant_house_selection"	1	"boshin_main_civil_node_009_domain_and_the_realm"	0	0
"boshin_main_civil_node_018_capitalist_production"	1	"boshin_main_civil_node_011_abolition_of_land_restriction"	0	0
"boshin_main_civil_node_023_kokutai"	2	"boshin_main_civil_node_016_private_academies"	0	0
"boshin_main_civil_node_021_revised_land_tax"	0	"boshin_main_civil_node_017_central_reforms"	0	0
"boshin_main_civil_node_022_charter_oath"	1	"boshin_main_civil_node_018_capitalist_production"	0	0
"boshin_main_military_node_002_shipyard_research"	0	"boshin_main_military_node_001_shih"	-1	0
"boshin_main_military_node_006_school_of_shinobi"	0	"boshin_main_military_node_001_shih"	0	0
"boshin_main_military_node_008_copper_plating"	0	"boshin_main_military_node_002_shipyard_research"	1	0
"boshin_main_military_node_012_common_shell"	0	"boshin_main_military_node_002_shipyard_research"	-1	0
"boshin_main_military_node_007_sabre_cavalry"	0	"boshin_main_military_node_003_arms_deals"	-1	0
"boshin_main_military_node_009_modern_rifles"	2	"boshin_main_military_node_003_arms_deals"	0	0
"boshin_main_military_node_017_imported_guns"	0	"boshin_main_military_node_003_arms_deals"	1	0
"boshin_main_military_node_021_carbine_cavalry"	1	"boshin_main_military_node_007_sabre_cavalry"	0	0
"boshin_main_military_node_015_iron_plating"	1	"boshin_main_military_node_008_copper_plating"	0	0
"boshin_main_military_node_011_modern_army"	0	"boshin_main_military_node_009_modern_rifles"	1	-1
"boshin_main_military_node_021_carbine_cavalry"	0	"boshin_main_military_node_009_modern_rifles"	-1	1
"boshin_main_military_node_013_gatling_gun"	1	"boshin_main_military_node_010_improved_defences"	0	0
"boshin_main_military_node_018_segment_shell"	1	"boshin_main_military_node_012_common_shell"	0	0
"boshin_main_military_node_024_late_line_infantry"	1	"boshin_main_military_node_013_gatling_gun"	0	0
"boshin_main_military_node_022_suppression_fire"	1	"boshin_main_military_node_014_kneel_fire"	0	0
"boshin_main_military_node_011_modern_army"	2	"boshin_main_military_node_017_imported_guns"	0	0
"boshin_main_military_node_023_advanced_segment_shell"	2	"boshin_main_military_node_018_segment_shell"	0	0
"gempei_main_civil_node_002_poetry_and_literature"	0	"gempei_main_civil_node_001_chinese_learning"	-1	0
"gempei_main_civil_node_003_rice_loans"	0	"gempei_main_civil_node_001_chinese_learning"	1	0
"gempei_main_civil_node_004_confucianism"	0	"gempei_main_civil_node_002_poetry_and_literature"	-1	0
"gempei_main_civil_node_005_court_of_pleasure"	0	"gempei_main_civil_node_002_poetry_and_literature"	1	0
"gempei_main_civil_node_008_taoist_thinking"	1	"gempei_main_civil_node_002_poetry_and_literature"	0	0
"gempei_main_civil_node_012_kishomon"	0	"gempei_main_civil_node_002_poetry_and_literature"	1	-1
"gempei_main_civil_node_006_provincial_officials"	0	"gempei_main_civil_node_003_rice_loans"	-1	0
"gempei_main_civil_node_007_iron_manufacturing"	0	"gempei_main_civil_node_003_rice_loans"	1	0
"gempei_main_civil_node_009_tax_quota"	1	"gempei_main_civil_node_003_rice_loans"	0	0
"gempei_main_civil_node_012_kishomon"	0	"gempei_main_civil_node_003_rice_loans"	-1	1
"gempei_main_civil_node_013_plough_and_oxen"	1	"gempei_main_civil_node_007_iron_manufacturing"	0	0
"gempei_main_civil_node_010_ceremony_and_ritual"	0	"gempei_main_civil_node_008_taoist_thinking"	-1	0
"gempei_main_civil_node_014_tang_military"	1	"gempei_main_civil_node_008_taoist_thinking"	0	0
"gempei_main_civil_node_022_sumo_retainers"	0	"gempei_main_civil_node_008_taoist_thinking"	1	0
"gempei_main_civil_node_015_todofuken"	1	"gempei_main_civil_node_009_tax_quota"	0	0
"gempei_main_civil_node_021_direct_land_tax"	0	"gempei_main_civil_node_009_tax_quota"	-1	0
"gempei_main_civil_node_016_calligraphy"	1	"gempei_main_civil_node_010_ceremony_and_ritual"	0	0
"gempei_main_civil_node_018_keppan"	1	"gempei_main_civil_node_012_kishomon"	0	0
"gempei_main_civil_node_019_animal_husbandry"	1	"gempei_main_civil_node_013_plough_and_oxen"	0	0
"gempei_main_civil_node_020_way_of_chi"	1	"gempei_main_civil_node_014_tang_military"	0	-1
"gempei_main_civil_node_019_animal_husbandry"	0	"gempei_main_civil_node_015_todofuken"	1	-1
"gempei_main_civil_node_020_way_of_chi"	1	"gempei_main_civil_node_015_todofuken"	0	1
"gempei_main_civil_node_017_police_office"	1	"gempei_main_civil_node_021_direct_land_tax"	0	0
"gempei_main_civil_node_011_clan_identity"	1	"gempei_main_civil_node_022_sumo_retainers"	0	0
"gempei_main_military_node_002_koryu"	0	"gempei_main_military_node_001_budo"	-1	0
"gempei_main_military_node_003_bushi"	0	"gempei_main_military_node_001_budo"	1	0
"gempei_main_military_node_004_forms_of_the_earth"	0	"gempei_main_military_node_002_koryu"	-1	0
"gempei_main_military_node_005_way_of_the_bow"	0	"gempei_main_military_node_002_koryu"	1	-1
"gempei_main_military_node_008_the_old_way"	1	"gempei_main_military_node_002_koryu"	0	0
"gempei_main_military_node_005_way_of_the_bow"	0	"gempei_main_military_node_003_bushi"	-1	1
"gempei_main_military_node_007_form"	0	"gempei_main_military_node_003_bushi"	1	0
