version 1, schema units_to_gov_type_permissions_tables
Unit_IDRef(string)	Government_IDRef(string)	unknown1(string)	Status(string)
"Cav_Heavy_British_Horse_Guards"	"gov_absolute_monarchy"	"63"	"enabled"
"Cav_Heavy_British_Horse_Guards"	"gov_constitutional_monarchy"	"64"	"enabled"
"Cav_Heavy_British_Horse_Guards"	"gov_republic"	"65"	"destroyed"
"Cav_Heavy_British_Life_Guards"	"gov_absolute_monarchy"	"66"	"enabled"
"Cav_Heavy_British_Life_Guards"	"gov_constitutional_monarchy"	"67"	"enabled"
"Cav_Heavy_British_Life_Guards"	"gov_republic"	"68"	"destroyed"
"Cav_Heavy_Garde_du_Corp"	"gov_absolute_monarchy"	"69"	"enabled"
"Cav_Heavy_Garde_du_Corp"	"gov_constitutional_monarchy"	"70"	"enabled"
"Cav_Heavy_Garde_du_Corp"	"gov_republic"	"71"	"destroyed"
"Cav_Heavy_Life_Guards_of_Horse"	"gov_absolute_monarchy"	"72"	"enabled"
"Cav_Heavy_Life_Guards_of_Horse"	"gov_constitutional_monarchy"	"73"	"enabled"
"Cav_Heavy_Life_Guards_of_Horse"	"gov_republic"	"74"	"destroyed"
"Cav_Heavy_Republican_Horse_Guards"	"gov_absolute_monarchy"	"75"	"destroyed"
"Cav_Heavy_Republican_Horse_Guards"	"gov_constitutional_monarchy"	"76"	"destroyed"
"Cav_Heavy_Republican_Horse_Guards"	"gov_republic"	"77"	"enabled"
"Cav_Heavy_Russian_Chevalier_Garde"	"gov_absolute_monarchy"	"78"	"enabled"
"Cav_Heavy_Russian_Chevalier_Garde"	"gov_constitutional_monarchy"	"79"	"enabled"
"Cav_Heavy_Russian_Chevalier_Garde"	"gov_republic"	"80"	"destroyed"
"Cav_Heavy_Russian_Lifeguard_Horse"	"gov_absolute_monarchy"	"81"	"enabled"
"Cav_Heavy_Russian_Lifeguard_Horse"	"gov_constitutional_monarchy"	"82"	"enabled"
"Cav_Heavy_Russian_Lifeguard_Horse"	"gov_republic"	"83"	"destroyed"
"Cav_Heavy_Spanish_Guardias_da_Corp"	"gov_absolute_monarchy"	"84"	"enabled"
"Cav_Heavy_Spanish_Guardias_da_Corp"	"gov_constitutional_monarchy"	"85"	"enabled"
"Cav_Heavy_Spanish_Guardias_da_Corp"	"gov_republic"	"86"	"destroyed"
"Inf_Elite_British_Foot_Guards"	"gov_absolute_monarchy"	"87"	"enabled"
"Inf_Elite_British_Foot_Guards"	"gov_constitutional_monarchy"	"88"	"enabled"
"Inf_Elite_British_Foot_Guards"	"gov_republic"	"89"	"destroyed"
"Inf_Elite_Foot_Guards"	"gov_absolute_monarchy"	"90"	"enabled"
"Inf_Elite_Foot_Guards"	"gov_constitutional_monarchy"	"91"	"enabled"
"Inf_Elite_Foot_Guards"	"gov_republic"	"92"	"destroyed"
"Inf_Elite_Grenadier_Guards"	"gov_absolute_monarchy"	"94"	"enabled"
"Inf_Elite_Grenadier_Guards"	"gov_constitutional_monarchy"	"95"	"enabled"
"Inf_Elite_Grenadier_Guards"	"gov_republic"	"96"	"destroyed"
"Inf_Elite_Life_Guards_of_Foot"	"gov_absolute_monarchy"	"97"	"enabled"
"Inf_Elite_Life_Guards_of_Foot"	"gov_constitutional_monarchy"	"98"	"enabled"
"Inf_Elite_Life_Guards_of_Foot"	"gov_republic"	"99"	"destroyed"
"Inf_Elite_Life_Regiment"	"gov_absolute_monarchy"	"100"	"enabled"
"Inf_Elite_Life_Regiment"	"gov_constitutional_monarchy"	"101"	"enabled"
"Inf_Elite_Life_Regiment"	"gov_republic"	"102"	"destroyed"
"Inf_Elite_Prussian_Foot_Guards"	"gov_absolute_monarchy"	"103"	"enabled"
"Inf_Elite_Prussian_Foot_Guards"	"gov_constitutional_monarchy"	"104"	"enabled"
"Inf_Elite_Prussian_Foot_Guards"	"gov_republic"	"105"	"destroyed"
"Inf_Elite_Republican_Guards"	"gov_absolute_monarchy"	"106"	"destroyed"
"Inf_Elite_Republican_Guards"	"gov_constitutional_monarchy"	"107"	"destroyed"
"Inf_Elite_Republican_Guards"	"gov_republic"	"108"	"enabled"
"Inf_Elite_Russian_Lifeguard_Foot"	"gov_absolute_monarchy"	"109"	"enabled"
"Inf_Elite_Russian_Lifeguard_Foot"	"gov_constitutional_monarchy"	"110"	"enabled"
"Inf_Elite_Russian_Lifeguard_Foot"	"gov_republic"	"111"	"destroyed"
"Inf_Elite_Spanish_Guardias_de_Infanteria"	"gov_absolute_monarchy"	"112"	"enabled"
"Inf_Elite_Spanish_Guardias_de_Infanteria"	"gov_constitutional_monarchy"	"113"	"enabled"
"Inf_Elite_Spanish_Guardias_de_Infanteria"	"gov_republic"	"114"	"destroyed"
