version 3, schema technologies_tables, guid a073393b-5a3a-4819-959a-298f96380309
Tech_ID(string)	Building_IDRef(string)	Tech_Tree_Position(int)	Research_Points(int)	Icon_x0020_Name(string)	Land_prestige(int)	Naval_prestige(int)	Economic_prestige(int)	Enlightenment_prestige(int)	Early_Availability(boolean)	Late_Availability(boolean)	Researched_Message_Picture(string)	unknown3(int)	index(int)
"boshin_civil_abolition_of_land_restriction"	"SHO_Sword_2_Nodachi"	2	800	"boshin_civil_abolition_of_land_restriction"	0	0	0	0	false	false	"bos_agriculture.tga"	0	875
"boshin_civil_administrative_training"	"SHO_Sword_2_Nodachi"	2	500	"boshin_civil_administrative_training"	0	0	0	0	false	false	"bos_generic.TGA"	0	818
"boshin_civil_capitalist_production"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_civil_capitalist_production"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	925
"boshin_civil_censorship"	"SHO_Sword_2_Nodachi"	2	1300	"boshin_civil_censorship"	0	0	0	0	false	false	"bos_generic.TGA"	0	897
"boshin_civil_central_reforms"	"SHO_Sword_2_Nodachi"	2	1000	"boshin_civil_central_reforms"	0	0	0	0	false	false	"bos_generic.TGA"	0	922
"boshin_civil_charter_oath"	"SHO_Sword_2_Nodachi"	2	1800	"boshin_civil_charter_oath"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	954
"boshin_civil_consular_court"	"SHO_Sword_2_Nodachi"	2	700	"boshin_civil_consular_court"	0	0	0	0	false	false	"bos_generic.TGA"	0	808
"boshin_civil_cordial_relations"	"SHO_Sword_2_Nodachi"	2	800	"boshin_civil_cordial_relations"	0	0	0	0	false	false	"bos_westerner.TGA"	0	852
"boshin_civil_domain_and_the_realm"	"SHO_Sword_2_Nodachi"	2	800	"boshin_civil_domain_and_the_realm"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	856
"boshin_civil_epic_architecture"	"SHO_Sword_2_Nodachi"	2	400	"boshin_civil_epic_architecture"	0	0	0	0	false	false	"bos_modernisation.TGA"	0	802
"boshin_civil_foreign_affairs"	"SHO_Sword_2_Nodachi"	2	600	"boshin_civil_foreign_affairs"	0	0	0	0	false	false	"bos_westerner.TGA"	0	835
