version 1, schema warscape_trees_tables
TreeID(string)	Season(string)	Model_x0020_Path(string)
"lc_am_desert-American_Holly_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-american_holly_SHRUB.spt"
"lc_am_desert-American_Holly_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-american_holly_SHRUB.spt"
"lc_am_desert-Arizona_Bush_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-ArizonaBush_SHRUB.spt"
"lc_am_desert-Arizona_Bush_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-ArizonaBush_SHRUB.spt"
"lc_am_desert-Broom_Snakeweed_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-broom_snakeweed_SHRUB.spt"
"lc_am_desert-Broom_Snakeweed_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-broom_snakeweed_SHRUB.spt"
"lc_am_desert-Hazel_Arid_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-hazel_arid_SHRUB.spt"
"lc_am_desert-Hazel_Arid_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-hazel_arid_SHRUB.spt"
"lc_am_desert-Nettle_tree"	"season_summer"	"\\lc_am_desert\\lc_am_desert-nettle_tree_TREE.spt"
"lc_am_desert-Nettle_tree"	"season_winter"	"\\lc_am_desert\\lc_am_desert-nettle_tree_TREE.spt"
"lc_am_desert-Scarlet_Oak_tree"	"season_summer"	"\\lc_am_desert\\lc_am_desert-scarlet_oak_TREE.spt"
"lc_am_desert-Scarlet_Oak_tree"	"season_winter"	"\\lc_am_desert\\lc_am_desert-scarlet_oak_TREE.spt"
"lc_am_desert-Thicket_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-thicket_SHRUB.spt"
"lc_am_desert-Thicket_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-thicket_SHRUB.spt"
"lc_am_desert-Yucca_shrub"	"season_summer"	"\\lc_am_desert\\lc_am_desert-yucca_SHRUB.spt"
"lc_am_desert-Yucca_shrub"	"season_winter"	"\\lc_am_desert\\lc_am_desert-yucca_SHRUB.spt"
"lc_am_great_plains-American_holly_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-american_holly_SHRUB.spt"
"lc_am_great_plains-American_holly_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-american_holly_SHRUB.spt"
"lc_am_great_plains-Arizona_bush_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-ArizonaBush_SHRUB.spt"
"lc_am_great_plains-Arizona_bush_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-ArizonaBush_SHRUB.spt"
"lc_am_great_plains-Broom_Snakeweed_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-broom_snakeweed_SHRUB.spt"
"lc_am_great_plains-Broom_Snakeweed_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-broom_snakeweed_SHRUB.spt"
"lc_am_great_plains-Hazel_Arid_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-hazel_arid_SHRUB.spt"
"lc_am_great_plains-Hazel_Arid_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-hazel_arid_SHRUB.spt"
"lc_am_great_plains-Thicket_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-thicket_SHRUB.spt"
"lc_am_great_plains-Thicket_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-thicket_SHRUB.spt"
"lc_am_great_plains-Yucca_shrub"	"season_summer"	"\\lc_am_great_plains\\lc_am_great_plains-yucca_SHRUB.spt"
"lc_am_great_plains-Yucca_shrub"	"season_winter"	"\\lc_am_great_plains\\lc_am_great_plains-yucca_SHRUB.spt"
"lc_am_jungle-Balsa_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-balsa_TREE.spt"
"lc_am_jungle-Balsa_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-balsa_TREE.spt"
"lc_am_jungle-Bamboo_Cluster_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-bamboo_cluster_TREE.spt"
"lc_am_jungle-Bamboo_Cluster_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-bamboo_cluster_TREE.spt"
"lc_am_jungle-Banana_Tree_shrub"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-banana_tree_SHRUB.spt"
"lc_am_jungle-Banana_Tree_shrub"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-banana_tree_SHRUB.spt"
"lc_am_jungle-Caribbean_Pine_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-caribbean_pine_TREE.spt"
"lc_am_jungle-Caribbean_Pine_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-caribbean_pine_TREE.spt"
"lc_am_jungle-Cecropia_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-cecropia_TREE.spt"
"lc_am_jungle-Cecropia_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-cecropia_TREE.spt"
"lc_am_jungle-Cinnamon_Fern_shrub"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-cinnamon_fern_SHRUB.spt"
"lc_am_jungle-Cinnamon_Fern_shrub"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-cinnamon_fern_SHRUB.spt"
"lc_am_jungle-Jungle_Brush_shrub"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-jungle_brush_SHRUB.spt"
"lc_am_jungle-Jungle_Brush_shrub"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-jungle_brush_SHRUB.spt"
"lc_am_jungle-Kapok_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-kapok_TREE.spt"
"lc_am_jungle-Kapok_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-kapok_TREE.spt"
"lc_am_jungle-Queen_Palm_tree"	"season_summer"	"\\lc_am_jungle\\lc_am_jungle-queen_palm_TREE.spt"
"lc_am_jungle-Queen_Palm_tree"	"season_winter"	"\\lc_am_jungle\\lc_am_jungle-queen_palm_TREE.spt"
"lc_am_s_arid-Broom_Snakeweed_shrub"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-broom_snakeweed_SHRUB.spt"
"lc_am_s_arid-Broom_Snakeweed_shrub"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-broom_snakeweed_SHRUB.spt"
"lc_am_s_arid-Dead_Tree_1_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-dead_tree_1_TREE.spt"
"lc_am_s_arid-Dead_Tree_1_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-dead_tree_1_TREE.spt"
"lc_am_s_arid-Dead_Tree_2_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-dead_tree_2_TREE.spt"
"lc_am_s_arid-Dead_Tree_2_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-dead_tree_2_TREE.spt"
"lc_am_s_arid-Honey_Mesquite_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-honey_mesquite_TREE.spt"
"lc_am_s_arid-Honey_Mesquite_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-honey_mesquite_TREE.spt"
"lc_am_s_arid-Low_Brush_shrub"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-lowbrush_SHRUB.spt"
"lc_am_s_arid-Low_Brush_shrub"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-lowbrush_SHRUB.spt"
"lc_am_s_arid-Manzanita_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-manzanita_TREE.spt"
"lc_am_s_arid-Manzanita_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-manzanita_TREE.spt"
"lc_am_s_arid-Sorrel_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-sorrel_TREE.spt"
"lc_am_s_arid-Sorrel_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-sorrel_TREE.spt"
"lc_am_s_arid-Sweet_Gum_tree"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-sweet_gum_TREE.spt"
"lc_am_s_arid-Sweet_Gum_tree"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-sweet_gum_TREE.spt"
"lc_am_s_arid-Thicket_shrub"	"season_summer"	"\\lc_am_s_arid\\lc_am_s_arid-thicket_SHRUB.spt"
"lc_am_s_arid-Thicket_shrub"	"season_winter"	"\\lc_am_s_arid\\lc_am_s_arid-thicket_SHRUB.spt"
"lc_am_se_usa-Bald_cypress_tree"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-BaldCypress_TREE.spt"
"lc_am_se_usa-Bald_cypress_tree"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-BaldCypress_TREE.spt"
"lc_am_se_usa-Banyan_tree"	"season_summer"	"\\lc_am_se_usa\\lc_am_se_usa-BanyanTree_TREE.spt"
"lc_am_se_usa-Banyan_tree"	"season_winter"	"\\lc_am_se_usa\\lc_am_se_usa-BanyanTree_TREE.spt"
