version 1, schema sound_events_tables, guid 4cc5c053-1a0b-4b6f-b169-615baa0f09d0
unknown1(boolean)	unknown2(string)
true	"Ashigaru_Archers_Special_Ability_Fire_Arrows"
true	"Ashigaru_Archers_Special_Ability_Pavisse"
true	"Bow_Warrior_Monks_Special_Ability_Fire_Arrows"
true	"Campaign_AG_American_Army_Attack_Army"
true	"Campaign_AG_American_Army_Besiege_Settlement"
true	"Campaign_AG_American_Army_Death"
true	"Campaign_AG_American_Army_Lay_Ambush"
true	"Campaign_AG_American_Army_Movement_Completed"
true	"Campaign_AG_American_Army_Movement_Disembark"
true	"Campaign_AG_American_Army_Movement_Disembark_Train"
true	"Campaign_AG_American_Army_Movement_Embark"
true	"Campaign_AG_American_Army_Movement_Embark_Train"
true	"Campaign_AG_American_Army_Movement_Ordered"
true	"Campaign_AG_American_Army_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_American_Army_Movement_end_ActionPs_available"
true	"Campaign_AG_American_Army_Raid_Slot"
true	"Campaign_AG_American_Army_Retreat"
true	"Campaign_AG_American_Army_Selected"
true	"Campaign_AG_American_Navy_Attack_Navy"
true	"Campaign_AG_American_Navy_Death"
true	"Campaign_AG_American_Navy_Movement_Completed"
true	"Campaign_AG_American_Navy_Movement_Ordered"
true	"Campaign_AG_American_Navy_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_American_Navy_Movement_end_ActionPs_available"
true	"Campaign_AG_American_Navy_Naval_Bombardment_Ordered"
true	"Campaign_AG_American_Navy_Retreat"
true	"Campaign_AG_American_Navy_Selected"
true	"Campaign_AG_British_Army_Attack_Army"
true	"Campaign_AG_British_Army_Besiege_Settlement"
true	"Campaign_AG_British_Army_Death"
true	"Campaign_AG_British_Army_Lay_Ambush"
true	"Campaign_AG_British_Army_Movement_Completed"
true	"Campaign_AG_British_Army_Movement_Disembark"
true	"Campaign_AG_British_Army_Movement_Disembark_Train"
true	"Campaign_AG_British_Army_Movement_Embark"
true	"Campaign_AG_British_Army_Movement_Embark_Train"
true	"Campaign_AG_British_Army_Movement_Ordered"
true	"Campaign_AG_British_Army_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_British_Army_Movement_end_ActionPs_available"
true	"Campaign_AG_British_Army_Raid_Slot"
true	"Campaign_AG_British_Army_Retreat"
true	"Campaign_AG_British_Army_Selected"
true	"Campaign_AG_British_Navy_Attack_Navy"
true	"Campaign_AG_British_Navy_Death"
true	"Campaign_AG_British_Navy_Movement_Completed"
true	"Campaign_AG_British_Navy_Movement_Ordered"
true	"Campaign_AG_British_Navy_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_British_Navy_Movement_end_ActionPs_available"
true	"Campaign_AG_British_Navy_Naval_Bombardment_Ordered"
true	"Campaign_AG_British_Navy_Retreat"
true	"Campaign_AG_British_Navy_Selected"
true	"Campaign_AG_Foreign_Veteran_American_Harass"
true	"Campaign_AG_Foreign_Veteran_American_Impede_Recruitment"
true	"Campaign_AG_Foreign_Veteran_American_Level_Up"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Completed"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Disembark"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Disembark_Train"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Embark"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Embark_Train"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Ordered"
true	"Campaign_AG_Foreign_Veteran_American_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Foreign_Veteran_American_Movement_end_ActionPs_available"
true	"Campaign_AG_Foreign_Veteran_American_Selected"
true	"Campaign_AG_Foreign_Veteran_American_Single_Combat"
true	"Campaign_AG_Foreign_Veteran_American_Supervise_Recruitment"
true	"Campaign_AG_Foreign_Veteran_American_Train_Troops"
true	"Campaign_AG_Foreign_Veteran_English_Death"
true	"Campaign_AG_Foreign_Veteran_English_Harass"
true	"Campaign_AG_Foreign_Veteran_English_Impede_Recruitment"
true	"Campaign_AG_Foreign_Veteran_English_Level_Up"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Completed"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Disembark"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Disembark_Train"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Embark"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Embark_Train"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Ordered"
true	"Campaign_AG_Foreign_Veteran_English_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Foreign_Veteran_English_Movement_end_ActionPs_available"
true	"Campaign_AG_Foreign_Veteran_English_Selected"
true	"Campaign_AG_Foreign_Veteran_English_Single_Combat"
true	"Campaign_AG_Foreign_Veteran_English_Supervise_Recruitment"
true	"Campaign_AG_Foreign_Veteran_English_Train_Troops"
true	"Campaign_AG_Foreign_Veteran_French_Death"
true	"Campaign_AG_Foreign_Veteran_French_Harass"
true	"Campaign_AG_Foreign_Veteran_French_Impede_Recruitment"
true	"Campaign_AG_Foreign_Veteran_French_Level_Up"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Completed"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Disembark"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Disembark_Train"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Embark"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Embark_Train"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Ordered"
true	"Campaign_AG_Foreign_Veteran_French_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Foreign_Veteran_French_Movement_end_ActionPs_available"
true	"Campaign_AG_Foreign_Veteran_French_Selected"
true	"Campaign_AG_Foreign_Veteran_French_Single_Combat"
true	"Campaign_AG_Foreign_Veteran_French_Supervise_Recruitment"
true	"Campaign_AG_Foreign_Veteran_French_Train_Troops"
true	"Campaign_AG_French_Army_Attack_Army"
true	"Campaign_AG_French_Army_Besiege_Settlement"
true	"Campaign_AG_French_Army_Death"
true	"Campaign_AG_French_Army_Lay_Ambush"
true	"Campaign_AG_French_Army_Movement_Completed"
true	"Campaign_AG_French_Army_Movement_Disembark"
true	"Campaign_AG_French_Army_Movement_Disembark_Train"
true	"Campaign_AG_French_Army_Movement_Embark"
true	"Campaign_AG_French_Army_Movement_Embark_Train"
true	"Campaign_AG_French_Army_Movement_Ordered"
true	"Campaign_AG_French_Army_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_French_Army_Movement_end_ActionPs_available"
true	"Campaign_AG_French_Army_Raid_Slot"
true	"Campaign_AG_French_Army_Retreat"
true	"Campaign_AG_French_Army_Selected"
true	"Campaign_AG_French_Navy_Attack_Navy"
true	"Campaign_AG_French_Navy_Death"
true	"Campaign_AG_French_Navy_Movement_Completed"
true	"Campaign_AG_French_Navy_Movement_Ordered"
true	"Campaign_AG_French_Navy_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_French_Navy_Movement_end_ActionPs_available"
true	"Campaign_AG_French_Navy_Naval_Bombardment_Ordered"
true	"Campaign_AG_French_Navy_Retreat"
true	"Campaign_AG_French_Navy_Selected"
true	"Campaign_AG_Geisha_Death"
true	"Campaign_AG_Geisha_Defraud_Nobles"
true	"Campaign_AG_Geisha_Distract_Army"
true	"Campaign_AG_Geisha_Enchant"
true	"Campaign_AG_Geisha_Entertain_Nobles"
true	"Campaign_AG_Geisha_Inspire_Troops"
true	"Campaign_AG_Geisha_Level_Up"
true	"Campaign_AG_Geisha_Movement_Completed"
true	"Campaign_AG_Geisha_Movement_Disembark"
true	"Campaign_AG_Geisha_Movement_Disembark_Train"
true	"Campaign_AG_Geisha_Movement_Embark"
true	"Campaign_AG_Geisha_Movement_Embark_Train"
true	"Campaign_AG_Geisha_Movement_Ordered"
true	"Campaign_AG_Geisha_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Geisha_Movement_end_ActionPs_available"
true	"Campaign_AG_Geisha_Selected"
true	"Campaign_AG_Imperial_Admiral_Attack_Admiral"
true	"Campaign_AG_Imperial_Admiral_Death"
true	"Campaign_AG_Imperial_Admiral_Movement_Completed"
true	"Campaign_AG_Imperial_Admiral_Movement_Ordered"
true	"Campaign_AG_Imperial_Admiral_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Imperial_Admiral_Movement_end_ActionPs_available"
true	"Campaign_AG_Imperial_Admiral_Naval_Bombardment_Ordered"
true	"Campaign_AG_Imperial_Admiral_Retreat"
true	"Campaign_AG_Imperial_Admiral_Selected"
true	"Campaign_AG_Imperial_Army_Attack_Army"
true	"Campaign_AG_Imperial_Army_Besiege_Settlement"
true	"Campaign_AG_Imperial_Army_Death"
true	"Campaign_AG_Imperial_Army_Lay_Ambush"
true	"Campaign_AG_Imperial_Army_Movement_Completed"
true	"Campaign_AG_Imperial_Army_Movement_Disembark"
true	"Campaign_AG_Imperial_Army_Movement_Disembark_Train"
true	"Campaign_AG_Imperial_Army_Movement_Embark"
true	"Campaign_AG_Imperial_Army_Movement_Embark_Train"
true	"Campaign_AG_Imperial_Army_Movement_Ordered"
true	"Campaign_AG_Imperial_Army_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Imperial_Army_Movement_end_ActionPs_available"
true	"Campaign_AG_Imperial_Army_Raid_Slot"
true	"Campaign_AG_Imperial_Army_Retreat"
true	"Campaign_AG_Imperial_Army_Selected"
true	"Campaign_AG_Imperial_General_Attack_Army"
true	"Campaign_AG_Imperial_General_Besiege_Settlement"
true	"Campaign_AG_Imperial_General_Death"
true	"Campaign_AG_Imperial_General_Lay_Ambush"
true	"Campaign_AG_Imperial_General_Movement_Completed"
true	"Campaign_AG_Imperial_General_Movement_Disembark"
true	"Campaign_AG_Imperial_General_Movement_Disembark_Train"
true	"Campaign_AG_Imperial_General_Movement_Embark"
true	"Campaign_AG_Imperial_General_Movement_Embark_Train"
true	"Campaign_AG_Imperial_General_Movement_Ordered"
true	"Campaign_AG_Imperial_General_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Imperial_General_Movement_end_ActionPs_available"
true	"Campaign_AG_Imperial_General_Raid_Slot"
true	"Campaign_AG_Imperial_General_Retreat"
true	"Campaign_AG_Imperial_General_Selected"
true	"Campaign_AG_Imperial_Navy_Attack_Navy"
true	"Campaign_AG_Imperial_Navy_Death"
true	"Campaign_AG_Imperial_Navy_Movement_Completed"
true	"Campaign_AG_Imperial_Navy_Movement_Ordered"
true	"Campaign_AG_Imperial_Navy_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Imperial_Navy_Movement_end_ActionPs_available"
true	"Campaign_AG_Imperial_Navy_Naval_Bombardment_Ordered"
true	"Campaign_AG_Imperial_Navy_Retreat"
true	"Campaign_AG_Imperial_Navy_Selected"
true	"Campaign_AG_Shinobi_Assassination_Ordered"
true	"Campaign_AG_Shinobi_Death"
true	"Campaign_AG_Shinobi_Movement_Completed"
true	"Campaign_AG_Shinobi_Movement_Disembark"
true	"Campaign_AG_Shinobi_Movement_Disembark_Train"
true	"Campaign_AG_Shinobi_Movement_Embark"
true	"Campaign_AG_Shinobi_Movement_Embark_Train"
true	"Campaign_AG_Shinobi_Movement_Ordered"
true	"Campaign_AG_Shinobi_Movement_Ordered_Illegal_Move"
true	"Campaign_AG_Shinobi_Movement_end_ActionPs_available"
true	"Campaign_AG_Shinobi_Sabotage_Ordered"
true	"Campaign_AG_Shinobi_Scouting_Ordered"
true	"Campaign_AG_Shinobi_Selected"
true	"Campaign_AG_Shinobi_Spy_Network_Ordered"
true	"Campaign_AG_Shinobi_Subvert_Ordered"
true	"Campaign_AG_Shinsengumi_Assasinate"
true	"Campaign_AG_Shinsengumi_Coerce_Troops"
true	"Campaign_AG_Shinsengumi_Death"
true	"Campaign_AG_Shinsengumi_Incite_Revolt"
true	"Campaign_AG_Shinsengumi_Instill_Discipline"
true	"Campaign_AG_Shinsengumi_Level_Up"
true	"Campaign_AG_Shinsengumi_Movement_Completed"
true	"Campaign_AG_Shinsengumi_Movement_Disembark"
true	"Campaign_AG_Shinsengumi_Movement_Disembark_Train"
