version 1, schema effect_bonus_value_population_class_and_religion_junction_tables
effect_id(string)	affect_this_value(string)	Class(string)	Religion_category(string)
"happy_religion_animist"	"happiness"	"lower"	"rel_animist"
"happy_religion_animist"	"happiness"	"middle"	"rel_animist"
"happy_religion_animist"	"happiness"	"upper"	"rel_animist"
"happy_religion_buddhist"	"happiness"	"lower"	"rel_buddhist"
"happy_religion_buddhist"	"happiness"	"middle"	"rel_buddhist"
"happy_religion_buddhist"	"happiness"	"upper"	"rel_buddhist"
"happy_religion_catholic"	"happiness"	"lower"	"rel_catholic"
"happy_religion_catholic"	"happiness"	"middle"	"rel_catholic"
"happy_religion_catholic"	"happiness"	"upper"	"rel_catholic"
"happy_religion_hindu"	"happiness"	"lower"	"rel_hindu"
"happy_religion_hindu"	"happiness"	"middle"	"rel_hindu"
"happy_religion_hindu"	"happiness"	"upper"	"rel_hindu"
"happy_religion_islam"	"happiness"	"lower"	"rel_islamic"
"happy_religion_islam"	"happiness"	"middle"	"rel_islamic"
"happy_religion_islam"	"happiness"	"upper"	"rel_islamic"
"happy_religion_orthodox"	"happiness"	"lower"	"rel_orthodox"
"happy_religion_orthodox"	"happiness"	"middle"	"rel_orthodox"
"happy_religion_orthodox"	"happiness"	"upper"	"rel_orthodox"
"happy_religion_protestant"	"happiness"	"lower"	"rel_protestant"
"happy_religion_protestant"	"happiness"	"middle"	"rel_protestant"
"happy_religion_protestant"	"happiness"	"upper"	"rel_protestant"
"happy_religion_sikh"	"happiness"	"lower"	"rel_sikh"
"happy_religion_sikh"	"happiness"	"middle"	"rel_sikh"
"happy_religion_sikh"	"happiness"	"upper"	"rel_sikh"
"happy_religion_anti_french"	"happiness"	"lower"	"align_anti_french"
"happy_religion_anti_french"	"happiness"	"middle"	"align_anti_french"
"happy_religion_anti_french"	"happiness"	"upper"	"align_anti_french"
"happy_religion_pro_french"	"happiness"	"lower"	"align_pro_french"
"happy_religion_pro_french"	"happiness"	"middle"	"align_pro_french"
"happy_religion_pro_french"	"happiness"	"upper"	"align_pro_french"
