version 3, schema cdir_unit_balances_tables, guid 00430f85-dd38-49cd-b466-d577db7cc2ea
unknown1(string)	unknown2(int)	unknown3(int)	unknown4(string)	unknown5(float)	unknown6(float)	unknown7(float)
"boshin_default"	1	5	"traditional_melee"	0.5	0.5	0
"boshin_default_late"	1	5	"modern_line"	0.5	0.5	0
"boshin_early"	5	20	"traditional_cav"	0.2	0.1	0
"boshin_early"	5	20	"traditional_melee"	0.5	0.2	0
"boshin_early"	5	20	"traditional_missile"	0.3	0.2	0
"boshin_early_mp"	1	40	"traditional_cav"	0.2	0.1	0
"boshin_early_mp"	1	40	"traditional_melee"	0.3	0.2	0
"boshin_early_mp"	1	40	"traditional_missile"	0.5	0.2	0
"boshin_fleet"	1	10	"modern_navy"	1	0.2	0
"boshin_fleet_mp"	1	10	"modern_navy"	1	0.2	0
"boshin_late"	5	20	"artillery"	0.1	0	0
"boshin_late"	5	20	"modern_cav"	0.2	0.1	0
"boshin_late"	5	20	"modern_elite_light"	0.2	0.1	0
"boshin_late"	5	20	"modern_line"	0.5	0.1	0
"boshin_late_mp"	1	40	"artillery"	0.1	0	0
"boshin_late_mp"	1	40	"modern_cav"	0.2	0.1	0
"boshin_late_mp"	1	40	"modern_elite_light"	0.2	0.1	0
"boshin_late_mp"	1	40	"modern_line"	0.5	0.1	0
"boshin_line_art_only"	1	20	"artillery"	0.2	0	0
"boshin_line_art_only"	1	20	"modern_line"	0.8	0.1	0
"boshin_line_missile_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_line_missile_art_only"	1	20	"modern_line"	0.5	0.1	0
"boshin_line_missile_art_only"	1	20	"traditional_missile"	0.3	0.1	0
"boshin_line_missile_only"	1	20	"modern_line"	0.8	0.1	0
"boshin_line_missile_only"	1	20	"traditional_missile"	0.2	0.1	0
"boshin_line_mod_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_line_mod_cav_art_only"	1	20	"modern_cav"	0.3	0.1	0
"boshin_line_mod_cav_art_only"	1	20	"modern_line"	0.5	0.1	0
"boshin_line_mod_cav_only"	1	20	"modern_cav"	0.3	0.1	0
"boshin_line_mod_cav_only"	1	20	"modern_line"	0.7	0.1	0
"boshin_line_only"	1	20	"modern_line"	1	0	0
"boshin_line_trad_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_line_trad_cav_art_only"	1	20	"modern_line"	0.5	0.1	0
"boshin_line_trad_cav_art_only"	1	20	"traditional_cav"	0.3	0.1	0
"boshin_line_trad_cav_only"	1	20	"modern_line"	0.7	0.1	0
"boshin_line_trad_cav_only"	1	20	"traditional_cav"	0.3	0.1	0
"boshin_melee_art_only"	1	20	"artillery"	0.2	0	0
"boshin_melee_art_only"	1	20	"traditional_melee"	0.8	0.1	0
"boshin_melee_line_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_line_art_only"	1	20	"modern_line"	0.5	0.1	0
"boshin_melee_line_art_only"	1	20	"traditional_melee"	0.3	0.1	0
"boshin_melee_line_missile_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_line_missile_art_only"	1	20	"modern_line"	0.4	0.1	0
"boshin_melee_line_missile_art_only"	1	20	"traditional_melee"	0.2	0.1	0
"boshin_melee_line_missile_art_only"	1	20	"traditional_missile"	0.2	0.1	0
"boshin_melee_line_missile_mod_cav_art_only"	1	20	"artillery"	0.1	0.1	0
"boshin_melee_line_missile_mod_cav_art_only"	1	20	"modern_cav"	0.2	0.1	0
"boshin_melee_line_missile_mod_cav_art_only"	1	20	"modern_line"	0.4	0.1	0
"boshin_melee_line_missile_mod_cav_art_only"	1	20	"traditional_melee"	0.2	0.1	0
"boshin_melee_line_missile_mod_cav_art_only"	1	20	"traditional_missile"	0.1	0.1	0
"boshin_melee_line_missile_mod_cav_only"	5	20	"modern_cav"	0.2	0.1	0
"boshin_melee_line_missile_mod_cav_only"	5	20	"modern_line"	0.5	0.1	0
"boshin_melee_line_missile_mod_cav_only"	5	20	"traditional_melee"	0.2	0.2	0
"boshin_melee_line_missile_mod_cav_only"	5	20	"traditional_missile"	0.1	0.1	0
"boshin_melee_line_missile_only"	5	20	"modern_line"	0.4	0.2	0
"boshin_melee_line_missile_only"	5	20	"traditional_melee"	0.4	0.2	0
"boshin_melee_line_missile_only"	5	20	"traditional_missile"	0.2	0.1	0
"boshin_melee_line_missile_trad_cav_art_only"	1	20	"artillery"	0.1	0.1	0
"boshin_melee_line_missile_trad_cav_art_only"	1	20	"modern_line"	0.4	0.1	0
"boshin_melee_line_missile_trad_cav_art_only"	1	20	"traditional_cav"	0.2	0.1	0
"boshin_melee_line_missile_trad_cav_art_only"	1	20	"traditional_melee"	0.2	0.1	0
"boshin_melee_line_missile_trad_cav_art_only"	1	20	"traditional_missile"	0.1	0.1	0
"boshin_melee_line_missile_trad_cav_only"	5	20	"modern_line"	0.4	0.2	0
"boshin_melee_line_missile_trad_cav_only"	5	20	"traditional_cav"	0.2	0.1	0
"boshin_melee_line_missile_trad_cav_only"	5	20	"traditional_melee"	0.3	0.1	0
"boshin_melee_line_missile_trad_cav_only"	5	20	"traditional_missile"	0.1	0.1	0
"boshin_melee_line_mod_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_line_mod_cav_art_only"	1	20	"modern_cav"	0.2	0.1	0
"boshin_melee_line_mod_cav_art_only"	1	20	"modern_line"	0.4	0.1	0
"boshin_melee_line_mod_cav_art_only"	1	20	"traditional_melee"	0.2	0.1	0
"boshin_melee_line_mod_cav_only"	5	20	"modern_cav"	0.2	0.1	0
"boshin_melee_line_mod_cav_only"	5	20	"modern_line"	0.6	0.2	0
"boshin_melee_line_mod_cav_only"	5	20	"traditional_melee"	0.2	0.2	0
"boshin_melee_line_only"	5	20	"modern_line"	0.5	0.3	0
"boshin_melee_line_only"	5	20	"traditional_melee"	0.5	0.3	0
"boshin_melee_line_trad_cav_art_only"	1	20	"artillery"	0.2	0.1	0
"boshin_melee_line_trad_cav_art_only"	1	20	"modern_line"	0.4	0.1	0
"boshin_melee_line_trad_cav_art_only"	1	20	"traditional_cav"	0.2	0.1	0
"boshin_melee_line_trad_cav_art_only"	1	20	"traditional_melee"	0.2	0.1	0
"boshin_melee_line_trad_cav_only"	5	20	"modern_line"	0.3	0.2	0
"boshin_melee_line_trad_cav_only"	5	20	"traditional_cav"	0.2	0.1	0
