version 1, schema start_pos_faction_effect_bundles_tables, guid a211b4b1-11fc-464c-9dad-77b6b4e13df8
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(int)
""	""	"t_oda"	-1778312400
""	""	"t_shimazu"	2120134918
""	""	"t_mori"	2120134919
""	""	"t_tokugawa"	2120134920
""	""	"t_takeda"	2120134921
""	""	"t_uesugi"	2120134922
""	""	"t_date"	2120134923
""	""	"t_chosokabe"	2120134924
""	""	"t_otomo"	2120134929
""	""	"t_hattori"	2120134965
""	""	"t_ikko"	2120134973
""	""	"t_chosokabe"	2120134998
""	""	"gem_minor"	2120135334
""	""	"gem_minamoto_kamakura"	2120135338
""	""	"gem_minor"	2120135348
""	""	"gem_minor"	2120135354
""	""	"gem_minor"	2120135357
""	""	"gem_minor"	2120135367
""	""	"gem_minor"	2120135369
""	""	"gem_fujiwara_hiraizumi"	2120135374
""	""	"gem_minor"	2120135381
""	""	"gem_minor"	2120135383
""	""	"gem_minor"	2120135393
""	""	"gem_minor"	2120135400
""	""	"gem_minor"	2120135403
""	""	"gem_minor"	2120135405
""	""	"gem_minor"	2120135414
""	""	"gem_taira_yashima"	2120135418
""	""	"gem_minor"	2120135427
""	""	"gem_minor"	2120135436
""	""	"gem_minor"	2120135444
""	""	"gem_minor"	2120135445
""	""	"gem_minor"	2120135450
""	""	"gem_minor"	2120135456
""	""	"gem_minor"	2120135464
""	""	"gem_minor"	2120135466
""	""	"gem_minor"	2120135472
""	""	"gem_minor"	2120135479
""	""	"gem_minor"	2120135485
""	""	"gem_minor"	2120135492
""	""	"gem_taira_fukuhara"	2120135501
""	""	"gem_minor"	2120135504
""	""	"gem_minor"	2120135512
""	""	"gem_minor"	2120135513
""	""	"gem_minor"	2120135518
""	""	"gem_minor"	2120135528
""	""	"gem_minor"	2120135538
""	""	"gem_minor"	2120135546
""	""	"gem_minor"	2120135553
""	""	"gem_minamoto_kiso"	2120135562
""	""	"gem_minor"	2120135563
""	""	"gem_minor"	2120135569
""	""	"gem_minor"	2120135570
""	""	"gem_minor"	2120135575
""	""	"gem_minor"	2120135583
""	""	"gem_minor"	2120135588
""	""	"gem_fujiwara_kubota"	2120135593
""	""	"gem_minor"	2120135610
""	""	"gem_minor"	2120135614
""	""	"gem_minor"	2120135615
""	""	"gem_minor"	2120135625
""	""	"gem_minor"	2120135632
""	""	"gem_minor"	2120135640
""	""	"gem_minor"	2120135649
""	""	"gem_minor"	2120135653
""	""	"gem_minor"	2120135661
""	""	"gem_minor"	2120135664
""	""	"gem_minor"	2120135666
""	""	"gem_minor"	2120135674
""	""	"gem_minor"	2120135675
""	""	"gem_minor"	2120135680
""	""	"bos_minor_clan"	2120135730
""	""	"bos_satsuma"	2120135735
""	""	"bos_minor_clan"	2120135741
""	""	"bos_minor_clan"	2120135743
""	""	"bos_saga"	2120135749
""	""	"bos_minor_clan"	2120135755
""	""	"bos_minor_clan"	2120135765
""	""	"bos_minor_clan"	2120135775
""	""	"bos_minor_clan"	2120135777
""	""	"bos_minor_clan"	2120135780
""	""	"bos_minor_clan"	2120135781
""	""	"bos_tosa"	2120135785
""	""	"bos_minor_clan"	2120135788
""	""	"bos_minor_clan"	2120135796
""	""	"bos_minor_clan"	2120135806
""	""	"bos_choshu"	2120135815
""	""	"bos_minor_clan"	2120135818
""	""	"bos_minor_clan"	2120135825
""	""	"bos_minor_clan"	2120135833
""	""	"bos_minor_clan"	2120135840
""	""	"bos_minor_clan"	2120135841
""	""	"bos_minor_clan"	2120135846
""	""	"bos_minor_clan"	2120135849
""	""	"bos_minor_clan"	2120135851
""	""	"bos_minor_clan"	2120135860
""	""	"bos_minor_clan"	2120135865
""	""	"bos_minor_clan"	2120135874
""	""	"bos_minor_clan"	2120135882
""	""	"bos_minor_clan"	2120135884
""	""	"bos_minor_clan"	2120135891
""	""	"bos_minor_clan"	2120135896
""	""	"bos_obama"	2120135905
""	""	"bos_minor_clan"	2120135909
""	""	"bos_minor_clan"	2120135911
""	""	"bos_tsu"	2120135913
""	""	"bos_minor_clan"	2120135916
""	""	"bos_minor_clan"	2120135921
""	""	"bos_minor_clan"	2120135927
""	""	"bos_minor_clan"	2120135931
""	""	"bos_minor_clan"	2120135941
""	""	"bos_minor_clan"	2120135942
""	""	"bos_minor_clan"	2120135952
""	""	"bos_minor_clan"	2120135962
""	""	"bos_minor_clan"	2120135964
""	""	"bos_minor_clan"	2120135968
""	""	"bos_minor_clan"	2120135975
""	""	"bos_minor_clan"	2120135978
""	""	"bos_minor_clan"	2120135985
""	""	"bos_minor_clan"	2120135988
""	""	"bos_nagaoka"	2120135993
""	""	"bos_minor_clan"	2120135996
""	""	"bos_minor_clan"	2120136006
""	""	"bos_minor_clan"	2120136014
""	""	"bos_minor_clan"	2120136023
""	""	"bos_minor_clan"	2120136029
""	""	"bos_jozai"	2120136039
""	""	"bos_minor_clan"	2120136041
""	""	"bos_minor_clan"	2120136048
""	""	"bos_minor_clan"	2120136056
""	""	"bos_aizu"	2120136065
""	""	"bos_minor_clan"	2120136070
""	""	"bos_minor_clan"	2120136071
""	""	"bos_sendai"	2120136078
""	""	"bos_minor_clan"	2120136081
""	""	"bos_minor_clan"	2120136090
""	""	"bos_minor_clan"	2120136095
""	""	"bos_minor_clan"	2120136098
""	""	"bos_minor_clan"	2120136106
""	""	"t_hojo"	949938033
