version 1, schema region_unit_resources_tables, guid 5ec9a7ea-6436-46a5-851b-163ccd8c84fb
Region_IDRef(string)	Screen_name(string)
"armed_citizenry"	"Armed Citizenry"
"balkans"	"Balkans"
"bedouin"	"Bedouin"
"camels"	"Camels"
"cossacks"	"Cossacks"
"france"	"France"
"global"	"Worldwide"
"horses"	"Horses"
"hungary"	"Hungary"
"kyoto"	"Kyoto"
"libya"	"Libya"
"lombardy"	"Lombardy"
"milan"	"French Milan"
"modena"	"French Modena"
"norway"	"Norway"
"ottoman_elite"	"Ottoman Elite"
"palestine"	"Palestine"
"poland"	"Poland"
"scotland"	"Scotland"
"silesia"	"Silesia"
"switzerland"	"Switzerland"
"tyrol"	"Tyrol"
