version 1, schema abilities_tables, guid ad69ca94-658d-428c-bb43-736f59bceec2
Agent_Ability_ID(string)	Associated_Attribute(optstring)	associated_cursor_mode(string)	is_active(boolean)
"Can_Hide_In_Woods"	"command_land"	"normal"	false
"can_assassinate"	"subterfuge"	"action"	true
"can_attack_land"	"command_land"	"attack"	true
"can_attack_naval"	"command_sea"	"attack"	true
"can_bribe"	"cunning"	"action"	true
"can_build_fort"	"command_land"	"normal"	true
"can_build_religious"	"zeal"	"normal"	true
"can_convert"	"zeal"	"normal"	false
"can_convert_character"	"zeal"	"action"	true
"can_demoralise_army"	"zeal"	"action"	true
"can_distract_garrison"	"cunning"	"action"	true
"can_duel"	"duelling_pistols"	"action"	true
"can_exchange"	nil	"exchange"	true
"can_hunt_down"	"cunning"	"action"	true
"can_incite_revolt"	"zeal"	"action"	true
"can_receive_duel"	"duelling_pistols"	"action"	true
"can_research"	"research"	"normal"	false
"can_sabotage"	"subterfuge"	"action"	true
"can_sabotage_army"	"subterfuge"	"action"	true
"can_seduce"	"subterfuge"	"action"	true
"can_spy"	"subterfuge"	"action"	true
