version 1, schema cdir_faction_junctions_tables, guid f46d6e5b-7e59-465a-b56a-f74f85f1b2d3
unknown1(string)	unknown2(optstring)
"Utsunomiya"	"Utsunomiya"
"all"	nil
"amako"	"amako"
"anegakoji"	"anegakoji"
"asai"	"asai"
"ashikaga"	"ashikaga"
"ashina"	"ashina"
"bessho"	"bessho"
"chosokabe"	"chosokabe"
"date"	"date"
"date_rebels"	"date_rebels"
"hatakeyama"	"hatakeyama"
"hatano"	"hatano"
"hojo"	"hojo"
"hojo_rebels"	"hojo_rebels"
"honma"	"honma"
"iga_ninja"	"iga_ninja"
"ikko_ikki"	"ikko_ikki"
"imagawa"	"imagawa"
"ito"	"ito"
"jinbo"	"jinbo"
"kikkawa"	"kikkawa"
"kiso"	"kiso"
"kitabatake"	"kitabatake"
"kono"	"kono"
"matsuda"	"matsuda"
"miyoshi"	"miyoshi"
"mogami"	"mogami"
"mori"	"mori"
"mori_rebels"	"mori_rebels"
"murakami"	"murakami"
"nagao"	"nagao"
"oda"	"oda"
"oda_rebels"	"oda_rebels"
"ogigayatsu_uesugi"	"ogigayatsu_uesugi"
"otomo"	"otomo"
"ouchi"	"ouchi"
"sagara"	"sagara"
"saito"	"saito"
"sakai"	"sakai"
"satake"	"satake"
"satomi"	"satomi"
"shimazu"	"shimazu"
"shimazu_rebels"	"shimazu_rebels"
"shoni"	"shoni"
"sogo"	"sogo"
"takaoka"	"takaoka"
"takeda"	"takeda"
"takeda_rebels"	"takeda_rebels"
"tokugawa"	"tokugawa"
"tokugawa_rebels"	"tokugawa_rebels"
"toyotomi"	"toyotomi"
"tsutsui"	"tsutsui"
"tut_chosokabe"	"tut_chosokabe"
"tut_kono"	"tut_kono"
"tut_miyoshi"	"tut_miyoshi"
"tut_sogo"	"tut_sogo"
"uesugi"	"uesugi"
"uesugi_rebels"	"uesugi_rebels"
"urakami"	"urakami"
"yamana"	"yamana"
"yamanouchi_uesugi"	"yamanouchi_uesugi"
