version 1, schema building_chain_to_slots_tables
Building_Chain_IDRef(string)	Slot_Type(string)
"army-admin"	"settlement"
"army-admin"	"settlement_army-admin"
"coffee"	"caribbean"
"corn"	"corn"
"cotton"	"egypt"
"cotton"	"india_highlands"
"cotton"	"southern_usa"
"culture"	"settlement_culture"
"education"	"town"
"education"	"town-metal"
"education"	"town-textile"
"fort"	"fort"
"furs"	"fur"
"gems"	"gems"
"gold"	"gold"
"government"	"settlement"
"government"	"settlement_government"
"government_minor"	"settlement"
"government_minor"	"settlement_minor"
"happiness"	"town"
"happiness"	"town-metal"
"happiness"	"town-textile"
"industry-metal"	"town-metal"
"industry-pottery"	"town"
"industry-textile"	"town-textile"
"iron"	"iron"
"navy-admin"	"settlement"
"navy-admin"	"settlement_navy-admin"
"ordnance"	"settlement_ordnance"
"port-fish"	"port"
"port-navy"	"port"
"port-trade"	"port"
"rel_catholic"	"town"
"rel_catholic"	"town-metal"
"rel_catholic"	"town-textile"
"rel_hindu"	"town"
"rel_hindu"	"town-metal"
"rel_hindu"	"town-textile"
"rel_islam"	"town"
"rel_islam"	"town-metal"
"rel_islam"	"town-textile"
"rel_orthodox"	"town"
"rel_orthodox"	"town-metal"
"rel_orthodox"	"town-textile"
"rel_protestant"	"town"
"rel_protestant"	"town-metal"
"rel_protestant"	"town-textile"
"rice"	"rice"
"roads"	"settlement_road"
"settlement_fortifications"	"settlement_fortification"
"sheep"	"sheep"
"silver"	"silver"
"spices"	"tropical_humid"
"sugar"	"caribbean"
"sugar"	"tropical_humid"
"tea"	"india_highlands"
"timber"	"timber"
"tobacco"	"cuba"
"tobacco"	"southern_usa"
"tribal_barracks"	"settlement"
"tribal_barracks"	"settlement_government"
"tribal_barracks"	"settlement_minor"
"tribal_corn"	"corn"
"tribal_culture"	"settlement"
"tribal_culture"	"settlement_culture"
"tribal_culture"	"town"
"tribal_culture"	"town-metal"
"tribal_culture"	"town-textile"
"tribal_government"	"settlement"
"tribal_government"	"settlement_army-admin"
"tribal_happiness"	"town"
"tribal_happiness"	"town-metal"
"tribal_happiness"	"town-textile"
"tribal_wheat"	"wheat"
"wheat"	"wheat"
"wine"	"wine"
"tribal_culture"	"settlement_minor"
"tribal_government"	"settlement_minor"
"tribal_playable_barracks"	"settlement"
"tribal_playable_barracks"	"settlement_government"
"tribal_playable_barracks"	"settlement_minor"
"tribal_playable_coffee"	"caribbean"
"tribal_playable_corn"	"corn"
"tribal_playable_cotton"	"southern_usa"
"tribal_playable_culture"	"settlement"
"tribal_playable_culture"	"settlement_minor"
"tribal_playable_culture"	"settlement_ordnance"
"tribal_playable_furs"	"fur"
"tribal_playable_gems"	"gems"
"tribal_playable_gold"	"gold"
"tribal_playable_government"	"settlement"
"tribal_playable_government"	"settlement_army-admin"
"tribal_playable_government"	"settlement_minor"
"tribal_playable_happiness"	"town"
"tribal_playable_happiness"	"town-metal"
"tribal_playable_happiness"	"town-textile"
"tribal_playable_industry_metal"	"town-metal"
"tribal_playable_industry_metal"	"town-textile"
"tribal_playable_industry_textile"	"town-metal"
"tribal_playable_industry_textile"	"town-textile"
"tribal_playable_iron"	"iron"
"tribal_playable_pioneer"	"caribbean"
"tribal_playable_pioneer"	"corn"
"tribal_playable_pioneer"	"cuba"
"tribal_playable_pioneer"	"egypt"
"tribal_playable_pioneer"	"fur"
"tribal_playable_pioneer"	"india_highlands"
"tribal_playable_pioneer"	"rice"
"tribal_playable_pioneer"	"sheep"
"tribal_playable_pioneer"	"southern_usa"
"tribal_playable_pioneer"	"timber"
"tribal_playable_pioneer"	"tropical_humid"
"tribal_playable_pioneer"	"wheat"
"tribal_playable_pioneer"	"wine"
"tribal_playable_port-fish"	"port"
"tribal_playable_prospector"	"gems"
"tribal_playable_prospector"	"gold"
"tribal_playable_prospector"	"iron"
"tribal_playable_prospector"	"silver"
"tribal_playable_sheep"	"sheep"
"tribal_playable_silver"	"silver"
"tribal_playable_sugar"	"caribbean"
"tribal_playable_tobacco"	"southern_usa"
"tribal_playable_wheat"	"wheat"
