version 1, schema unit_experience_threshold_modifiers_tables, guid b01dd462-1433-4e46-8ba5-721d9336d508
unknown1(string)	unknown2(float)
"Art_European_Cannons"	1.2
"Art_European_Cannons_Hojo"	1.2
"Art_Fire_Projecting_Mangonels"	1.2
"Art_Fire_Projecting_Mangonels_Hojo"	1.2
"Art_Large_Shafted_Fire_Rockets"	1.2
"Art_Large_Shafted_Fire_Rockets_Hojo"	1.2
"Boshin_Art_Armstrong_Guns"	1.1
"Boshin_Art_Coastal_Guns_Large"	1
"Boshin_Art_Coastal_Guns_Medium"	1
"Boshin_Art_Coastal_Guns_Small"	0
"Boshin_Art_Gatling_Guns"	2.5
"Boshin_Art_Parrot_Guns"	1.1
"Boshin_Art_Wooden_Cannons"	0.7
"Boshin_Cav_Missile_Carbine_Cavalry"	1
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	1
"Boshin_Cav_Missile_Revolver_Cavalry"	1
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	1
"Boshin_Cav_Spear_Yari_Ki"	1
"Boshin_Cav_Sword_Sabre_Cavalry"	1
"Boshin_Gen_Generals_Bodyguard"	1
"Boshin_Gen_Generals_Hatamoto"	1
"Boshin_Gen_Saigo_Takamori"	1
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	1
"Boshin_Inf_Elite_Infanterie_de_marine"	1
"Boshin_Inf_Elite_Kihetai"	1
"Boshin_Inf_Elite_Royal_Marines"	1
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	1
"Boshin_Inf_Elite_United_States_Marines"	1
"Boshin_Inf_Garrison_Infantry"	1
"Boshin_Inf_Light_Sharpshooters"	1
"Boshin_Inf_Light_Tosa_Riflemen"	1
"Boshin_Inf_Light_Yugekitai"	1
"Boshin_Inf_Line_Azure_Dragon_Force"	1
"Boshin_Inf_Line_Black_Bear_Infantry"	1
"Boshin_Inf_Line_Black_Tortoise_Force"	1
"Boshin_Inf_Line_Imperial_Infantry"	1
"Boshin_Inf_Line_Infantry"	1
"Boshin_Inf_Line_Red_Bear_Infantry"	1
"Boshin_Inf_Line_Shinsengumi"	1
"Boshin_Inf_Line_Shogunate_Infantry"	1
"Boshin_Inf_Line_Vermilion_Bird_Force"	1
"Boshin_Inf_Line_White_Bear_Infantry"	1
"Boshin_Inf_Line_White_Tiger_Force"	1
"Boshin_Inf_Militia_Levy_Infantry"	1
"Boshin_Inf_Militia_Levy_Infantry_Garrison"	1
"Boshin_Inf_Missile_Bow_Kachi"	1
"Boshin_Inf_Missile_Matchlock_Kachi"	1
