version 2, schema slots_tables
Slot_ID(string)	Agrar_town_x0020__x0028__x003F__x0029_(boolean)	Industrial_town_x0020__x0028__x003F__x0029_(boolean)	Port_x0020__x0028__x003F__x0029_(boolean)	unknown4(boolean)	unknown5(boolean)
"fort"	false	false	false	false	false
"gold"	false	false	false	true	false
"horses"	true	false	false	true	false
"iron"	false	false	false	true	false
"port"	false	false	true	false	true
"settlement"	false	false	false	false	false
"settlement_1_slot"	false	false	false	false	true
"settlement_2_slot"	false	false	false	false	true
"settlement_3_slot"	false	false	false	false	true
"settlement_4_slot"	false	false	false	false	true
"settlement_fortification"	false	false	false	false	false
"settlement_prestige"	false	false	false	false	false
"settlement_road"	false	false	false	false	false
"sheep"	true	false	false	true	false
"timber"	false	false	false	true	false
"town_UNUSED"	false	true	false	false	false
"town-commercial"	false	true	false	false	true
"town-industrial"	false	true	false	false	true
"town-intellectual"	false	true	false	false	true
"wheat"	true	false	false	true	false
"wine"	false	false	false	true	false
