version 1, schema building_faction_variants_tables
Building_IDRef(string)	Faction(string)	Campaign_Map_Model(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"local_fishery"	"virginia_colonists"	"Ep1_port_fishery"	"local_fishery_european"	"Ep1_port_fishery"
"prest_austria_albertina"	"austria"	"prestige_albertina"	"prest_austria_albertina"	"Prestige_albertina"
"prest_austria_hofburg"	"austria"	"Prestige_hofburg"	"prest_austria_hofburg"	"Prestige_hofburg"
"prest_britain_british_museum"	"britain"	"prestige_britishmuseum"	"prest_britain_british_museum"	"prestige_britishmuseum"
"prest_britain_somerset_house"	"britain"	"Prestige_somersethouse"	"prest_britain_somerset_house"	"Prestige_somersethouse"
"prest_france_arc_de_triomphe"	"france"	"Prestige_Arcdetriomphe"	"prest_france_arc_de_triomphe"	"Prestige_Arcdetriomphe"
"prest_france_palais_bourbon"	"france"	"Prestige_bourbon"	"prest_france_palais_bourbon"	"Prestige_bourbon"
"prest_maratha_ajinkyatara"	"maratha"	"prestige_ajinkyatara"	"prest_maratha_ajinkyatara"	"Prestige_ajinkyatara"
"prest_maratha_shaniwarwada"	"maratha"	"prestige_shaniwarwada"	"prest_maratha_shaniwarwada"	"prestige_shaniwarwada"
"prest_ottomans_naval_engineering_school"	"ottomans"	"Prestige_NavalEngineer"	"prest_ottomans_naval_engineering_school"	"Prestige_NavalEngineer"
"prest_ottomans_nur-u_osmaniye_mosque"	"ottomans"	"Prestige_osmaniye"	"prest_ottomans_nur-u_osmaniye_mosque"	"Prestige_osmaniye"
"prest_poland_akademia"	"poland_lithuania"	"Prestige_polishakademia"	"prest_poland_akademia"	"Prestige_polishakademia"
"prest_poland_lazienki_park"	"poland_lithuania"	"Prestige_lazienki"	"prest_poland_lazienki_park"	"Prestige_lazienki"
"prest_prussia_berlin_academy"	"prussia"	"Prestige_berlinacademy"	"prest_prussia_berlin_academy"	"Prestige_berlinacademy"
"prest_prussia_brandenburg_gate"	"prussia"	"Prestige_brandenburg"	"prest_prussia_brandenburg_gate"	"Prestige_brandenburg"
"prest_russia_kunstkamara"	"russia"	"Prestige_kunstkamara"	"prest_russia_kunstkamara"	"Prestige_kunstkamara"
"prest_russia_winter_palace"	"russia"	"Prestige_winterpalace"	"prest_russia_winter_palace"	"Prestige_winterpalace"
"prest_spain_academia"	"spain"	"prestige_realacademia"	"prest_spain_academia"	"Prestige_realacademia"
