version 1, schema quotes_tables
Text(string)	Author(string)	Quote_ID(string)
"Sir, I had little hopes on Monday last but to have supped in your cabin: but it pleased God to order it otherwise. I am thankful for it. As for those cowardly captains who deserted you, hang them up, for by God they deserve it. Yours, Du Casse"	"jean_du_casse"	"1"
"When the sword is once drawn, the passions of men observe no bounds of moderation."	"alexander_hamilton"	"2"
"Why has government been instituted at all? Because the passions of men will not conform to the dictates of reason and justice, without constraint."	"alexander_hamilton"	"3"
"Let us recollect that peace or war will not always be left to our option; that however moderate or unambitious we may be, we cannot count upon the moderation, or hope to extinguish the ambition of others."	"alexander_hamilton"	"4"
"To err is human, to forgive divine."	"alexander_pope"	"5"
"Pride, the never failing vice of fools."	"alexander_pope"	"6"
"Wars are always fought for old men, by young boys."	"anon"	"7"
"History repeats itself because no one was listening the first time."	"anon"	"8"
"We make war that we may live in peace."	"aristotle"	"9"
"The most persistent sound which reverberates through man’s history is the beating of war drums."	"arthur_koestler"	"10"
"Intellect is invisible to the man who has none."	"arthur_schopenhauer"	"11"
"Nothing except a battle lost can be half so melancholy as a battle won."	"arthur_wellesley_1"	"12"
"The hardest thing of all for a soldier is to retreat."	"arthur_wellesley_1"	"13"
"I don't know what effect these men will have upon the enemy, but by God, they frighten me."	"arthur_wellesley_1"	"14"
"Nothing except a battle lost can be half as melancholy as a battle won."	"arthur_wellesley_1"	"15"
"The whole art of war consists in getting at what is on the other side of the hill."	"arthur_wellesley_1"	"16"
"Up, Guards, and at 'em!"	"arthur_wellesley_1"	"17"
"The only thing I am afraid of is fear."	"arthur_wellesley_1"	"18"
"Hard pounding, gentlemen. Let's see who pounds the longest."	"arthur_wellesley_1"	"19"
"We always have been, we are, and I hope that we always shall be detested in France."	"arthur_wellesley_1"	"20"
"As Lord Chesterfield said of the generals of his day, 'I only hope that when the enemy reads the list of their names, he trembles as I do.'"	"arthur_wellesley_1"	"21"
"I used to say of him that his presence on the field made the difference of forty thousand men."	"arthur_wellesley_2"	"22"
"I never saw so many shocking bad hats in my life."	"arthur_wellesley_3"	"23"
"Strange, that I came into the world with nothing, and now I am going away with this stupendous caravan of sin! Wherever I look, I see only God… I have sinned terribly, and I do not know what punishment awaits me."	"aurangzeb"	"24"
"The measure of a man's character is what he would do if he knew he never would be found out."	"thomas_babington_macaulay"	"25"
"I have been apt to think that there has never been, nor ever will be, any such thing as a good war, or a bad peace."	"benjamin_franklin"	"26"
"They who can give up essential liberty to obtain a little temporary safety, deserve neither liberty nor safety."	"benjamin_franklin"	"27"
"He that would live in peace and at ease, must not speak all he knows or all he sees."	"benjamin_franklin"	"28"
"Even peace may be purchased at too high a price."	"benjamin_franklin"	"29"
"'Tis a common observation here that our cause is the cause of all mankind, and that we are fighting for their liberty in defending our own."	"benjamin_franklin"	"30"
"You may delay, but time will not."	"benjamin_franklin"	"31"
"Words may show a man's wit, but actions his meaning."	"benjamin_franklin"	"32"
"There is no kind of dishonesty into which otherwise good people more easily and frequently fall than that of defrauding the government."	"benjamin_franklin"	"33"
"Man will ultimately be governed by God or by tyrants."	"benjamin_franklin"	"34"
"In this world nothing is certain but death and taxes."	"benjamin_franklin"	"35"
"Democracy is two wolves and a lamb voting on what to have for lunch."	"benjamin_franklin"	"36"
"By failing to prepare, you are preparing to fail."	"benjamin_franklin"	"37"
"All mankind is divided into three classes: those that are immovable, those that are movable, and those that move."	"benjamin_franklin"	"38"
"I have lived, Sir, a long time, and the longer I live, the more convincing proofs I see of this truth - that God Governs the affairs of men. And if a sparrow cannot fall to the ground without His notice, is it probable that an empire can rise without His aid?"	"benjamin_franklin"	"40"
"To be thrown upon one's own resources, is to be cast into the very lap of fortune; for our faculties then undergo a development and display an energy of which they were previously unsusceptible."	"benjamin_franklin"	"41"
"Rule 1, on page 1 of the book of war, is: 'Do not march on Moscow'… Rule 2 is: 'Do not go fighting with your land armies in China.'"	"bernard_law_montgomery"	"42"
"War always finds a way."	"bertolt_brecht"	"43"
"War is nothing but a duel on a larger scale."	"carl_von_clausewitz"	"44"
"The greatest enemy of a good plan is the dream of a perfect plan."	"carl_von_clausewitz"	"45"
"No one starts a war - or rather, no one in his senses ought to do so - without first being clear in his mind what he intends to achieve by that war, and how he intends to conduct it."	"carl_von_clausewitz"	"46"
"Close combat, man to man, is plainly to be regarded as the real basis of combat."	"carl_von_clausewitz"	"47"
"War is nothing but a continuation of politics with the admixture of other means."	"carl_von_clausewitz"	"48"
"The great uncertainty of all data in war is because all action, to a certain extent, planned in a mere twilight - like the effect of a fog - gives things exaggerated dimensions and unnatural appearance."	"carl_von_clausewitz"	"49"
"For a soldier I listed, to grow great in fame, And be shot at for six-pence a day."	"charles_dibdin"	"50"
"I die happy."	"charles_fox"	"51"
"Stand by me, my brave grenadiers!"	"charles_lee"	"52"
"I speak Spanish to God, Italian to women, French to men, and German to my horse."	"charles_V"	"53"
"I have resolved never to start an unjust war, but never to end a legitimate one except by defeating my enemies."	"charles_XII_1"	"54"
"Don’t be afraid!"	"charles_XII_2"	"55"
"War is too much a serious thing to be left to military men."	"charles_de_talleyrand"	"56"
