version 1, schema building_chains_tables
Building_Chain_ID(string)	String1(optstring)	String2(optstring)	Type(optstring)
"fFort"	nil	nil	"military"
"pNavy"	nil	nil	"military"
"pNavyTutorial"	nil	nil	nil
"pTrade"	nil	nil	"money"
"pTradeTutorial"	nil	nil	nil
"rFarm"	nil	nil	"agriculture"
"rGold"	nil	nil	"money"
"rHorse"	nil	nil	"military"
"rIron"	nil	nil	"money"
"rIronTutorial"	nil	nil	nil
"rTimber"	nil	nil	"money"
"rWine"	nil	nil	"agriculture"
"sAdmin"	"enlightenment"	"0"	"government"
"sArmy"	"military"	"1"	"military"
"sArmyTutorial"	nil	nil	nil
"sCannon"	nil	nil	"military"
"sCannonTutorial"	nil	nil	nil
"sCulture"	nil	nil	"happiness"
"sCultureTutorial"	nil	nil	nil
"sFortifications"	nil	nil	"military"
"sPrestige_Austria"	nil	nil	"military"
"sPrestige_Britain"	nil	nil	"military"
"sPrestige_France"	nil	nil	"military"
"sPrestige_Prussia"	nil	nil	"military"
"sPrestige_Russia"	nil	nil	"military"
"sRoads"	nil	nil	"money"
"tCommerce"	nil	nil	"money"
"tEducation"	nil	nil	"research"
"tEducationTutorial"	nil	nil	nil
"tFactory"	"industry"	"2"	"money"
"tGuns"	nil	nil	"military"
"tGunsTutorial"	nil	nil	nil
"tSecret"	nil	nil	"happiness"
"tSupply"	nil	nil	"military"
"tReligionSpain"	nil	nil	"happiness"
"tSecretSpain"	nil	nil	"happiness"
"sArmySpain"	"military"	"1"	"military"
"pSupplySpain"	nil	nil	"military"
"tEducationSpain"	nil	nil	"research"
"sAdminSpain"	"enlightenment"	"0"	"government"
"tFactorySpain"	nil	nil	"money"
"tCommerceSpain"	nil	nil	"money"
"rIronSpain"	nil	nil	"money"
"rGoldSpain"	nil	nil	"money"
"rTimberSpain"	nil	nil	"money"
"tGunsSpain"	nil	nil	"military"
"tSupplySpain"	nil	nil	"military"
"pNavySpain"	nil	nil	"military"
