version 1, schema warscape_equipment_themes_tables
Warscape_Equipment_Theme_ID(string)	Primary_Weapon(optstring)	Secondary_Weapon(optstring)	Shield(optstring)	Equipment(optstring)	Instrument(optstring)
"east_bugler"	"east_sword"	nil	nil	nil	"east_bugle"
"east_cavalry"	"east_sword"	nil	nil	"east_infantry_equipment"	nil
"east_drummer"	"east_sword"	nil	nil	nil	"east_drum_kit"
"east_infantry"	"east_musket"	"east_sword"	nil	"east_infantry_equipment"	nil
"east_infantry2"	"east_musket"	"east_handaxe"	nil	"east_infantry_equipment"	nil
"east_lancer"	"east_spear"	"east_sword"	nil	"east_infantry_equipment"	nil
"east_swordsman"	"east_sword"	nil	"east_shield"	nil	nil
"euro_bugler"	"euro_straightsabre"	nil	nil	nil	"euro_bugle"
"euro_cavalry"	"euro_cavalry_sabre"	nil	nil	"euro_cavalry_equipment"	nil
"euro_dragoon"	"euro_carbine"	"euro_cavalry_sabre"	nil	"euro_cavalry_equipment"	nil
"euro_drummer"	"euro_straightsabre"	nil	nil	nil	"euro_drum_kit"
"euro_flutist"	"euro_straightsabre"	nil	nil	nil	"euro_flute"
"euro_gun"	"euro_hanger"	nil	nil	nil	nil
"euro_highland_clansman"	"euro_claymore"	nil	"euro_shield"	nil	nil
"euro_infantry"	"euro_musket"	"euro_musket"	nil	"euro_infantry_equipment"	nil
"euro_lancer"	"lance"	"euro_cavalry_sabre"	nil	"euro_cavalry_equipment"	nil
"euro_naval_captain"	"euro_straightsabre"	nil	nil	nil	"euro_telescope"
"euro_naval_marine"	"euro_sea_musket"	"euro_hanger"	nil	nil	nil
"euro_naval_seaman"	"euro_cutlass"	nil	nil	nil	nil
"euro_officer"	"euro_straightsabre"	"pistol"	nil	nil	nil
"euro_pikemen"	"pike"	"euro_hanger"	nil	nil	nil
"euro_standard_bearer"	"euro_hanger"	nil	nil	nil	"euro_flagpole"
"generic_bow"	"bow_default"	"euro_knife"	nil	"archer_equipment"	nil
"generic_cavalry"	"euro_cavalry_sabre"	nil	nil	nil	nil
"generic_infantry"	"euro_musket"	"euro_hanger"	nil	nil	nil
"generic_lancer"	"lance"	nil	nil	nil	nil
"generic_melee"	"east_sword"	"east_shield"	nil	nil	nil
"generic_peasant"	"pitchfork"	nil	nil	nil	nil
"native_american_warrior"	"euro_tomahawk"	"euro_knife"	nil	nil	nil
"x_africa_musket"	"east_musket"	nil	nil	nil	nil
"x_africa_pitchfork"	"pitchfork"	nil	nil	nil	nil
"x_africa_spear_shield"	"pitchfork"	nil	"east_shield"	nil	nil
"x_camel_sword_pistol"	"pistol"	"east_cavalry_sabre"	nil	"east_infantry_equipment"	nil
"x_east_axe"	"east_handaxe"	nil	nil	"east_infantry_equipment"	nil
"x_east_bow_knife"	"bow_east"	"euro_knife"	nil	"archer_equipment"	nil
"x_east_camelry_sabre"	nil	"east_cavalry_sabre"	nil	"east_infantry_equipment"	nil
"x_east_cavalry_bow_sabre"	"bow_horse"	"east_cavalry_sabre"	nil	"archer_equipment"	nil
"x_east_cavalry_lance"	"lance"	nil	nil	"east_infantry_equipment"	nil
"x_east_cavalry_lance_shield"	"lance"	nil	"east_shield"	"east_infantry_equipment"	nil
"x_east_cavalry_musket_axe"	"east_musket"	"east_handaxe"	nil	"east_infantry_equipment"	nil
"x_east_cavalry_musket_sabre"	"east_musket"	"east_cavalry_sabre"	nil	"east_infantry_equipment"	nil
"x_east_cavalry_sabre"	"east_cavalry_sabre"	nil	nil	"east_infantry_equipment"	nil
"x_east_chakkar_sword_shield"	nil	"east_sword"	"east_shield"	"east_infantry_equipment"	nil
"x_east_grenadelauncher"	"east_grenadelauncher"	nil	nil	nil	nil
"x_east_musket"	"east_musket"	nil	nil	"east_infantry_equipment"	nil
"x_east_musket_sword"	"east_musket"	"east_sword2"	nil	"east_infantry_equipment"	nil
"x_east_pike"	"pike"	"east_sword"	nil	"east_infantry_equipment"	nil
