version 2, schema slots_tables, guid bf347942-8264-415d-aedf-363a9d39ce29
Slot_ID(string)	Agrar_town_x0020__x0028__x003F__x0029_(boolean)	Industrial_town_x0020__x0028__x003F__x0029_(boolean)	Port_x0020__x0028__x003F__x0029_(boolean)	unknown4(boolean)	unknown5(boolean)
"GEM_region_specialty_silk"	false	true	false	false	false
"SHO_region_specialty_armourmaking"	false	true	false	false	false
"SHO_region_specialty_artisans"	false	true	false	false	false
"SHO_region_specialty_farm"	false	true	false	false	false
"SHO_region_specialty_gold_mining"	false	true	false	false	false
"SHO_region_specialty_holy_site"	false	true	false	false	false
"SHO_region_specialty_horses"	false	true	false	false	false
"SHO_region_specialty_iron_mining"	false	true	false	false	false
"SHO_region_specialty_naval_tradition"	false	true	false	false	false
"SHO_region_specialty_ninja"	false	true	false	false	false
"SHO_region_specialty_philosophical_tradition"	false	true	false	false	false
"SHO_region_specialty_prime_forest"	false	true	false	false	false
"SHO_region_specialty_smithing"	false	true	false	false	false
"SHO_region_specialty_stone"	false	true	false	false	false
"bos_castle"	false	false	false	false	false
"bos_foundation"	false	false	false	false	false
"bos_region_specialtea"	false	true	false	false	false
"bos_region_specialty_clay"	false	true	false	false	false
"bos_region_specialty_coal_mining"	false	true	false	false	false
"bos_region_specialty_copper_mining"	false	true	false	false	false
"bos_region_specialty_gold_mining"	false	true	false	false	false
"bos_region_specialty_holy_site"	false	true	false	false	false
"bos_region_specialty_iron_mining"	false	true	false	false	false
"bos_region_specialty_railroad"	false	true	false	false	false
"bos_region_specialty_silk"	false	true	false	false	false
"bos_region_specialty_silver_mining"	false	true	false	false	false
"bos_region_specialty_smithing"	false	true	false	false	false
"bos_region_specialty_smugglers"	false	true	false	false	false
"fort"	false	false	false	false	false
"gold"	false	false	false	true	false
"horses"	true	false	false	true	false
"iron"	false	false	false	true	false
"port"	false	false	true	false	true
"rice"	true	false	false	true	false
"settlement"	false	false	false	false	false
"settlement_1_slot"	false	false	false	false	true
"settlement_2_slot"	false	false	false	false	true
"settlement_3_slot"	false	false	false	false	true
"settlement_4_slot"	false	false	false	false	true
"settlement_castle"	false	false	false	false	false
"settlement_fortification"	false	false	false	false	false
"settlement_prestige"	false	false	false	false	false
"settlement_road"	false	false	false	false	false
"settlement_sho_generic"	false	false	false	false	false
"settlement_sho_generic_1"	false	false	false	false	false
"settlement_sho_generic_2"	false	false	false	false	false
"settlement_sho_generic_3"	false	false	false	false	false
"settlement_sho_generic_4"	false	false	false	false	false
"settlement_sho_roads"	false	false	false	false	false
"sheep"	true	false	false	true	false
"timber"	false	false	false	true	false
"town-commercial"	false	true	false	false	true
"town-industrial"	false	true	false	false	true
"town-intellectual"	false	true	false	false	true
"town_UNUSED"	false	true	false	false	false
"wheat"	true	false	false	true	false
"wine"	false	false	false	true	false
