version 1, schema diplomacy_negotiation_faction_override_strings_tables
Diplomatic_string_ID(string)	culture(string)	Government_system(string)	faction(string)	government_system_of_faction(string)
"accept_friendly"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_absolute_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_constitutional_monarchy"	"spain"	"spain_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"austria"	"austria_republic_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"britain"	"britain_republic_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"spain"	"spain_republic_accept_friendly"
"accept_hostile"	"european"	"gov_absolute_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_constitutional_monarchy"	"russia"	"russia_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_republic"	"russia"	"russia_republic_accept_hostile"
"accept_hostile"	"european"	"gov_republic"	"united_states"	"united_states_republic_accept_hostile"
"accept_very_friendly"	"european"	"gov_absolute_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"accept_very_friendly"	"european"	"gov_constitutional_monarchy"	"britain"	"britain_monarchy_accept_very_friendly"
"acknowledge_accept"	"european"	"gov_absolute_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_absolute_monarchy"	"united_states"	"united_states_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_constitutional_monarchy"	"austria"	"austria_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_constitutional_monarchy"	"united_states"	"united_states_monarchy_acknowledge_accept"
"acknowledge_accept"	"european"	"gov_republic"	"austria"	"austria_republic_acknowledge_accept"
