version 1, schema trees_tables
Tree_ID(string)	unknown1(blob:7)
"lc_am_desert-American_Holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Arizona_Bush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Broom_Snakeweed_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Hazel_Arid_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Nettle_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Scarlet_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_desert-Yucca_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-American_holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-Arizona_bush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-Broom_Snakeweed_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-Hazel_Arid_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_great_plains-Yucca_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Balsa_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Bamboo_Cluster_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Banana_Tree_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Caribbean_Pine_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Cecropia_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Cinnamon_Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Jungle_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Kapok_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_jungle-Queen_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Broom_Snakeweed_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Dead_Tree_1_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Dead_Tree_2_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Honey_Mesquite_tree"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Manzanita_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Sorrel_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Sweet_Gum_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_s_arid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Bald_cypress_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Banyan_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Caribbean_Pine_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Carolina_Buckthorn_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Cinnamon_Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Low_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Swamp_Cypress_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_se_usa-Tulip_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Balsa_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Bamboo_Cluster_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Banana_Tree_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Caribbean_Pine_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Cecropia_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Cinnamon_Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Jungle_Brush_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Kapok_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_tropical_humid-Queen_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Blue_Spruce_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Burford_Holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Narrow_Leaved_Ash_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Scarlet_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Silver_Maple_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Sorrel_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_central-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-American_Beech_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-American_Holly_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-Blue_Spruce_tree"	"\x00\x01\x00\x00\x00\x00\x00"
"lc_am_us_east-Cinnamon_Fern_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-Red_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-Silver_Maple_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_am_us_east-White_Oak_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Agarwood_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Banana_Tree_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Creeping_Juniper_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Dogwood_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Japanese_Stewartia_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Leaved_Ash_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Queen_Palm_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Queens_Crepe_Myrtle_tree"	"\x00\x00\x00\x00\x00\x00\x00"
"lc_as_temp_humid-Thicket_shrub"	"\x01\x00\x00\x00\x00\x00\x00"
