version 1, schema ancillary_included_subcultures_tables
Ancillary_IDRef(string)	Subculture(string)
"Anc_Agent_Provocateur"	"sc_egy_european"
"Anc_Agent_Provocateur"	"sc_egy_middle_east"
"Anc_Agent_Provocateur"	"sc_european_east"
"Anc_Agent_Provocateur"	"sc_european_north"
"Anc_Agent_Provocateur"	"sc_european_south"
"Anc_Agent_Provocateur"	"sc_european_west"
"Anc_Agent_Provocateur"	"sc_mideast_islamic"
"Anc_Artist_Playwright"	"sc_egy_european"
"Anc_Artist_Playwright"	"sc_european_east"
"Anc_Artist_Playwright"	"sc_european_north"
"Anc_Artist_Playwright"	"sc_european_south"
"Anc_Artist_Playwright"	"sc_european_west"
"Anc_Artist_Portrait"	"sc_egy_european"
"Anc_Artist_Portrait"	"sc_european_east"
"Anc_Artist_Portrait"	"sc_european_north"
"Anc_Artist_Portrait"	"sc_european_south"
"Anc_Artist_Portrait"	"sc_european_west"
"Anc_Balloonist"	"sc_egy_european"
"Anc_Balloonist"	"sc_european_west"
"Anc_Banker"	"sc_egy_european"
"Anc_Banker"	"sc_european_east"
"Anc_Banker"	"sc_european_north"
"Anc_Banker"	"sc_european_south"
"Anc_Banker"	"sc_european_west"
"Anc_Beau"	"sc_egy_european"
"Anc_Beau"	"sc_european_east"
"Anc_Beau"	"sc_european_north"
"Anc_Beau"	"sc_european_south"
"Anc_Beau"	"sc_european_west"
"Anc_Biographer"	"sc_egy_european"
"Anc_Biographer"	"sc_european_east"
"Anc_Biographer"	"sc_european_north"
"Anc_Biographer"	"sc_european_south"
"Anc_Biographer"	"sc_european_west"
"Anc_Boatswain"	"sc_egy_european"
"Anc_Boatswain"	"sc_european_east"
"Anc_Boatswain"	"sc_european_north"
"Anc_Boatswain"	"sc_european_south"
"Anc_Boatswain"	"sc_european_west"
"Anc_Bodyguard"	"sc_egy_european"
"Anc_Bodyguard"	"sc_european_east"
"Anc_Bodyguard"	"sc_european_north"
"Anc_Bodyguard"	"sc_european_south"
"Anc_Bodyguard"	"sc_european_west"
"Anc_Book_Keeper"	"sc_egy_european"
"Anc_Book_Keeper"	"sc_european_east"
"Anc_Book_Keeper"	"sc_european_north"
"Anc_Book_Keeper"	"sc_european_south"
"Anc_Book_Keeper"	"sc_european_west"
"Anc_Carpenter"	"sc_egy_european"
"Anc_Carpenter"	"sc_european_east"
"Anc_Carpenter"	"sc_european_north"
"Anc_Carpenter"	"sc_european_south"
"Anc_Carpenter"	"sc_european_west"
"Anc_Carpenter_Loony"	"sc_egy_european"
"Anc_Carpenter_Loony"	"sc_european_east"
"Anc_Carpenter_Loony"	"sc_european_north"
"Anc_Carpenter_Loony"	"sc_european_south"
"Anc_Carpenter_Loony"	"sc_european_west"
"Anc_Chaplain"	"sc_egy_european"
"Anc_Chaplain"	"sc_european_north"
"Anc_Chaplain"	"sc_european_west"
"Anc_Classical_Scholar"	"sc_egy_european"
"Anc_Classical_Scholar"	"sc_european_east"
"Anc_Classical_Scholar"	"sc_european_north"
"Anc_Classical_Scholar"	"sc_european_south"
"Anc_Classical_Scholar"	"sc_european_west"
"Anc_Commissioner_of_Public_Safety"	"sc_egy_european"
"Anc_Commissioner_of_Public_Safety"	"sc_european_east"
"Anc_Commissioner_of_Public_Safety"	"sc_european_north"
"Anc_Commissioner_of_Public_Safety"	"sc_european_south"
"Anc_Commissioner_of_Public_Safety"	"sc_european_west"
"Anc_Cook"	"sc_egy_european"
"Anc_Cook"	"sc_european_east"
"Anc_Cook"	"sc_european_north"
"Anc_Cook"	"sc_european_south"
"Anc_Cook"	"sc_european_west"
"Anc_Cornet"	"sc_egy_european"
"Anc_Cornet"	"sc_european_east"
"Anc_Cornet"	"sc_european_north"
"Anc_Cornet"	"sc_european_south"
"Anc_Cornet"	"sc_european_west"
"Anc_Cossack_Brave"	"sc_european_east"
"Anc_Cossack_Drunken"	"sc_european_east"
"Anc_Decorated_Hero"	"sc_egy_european"
"Anc_Decorated_Hero"	"sc_european_east"
"Anc_Decorated_Hero"	"sc_european_north"
"Anc_Decorated_Hero"	"sc_european_south"
"Anc_Decorated_Hero"	"sc_european_west"
"Anc_Dilletante"	"sc_egy_european"
"Anc_Dilletante"	"sc_european_east"
"Anc_Dilletante"	"sc_european_north"
"Anc_Dilletante"	"sc_european_south"
"Anc_Dilletante"	"sc_european_west"
"Anc_Doctor_Quack"	"sc_egy_european"
"Anc_Doctor_Quack"	"sc_european_east"
"Anc_Doctor_Quack"	"sc_european_north"
"Anc_Doctor_Quack"	"sc_european_south"
"Anc_Doctor_Quack"	"sc_european_west"
"Anc_Drummer"	"sc_egy_european"
"Anc_Drummer"	"sc_european_east"
"Anc_Drummer"	"sc_european_north"
"Anc_Drummer"	"sc_european_south"
"Anc_Drummer"	"sc_european_west"
"Anc_Duellist"	"sc_egy_european"
"Anc_Duellist"	"sc_european_east"
"Anc_Duellist"	"sc_european_north"
"Anc_Duellist"	"sc_european_south"
"Anc_Duellist"	"sc_european_west"
"Anc_Election_Agent"	"sc_egy_european"
"Anc_Election_Agent"	"sc_european_east"
"Anc_Election_Agent"	"sc_european_north"
"Anc_Election_Agent"	"sc_european_south"
"Anc_Election_Agent"	"sc_european_west"
"Anc_Excise_Man"	"sc_egy_european"
"Anc_Excise_Man"	"sc_european_east"
"Anc_Excise_Man"	"sc_european_north"
"Anc_Excise_Man"	"sc_european_south"
"Anc_Excise_Man"	"sc_european_west"
"Anc_Factor"	"sc_egy_european"
"Anc_Factor"	"sc_european_east"
"Anc_Factor"	"sc_european_north"
"Anc_Factor"	"sc_european_south"
"Anc_Factor"	"sc_european_west"
"Anc_Fake_Emir"	"sc_egy_european"
"Anc_Fake_Emir"	"sc_european_east"
"Anc_Fake_Emir"	"sc_european_north"
"Anc_Fake_Emir"	"sc_european_south"
"Anc_Fake_Emir"	"sc_european_west"
"Anc_Fake_Native_Chief"	"sc_egy_european"
"Anc_Fake_Native_Chief"	"sc_european_east"
"Anc_Fake_Native_Chief"	"sc_european_north"
"Anc_Fake_Native_Chief"	"sc_european_south"
"Anc_Fake_Native_Chief"	"sc_european_west"
"Anc_Family_Cousin_1"	"sc_egy_european"
"Anc_Family_Cousin_1"	"sc_european_east"
"Anc_Family_Cousin_1"	"sc_european_north"
"Anc_Family_Cousin_1"	"sc_european_south"
"Anc_Family_Cousin_1"	"sc_european_west"
"Anc_Family_Cousin_2"	"sc_egy_european"
"Anc_Family_Cousin_2"	"sc_european_east"
"Anc_Family_Cousin_2"	"sc_european_north"
"Anc_Family_Cousin_2"	"sc_european_south"
"Anc_Family_Cousin_2"	"sc_european_west"
"Anc_Family_Retainer"	"sc_egy_european"
"Anc_Family_Retainer"	"sc_european_east"
"Anc_Family_Retainer"	"sc_european_north"
"Anc_Family_Retainer"	"sc_european_south"
"Anc_Family_Retainer"	"sc_european_west"
"Anc_Family_Son_In_Law"	"sc_egy_european"
"Anc_Family_Son_In_Law"	"sc_european_east"
"Anc_Family_Son_In_Law"	"sc_european_north"
"Anc_Family_Son_In_Law"	"sc_european_south"
"Anc_Family_Son_In_Law"	"sc_european_west"
"Anc_Favourite_Charger"	"sc_egy_european"
"Anc_Favourite_Charger"	"sc_european_east"
"Anc_Favourite_Charger"	"sc_european_north"
"Anc_Favourite_Charger"	"sc_european_south"
"Anc_Favourite_Charger"	"sc_european_west"
