version 1, schema campaign_ai_manager_behaviour_junctions_tables
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"EMPTY"	"WAR_AND_PEACE"	1000
"episode_1_powhatan"	"CULL_EXCESS_FORCES"	250
"episode_1_powhatan"	"FORT_MAINTAINENCE_BEHAVIOUR"	500
"episode_1_powhatan"	"MINIMUM_SAVING"	200
"episode_1_powhatan"	"RECALL_BEHAVIOUR"	500
"episode_1_powhatan"	"RECAPTURE_BEHAVIOUR"	1000
"episode_1_powhatan"	"REGION_DEFENCE"	2000
"episode_1_powhatan"	"REGION_GROUP_DEFENCE"	1500
"episode_1_powhatan"	"TAXATION"	500
"episode_1_powhatan"	"WAR_AND_PEACE"	1000
"episode_2_britain"	"CULL_EXCESS_FORCES"	250
"episode_2_britain"	"FORT_MAINTAINENCE_BEHAVIOUR"	500
"episode_2_britain"	"HELP_ALLY_AT_WAR"	500
"episode_2_britain"	"MILITARY_RANK_BEHAVIOUR"	500
"episode_2_britain"	"MINIMUM_SAVING"	200
"episode_2_britain"	"NAVY_ATTACK_BEHAVIOUR"	1000
"episode_2_britain"	"NAVY_DISTRIBUTION"	2000
"episode_2_britain"	"NAVY_RECRUITMENT"	1000
"episode_2_britain"	"NAVY_REPAIR"	750
"episode_2_britain"	"NAVY_STRENGTH_MANAGER"	2000
"episode_2_britain"	"PORT_BLOCKADE_BEHAVIOUR"	900
"episode_2_britain"	"RAID_BEHAVIOUR"	1000
"episode_2_britain"	"RECALL_BEHAVIOUR"	500
"episode_2_britain"	"RECAPTURE_BEHAVIOUR"	1000
"episode_2_britain"	"REGION_COAST_DEFENCE"	500
"episode_2_britain"	"REGION_DEFENCE"	2000
"episode_2_britain"	"REGION_GROUP_DEFENCE"	1500
"episode_2_britain"	"REGIONAL_DEVELOPMENT"	500
"episode_2_britain"	"TAXATION"	500
"episode_2_britain"	"TRADE_BEHAVIOUR"	500
"episode_2_britain"	"TRADE_ROUTE_DEFENCE"	500
"episode_2_britain"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	500
"episode_2_britain"	"WAR_AND_PEACE"	1000
"episode_2_france"	"CULL_EXCESS_FORCES"	250
"episode_2_france"	"FORT_MAINTAINENCE_BEHAVIOUR"	500
"episode_2_france"	"MILITARY_RANK_BEHAVIOUR"	500
"episode_2_france"	"MINIMUM_SAVING"	200
"episode_2_france"	"NAVY_ATTACK_BEHAVIOUR"	1000
"episode_2_france"	"NAVY_DISTRIBUTION"	2000
"episode_2_france"	"NAVY_RECRUITMENT"	1000
"episode_2_france"	"NAVY_REPAIR"	750
"episode_2_france"	"NAVY_STRENGTH_MANAGER"	2000
"episode_2_france"	"PORT_BLOCKADE_BEHAVIOUR"	900
"episode_2_france"	"RAID_BEHAVIOUR"	1000
"episode_2_france"	"RECALL_BEHAVIOUR"	500
"episode_2_france"	"RECAPTURE_BEHAVIOUR"	1000
"episode_2_france"	"REGION_COAST_DEFENCE"	500
"episode_2_france"	"REGION_DEFENCE"	2000
"episode_2_france"	"REGION_GROUP_DEFENCE"	1500
"episode_2_france"	"REGIONAL_DEVELOPMENT"	500
"episode_2_france"	"TAXATION"	500
"episode_2_france"	"TRADE_BEHAVIOUR"	500
"episode_2_france"	"TRADE_ROUTE_DEFENCE"	500
"episode_2_france"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	500
"episode_2_france"	"WAR_AND_PEACE"	1000
