version 1, schema battle_entities_tables
Battle_x0020_Entity_x0020_ID(string)	class_validation(string)	type(string)	walk_speed(float)	run_speed(float)	acceleration(float)	deceleration(float)	charge_speed(float)	crawl_speed(float)	charge_distance_commence_run(float)	charge_distance_adopt_charge_pose(float)	charge_distance_pick_target(float)	radius(float)	shape(string)	radii_ratio(float)	mass(float)	height(float)	fire_arc_close(float)	fire_arc_loose(float)	turn_speed(float)	hit_points(int)
"ammo_caisson_large"	"artillery"	"ammo_caisson"	1.67	3.47	2.05	2	5.22	1	20	20	0	2	"ellipse"	0.2	900	2.5	30	5	45	20
"ammo_caisson_small"	"artillery"	"ammo_caisson"	1.85	3.65	2.05	2	5.85	1	20	20	0	2	"ellipse"	0.2	700	2.3	30	5	45	15
"artillery_fixed"	"artillery"	"artillery"	0	0	2.05	4	0	0	0	0	0	1.5	"ellipse"	0.2	2000	1.5	360	5	45	20
"artillery_light"	"artillery"	"artillery"	0.95	1.85	2.05	4	1.8	1	30	20	0	1.5	"ellipse"	0.2	1000	1.2	360	5	45	15
"artillery_medium"	"artillery"	"artillery"	0.68	1.4	2.05	4	1.35	0.7	30	20	0	1.5	"ellipse"	0.2	1500	1.3	360	5	45	15
"artillery_siege"	"artillery"	"artillery"	0.41	0.95	2.05	4	0.9	0.4	30	20	0	1.5	"ellipse"	0.2	2000	1.5	360	5	45	15
"camel"	"cavalry"	"camel"	2.21	6.35	2.05	6	8.1	2	110	50	30	1	"ellipse"	0.25	600	2.5	160	160	90	1
"elephant"	"cavalry"	"elephant"	1.85	4.55	2.05	4	6.3	2	90	45	20	2.7	"ellipse"	0.25	5000	3.5	100	100	90	6
"gun_train_2_horse"	"artillery"	"gun_train_2"	1.85	3.65	2.05	2	5.85	1	20	20	0	2	"dynamic_elipse"	0.2	700	2.3	80	5	45	20
"gun_train_6_horse"	"artillery"	"gun_train_6"	2.75	9.05	1.55	1.55	5.22	1	20	20	0	2	"dynamic_elipse"	0.2	900	2.5	80	5	45	20
"horse_heavy"	"cavalry"	"horse"	2.75	8.2	2.6	6.15	10.9	2	120	55	30	1	"ellipse"	0.25	750	2.5	160	160	20	1
"horse_light"	"cavalry"	"horse"	3.11	11.8	3.6	10.1	12.7	4	120	55	30	1	"ellipse"	0.25	450	2.2	160	160	40	1
"horse_medium"	"cavalry"	"horse"	2.93	9.96	3.1	8.1	11.8	3	120	55	30	1	"ellipse"	0.25	600	2.3	160	160	30	1
"infantry_euro_heavy"	"infantry"	"man"	1.55	3.2	2.05	5	3.93	0.5	90	30	15	0.29	"circle"	0.25	100	2	120	120	90	1
"infantry_euro_light"	"infantry"	"man"	1.65	4.1	3.05	6	5.05	1.2	90	30	15	0.29	"circle"	0.25	80	1.8	120	120	90	1
"infantry_euro_medium"	"infantry"	"man"	1.55	3.56	2.45	5	4.06	0.8	90	30	15	0.29	"circle"	0.25	90	2	120	120	90	1
"naval_cannon"	"naval_artillery"	"artillery"	0	0	2.05	0	0	0	0	0	0	1	"ellipse"	0.2	1000	1.5	40	5	90	1500
"naval_fixed"	"naval_artillery"	"artillery"	0	0	2.05	0	0	0	0	0	0	1	"ellipse"	0.2	700	2.3	40	5	0	1500
"puckle"	"artillery"	"artillery"	1.85	3.65	2.05	2	5.85	1	30	20	0	1	"ellipse"	0.2	500	2	60	5	90	1
"puckle_carriage"	"artillery"	"ammo_caisson"	1.85	3.65	2.05	2	5.85	1	20	20	0	1	"ellipse"	0.2	500	2	60	5	90	1
"melee_man"	"infantry"	"man"	1.55	3.2	2.05	5	3.93	0.5	90	30	15	0.29	"circle"	0.25	100	2	120	120	90	1
"native_american"	"infantry"	"man"	1.55	3.56	2.45	5	4.06	0.8	90	30	15	0.29	"circle"	0.25	90	2	120	120	90	1
