version 1, schema region_economics_factors_tables, guid 78f47beb-4ecc-4124-91c5-fd77ee4eba2e
Factor(string)	Icon_Path(string)
"base_gdp"	"data/ui/campaign ui/pips/population_subsistence.tga"
"farm_gdp"	"data/ui/campaign ui/pips/agriculture.tga"
"industry_gdp"	"data/ui/campaign ui/pips/eco-industry.tga"
"metsuke_bonus_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_cotton.tga"
"mine_gdp"	"data/ui/campaign ui/pips/mining.tga"
"port_gdp"	"data/ui/campaign ui/pips/trade_port.tga"
"town_wealth"	"data/ui/campaign ui/pips/eco-town_wealth.tga"
"trade_commodity_coffee_gdp"	"data/ui/campaign ui/pips/coffee.tga"
"trade_commodity_cotton_gdp"	"data/ui/campaign ui/pips/cotton.tga"
"trade_commodity_furs_gdp"	"data/ui/campaign ui/pips/furs.tga"
"trade_commodity_sho_cotton_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_cotton.tga"
"trade_commodity_sho_crafts_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_craft_goods.tga"
"trade_commodity_sho_horses_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_warhorses.tga"
"trade_commodity_sho_iron_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_iron.tga"
"trade_commodity_sho_medicine_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_spices.tga"
"trade_commodity_sho_silk_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_silk.tga"
"trade_commodity_sho_stone_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_stone.tga"
"trade_commodity_sho_wood_gdp"	"data\\UI\\Campaign UI\\Pips\\resource_cotton.tga"
"trade_commodity_spices_gdp"	"data/ui/campaign ui/pips/spices.tga"
"trade_commodity_sugar_gdp"	"data/ui/campaign ui/pips/sugar.tga"
"trade_commodity_tea_gdp"	"data/ui/campaign ui/pips/tea.tga"
"trade_commodity_tobacco_gdp"	"data/ui/campaign ui/pips/tobacco.tga"
