version 1, schema loading_screens_tables
Screen(string)	Type(string)	Image(string)	Info(string)
"default"	"none"	"CommonTextures/default_black.dds"	"default_load_screen"
"legal_load_screen"	"front_end"	"UI/FrontEnd UI/LoadingScreen/legal.tga"	"legal_load_screen"
"natives_load_screen"	"tribal"	"UI/loading_screen_pictures/George_Catlin_Buffalo_Hunt.dds"	"LOAD_SCREEN_7"
"natives_load_screen2"	"tribal"	"UI/loading_screen_pictures/George_Catlin_The_Falls_of_Saint_Anthony.dds"	"LOAD_SCREEN_7"
"natives_load_screen3"	"tribal"	"UI/loading_screen_pictures/Nona_Hengen_Steptoe_Battlefield.dds"	"LOAD_SCREEN_7"
"natives_load_screen4"	"tribal"	"UI/loading_screen_pictures/Thomas_Cole_Scene_from_The_Last_of_the_Mohicans_Cora_Kneeling_at_the_Feet_of_Tanemund.dds"	"LOAD_SCREEN_7"
"battle_load_land"	"battle_land"	"UI/loading_screen_pictures/Adolf_Schreyer_Arab_Patrol.dds"	"LOAD_SCREEN_1"
"battle_load_land2"	"battle_land"	"UI/loading_screen_pictures/Adolf_Schreyer_Bedouins_Taking_Aim.dds"	"LOAD_SCREEN_2"
"battle_load_land3"	"battle_land"	"UI/loading_screen_pictures/Adolf_Schreyer_The_Charge_Arab_Horsemen_on_the_Attack.dds"	"LOAD_SCREEN_4"
"battle_load_land4"	"battle_land"	"UI/loading_screen_pictures/Edward_Matthew_Hale_Charge_of_the_21st_Lancers_at_Omdurman_2_September_1898.dds"	"LOAD_SCREEN_5"
"battle_load_land5"	"battle_land"	"UI/loading_screen_pictures/Franz_Rouband_Market_Day.dds"	"LOAD_SCREEN_6"
"battle_load_land6"	"battle_land"	"UI/loading_screen_pictures/Franz_Rouband_The_Abducation.dds"	"LOAD_SCREEN_1"
"battle_load_land7"	"battle_land"	"UI/loading_screen_pictures/Franz_Rouband_The_Attack.dds"	"LOAD_SCREEN_2"
"battle_load_land8"	"battle_land"	"UI/loading_screen_pictures/James_Atkinson_The_Army_of_the_Indus_forcing_the_Bolan_Pass.dds"	"LOAD_SCREEN_4"
"battle_load_land9"	"battle_land"	"UI/loading_screen_pictures/James_Atkinson_The_Wild_Pass_of_Siri_Kajoor.dds"	"LOAD_SCREEN_5"
"battle_load_land10"	"battle_land"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Egyptian_Recruits_Crossing_the_Desert.dds"	"LOAD_SCREEN_6"
"battle_load_land11"	"battle_land"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Riders_Crossing_the_Desert.dds"	"LOAD_SCREEN_1"
"battle_load_land12"	"battle_land"	"UI/loading_screen_pictures/Jean_Leon_Gerome_The_Snake_Charmer.dds"	"LOAD_SCREEN_2"
"battle_load_land13"	"battle_land"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Bethsabee_1889.dds"	"LOAD_SCREEN_4"
"battle_load_land14"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_By_the_Fortress_Wall_Let_Them_Enter.dds"	"LOAD_SCREEN_5"
"battle_load_land15"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_Surprise_Attack.dds"	"LOAD_SCREEN_6"
"battle_load_land16"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_The_Apotheosis_of_War.dds"	"LOAD_SCREEN_1"
"battle_load_land17"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_They_are_Triumphant.dds"	"LOAD_SCREEN_2"
"battle_load_land18"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_Looking_Out.dds"	"LOAD_SCREEN_4"
"battle_load_land19"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_About_the_War.dds"	"LOAD_SCREEN_5"
"battle_load_land20"	"battle_land"	"UI/loading_screen_pictures/Vasily_Vereshchagin_Elephant_Procession.dds"	"LOAD_SCREEN_6"
"battle_load_land21"	"battle_land"	"UI/loading_screen_pictures/Orlando_Norie_The_78th_Highlanders_at_the_Taking_of_Sucunderabagh_Siege_of_Lucknow.dds"	"LOAD_SCREEN_1"
"battle_load_naval"	"battle_naval"	"UI/loading_screen_pictures/Andries_van_Eertvelt_Spanish_Engagement_with_Barbary_Pirates.dds"	"LOAD_SCREEN_3"
"battle_load_naval2"	"battle_naval2"	"UI/loading_screen_pictures/Willem_van_de_Velde_An_English_Ship_in_Action_with_Barbary_Vessels.dds"	"LOAD_SCREEN_3"
"campaign_load"	"campaign"	"UI/loading_screen_pictures/Adolf_Schreyer_Arab_Patrol.dds"	"LOAD_SCREEN_1"
"campaign_load2"	"campaign"	"UI/loading_screen_pictures/Adolf_Schreyer_Bedouins_Taking_Aim.dds"	"LOAD_SCREEN_2"
"campaign_load3"	"campaign"	"UI/loading_screen_pictures/Adolf_Schreyer_The_Charge_Arab_Horsemen_on_the_Attack.dds"	"LOAD_SCREEN_4"
"campaign_load4"	"campaign"	"UI/loading_screen_pictures/Edward_Matthew_Hale_Charge_of_the_21st_Lancers_at_Omdurman_2_September_1898.dds"	"LOAD_SCREEN_5"
"campaign_load5"	"campaign"	"UI/loading_screen_pictures/Franz_Rouband_Market_Day.dds"	"LOAD_SCREEN_6"
"campaign_load6"	"campaign"	"UI/loading_screen_pictures/Franz_Rouband_The_Abducation.dds"	"LOAD_SCREEN_1"
"campaign_load7"	"campaign"	"UI/loading_screen_pictures/Franz_Rouband_The_Attack.dds"	"LOAD_SCREEN_2"
"campaign_load8"	"campaign"	"UI/loading_screen_pictures/James_Atkinson_The_Army_of_the_Indus_forcing_the_Bolan_Pass.dds"	"LOAD_SCREEN_4"
"campaign_load9"	"campaign"	"UI/loading_screen_pictures/James_Atkinson_The_Wild_Pass_of_Siri_Kajoor.dds"	"LOAD_SCREEN_5"
"campaign_load10"	"campaign"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Egyptian_Recruits_Crossing_the_Desert.dds"	"LOAD_SCREEN_6"
"campaign_load11"	"campaign"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Riders_Crossing_the_Desert.dds"	"LOAD_SCREEN_1"
"campaign_load12"	"campaign"	"UI/loading_screen_pictures/Jean_Leon_Gerome_The_Snake_Charmer.dds"	"LOAD_SCREEN_2"
"campaign_load13"	"campaign"	"UI/loading_screen_pictures/Jean_Leon_Gerome_Bethsabee_1889.dds"	"LOAD_SCREEN_4"
"campaign_load14"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_By_the_Fortress_Wall_Let_Them_Enter.dds"	"LOAD_SCREEN_5"
"campaign_load15"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_Surprise_Attack.dds"	"LOAD_SCREEN_6"
"campaign_load16"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_The_Apotheosis_of_War.dds"	"LOAD_SCREEN_1"
"campaign_load17"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_They_are_Triumphant.dds"	"LOAD_SCREEN_2"
"campaign_load18"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_Looking_Out.dds"	"LOAD_SCREEN_4"
"campaign_load19"	"campaign"	"UI/loading_screen_pictures/Vasily_Vereshchagin_About_the_War.dds"	"LOAD_SCREEN_5"
