version 2, schema campaign_map_tooltips_tables, guid eb014d73-e009-4ffc-931c-ec952d125aad
Unknown1(string)	tooltip_ID(string)	unknown3(optstring)	unknown4(optstring)
"army_can_ambush"	"land_can_disembark"	"tltip_right_clk_move"	"tltip_army_can_lay_ambush_here"
"army_can_ambush"	"land_can_disembark_can_ambush"	"tltip_right_clk_move"	"tltip_army_can_lay_ambush_here"
"army_can_ambush"	"land_cannot_disembark"	"tltip_right_clk_move"	"tltip_army_can_lay_ambush_here"
"army_can_ambush"	"land_cannot_disembark_can_ambush"	"tltip_right_clk_move"	"tltip_army_can_lay_ambush_here"
"army_can_ambush"	"non_player_army"	"tltip_right_clk_attack_target"	"tltip_size_of_army_displayed_on_flag"
"army_can_ambush"	"non_player_land_trade_route"	"tltip_right_clk_move"	nil
"army_can_ambush"	"non_player_navy_at_sea"	"tltip_army_cannot_attack_navy"	nil
"army_can_ambush"	"non_player_navy_in_port"	"tltip_right_clk_attack_port"	"tltip_attack_enemy_port_to_cause_damage"
"army_can_ambush"	"non_player_port_occupied"	"tltip_right_clk_attack_port"	"tltip_attack_enemy_port_to_cause_damage"
"army_can_ambush"	"non_player_port_unoccupied"	"tltip_right_clk_attack_port"	"tltip_attack_enemy_port_to_cause_damage"
"army_can_ambush"	"non_player_region_capital"	"tltip_right_clk_besiege_city"	"tltip_besiege_city_to_own_it_destroy_or_nurture"
"army_can_ambush"	"non_player_resource"	"tltip_right_click_attack"	"tltip_attack_this_resource_to_cause_damage"
"army_can_ambush"	"non_player_town"	"tltip_right_click_attack"	"tltip_attack_this_town_to_cause_damage"
"army_can_ambush"	"player_army"	"tltip_right_clk_merge_armies"	"tltip_merge_armies_to_improve_armies"
"army_can_ambush"	"player_army_can_ambush"	"tltip_right_clk_merge_armies"	"tltip_merge_armies_to_improve_armies"
"army_can_ambush"	"player_navy"	"tltip_right_clk_embark"	"tltip_ships_speed_up_armies_movement_along_coast"
"army_can_ambush"	"player_port"	"tltip_right_clk_enter_port"	"tltip_ships_speed_up_armies_movement_along_coast"
"army_can_ambush"	"player_region_capital"	"tltip_right_clk_garrison"	"tltip_garrison_army_for_protection_and_public_order"
"army_can_ambush"	"player_resource"	"tltip_right_clk_enter"	nil
"army_can_ambush"	"player_town"	"tltip_right_clk_enter_town"	nil
"army_can_ambush"	"player_university"	"tltip_right_clk_enter_town"	nil
"army_must_break_siege"	"land_can_disembark"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"land_can_disembark_can_ambush"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"land_cannot_disembark"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"land_cannot_disembark_can_ambush"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"non_player_army"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"non_player_fort"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"non_player_land_trade_route"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"non_player_navy_at_sea"	"tltip_must_break_siege_to_issue_order"	nil
"army_must_break_siege"	"non_player_navy_in_port"	"tltip_army_cannot_attack_navy"	nil
"army_must_break_siege"	"non_player_port_occupied"	"tltip_must_break_siege_to_issue_order"	nil
