version 1, schema mp_force_gen_army_sizes_by_budgets_tables, guid 2b23760d-870e-4d09-bc15-a7273465a601
unknown1(string)	unknown2(int)	unknown3(int)
"custom"	10	6
"custom_mp"	10	6
"custom_mp_sea"	2	1
"custom_mp_siege"	3	2
"custom_sea"	2	1
"custom_siege"	3	2
"huge"	40	35
"huge_mp"	20	18
"huge_mp_sea"	8	6
"huge_mp_siege"	19	15
"huge_sea"	20	15
"huge_siege"	19	15
"large"	35	25
"large_mp"	18	12
"large_mp_sea"	6	4
"large_mp_siege"	15	10
"large_sea"	6	4
"large_siege"	15	10
"medium"	25	15
"medium_mp"	12	7
"medium_mp_sea"	4	2
"medium_mp_siege"	10	6
"medium_sea"	4	2
"medium_siege"	10	6
"small"	15	8
"small_mp"	7	5
"small_mp_sea"	2	1
"small_mp_siege"	5	5
"small_sea"	2	1
"small_siege"	5	5
