version 1, schema campaign_ai_personality_junctions_tables
Campaign_Personality_IDRef(string)	Personality(string)	Magnitude(float)
"default"	"BASE_CONSTRUCTION_BIAS_ECONOMIC"	0.2
"default"	"BASE_CONSTRUCTION_BIAS_EDUCATION"	0.2
"default"	"BASE_CONSTRUCTION_BIAS_HAPPINESS"	0.05
"default"	"BASE_CONSTRUCTION_BIAS_MILITARY"	0.5
"default"	"BASE_CONSTRUCTION_BIAS_PRESTIGE"	0.05
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_BASE_PRIORITY_PROPORTION"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_OCCUPIED_FORT_REPAIR"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_OCCUPIED_FORT_UPGRADE"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_UNOCCUPIED_FORT_REPAIR"	25
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_OWNED_REGION_UNOCCUPIED_FORT_UPGRADE"	10
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_COST_CONTRIBUTION"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_FORCE_STRENGTH_CONTRIBUTION"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_PRIORITY_REGION_VALUE_CONTRIBUTION"	100
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_UNOWNED_REGION_OCCUPIED_FORT_REPAIR"	50
"default"	"BASIC_DESIRE_FORT_MAINTAINENCE_UNOWNED_REGION_OCCUPIED_FORT_UPGRADE"	5
"default"	"BASIC_DESIRE_PROTECT_PROTECTORATES_VALUE_INDEPENDANT_BASE_PRIORITY"	50
"default"	"BASIC_DESIRE_WAR_OF_SUCCESSION_RECIND_AFTER_NUMBER_OF_ROUNDS"	25
"default"	"BASIC_DESIRES_BUFFER_ZONE_BEHAVIOUR_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_DESIRES_DEFEND_REGION_GOAL_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_DESIRES_DEFEND_REGION_GROUPS_GOAL_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_DESIRES_REGION_DEVELOPMENT_GOAL_BASE_COMPONENT_PROPORTION"	25
"default"	"BASIC_INCOME_PROPORTIONAL_SAVINGS_PER_TURN"	10
"default"	"BASIC_SPENDING_BIAS_CONSTRUCTION"	0.25
"default"	"BASIC_SPENDING_BIAS_CONSTRUCTION_SAVE_MONEY_ON_FAIL"	10
"default"	"BASIC_SPENDING_BIAS_DIPLOMATIC"	0.1
"default"	"BASIC_SPENDING_BIAS_DIPLOMATIC_SAVE_MONEY_ON_FAIL"	10
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY"	0.25
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY_SAVE_MONEY_ON_FAIL"	10
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY"	0.4
"default"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY_SAVE_MONEY_ON_FAIL"	10
"default"	"BAWP_WEIGHTING_ADJACENCY"	20
"default"	"BAWP_WEIGHTING_ARE_ALLIES_ALREADY"	20
