version 5, schema units_tables
Unit_ID(string)	Screen_Name(string)	Category(string)	Class(string)	MP_Cost_Early(int)	MP_Cost_Late(int)	Turns_to_Build(int)	Cost(int)	Upkeep(int)	Campaign_Map_Action_Points(int)	Enabled__x0023__True_x0020_Disabled__x0023__False(boolean)	unknown4(string)	Unit_Icon_Path(string)	Unit_Info_Pic_Path(string)	Localisation_Key(string)	Region_IDRef(optstring)	Unit_Limit(int)	MP_Category(string)	Early_Availability(boolean)	Related_with_x0020_Early_x0020_availability(boolean)	Late_Availability(boolean)	unknown9(int)	Garrison_Availability(boolean)	MP_Unit_Limit(int)	unknown25(optstring)	unknown26(boolean)
"2_Decker_50"	"50-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1230	1230	8	1020	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_74"	"74-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1940	1940	8	1590	390	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_80"	"80-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	2270	2270	8	1850	460	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_British_50_4th_Rate"	"50-gun Fourth Rate"	"naval_line_of_battle"	"naval_fourth_rate"	1200	1200	8	1000	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_British_64_3rd_Rate"	"64-gun Third Rate"	"naval_line_of_battle"	"naval_third_rate"	1490	1490	8	1230	300	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_British_74_3rd_Rate"	"74-gun Third Rate"	"naval_line_of_battle"	"naval_third_rate"	1890	1890	8	1550	380	55	true	"naval_captain"	"2deck_74"	"2deck_74"	"2_Decker_74"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_British_80_3rd_Rate"	"80-gun Third Rate"	"naval_line_of_battle"	"naval_third_rate"	2210	2210	8	1810	450	55	true	"naval_captain"	"2deck_80"	"2deck_80"	"2_Decker_80"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Dutch_50"	"50-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_fourth_rate"	1230	1230	8	1020	250	55	true	"naval_captain"	"2deck50"	"2deck50"	"2_Decker_50"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
"2_Decker_Dutch_64"	"64-gun Ship-of-the-Line"	"naval_line_of_battle"	"naval_third_rate"	1530	1530	8	1260	310	55	true	"naval_captain"	"2deck64"	"2deck64"	"2_Decker_64"	"global"	0	"mp_naval_line_of_battle"	true	true	true	0	false	0	nil	false
