version 1, schema trait_to_included_agents_tables
Trait_IDRef(string)	Agent_IDRef(string)
"C_Admiral_Attacker_Bad"	"admiral"
"C_Admiral_Attacker_Good"	"admiral"
"C_Admiral_Bad"	"admiral"
"C_Admiral_Blockade_Runner_Good"	"admiral"
"C_Admiral_Blockader_Good"	"admiral"
"C_Admiral_Boring_Speaker"	"admiral"
"C_Admiral_Born_Sailor"	"admiral"
"C_Admiral_Brave"	"admiral"
"C_Admiral_British_Drakes_Drum"	"admiral"
"C_Admiral_Coward"	"admiral"
"C_Admiral_Cruisers"	"admiral"
"C_Admiral_Defender_Bad"	"admiral"
"C_Admiral_Defender_Good"	"admiral"
"C_Admiral_Drunkard"	"admiral"
"C_Admiral_Dutch_Seamanship"	"General"
"C_Admiral_Good"	"admiral"
"C_Admiral_Lampooned"	"admiral"
"C_Admiral_Mad"	"admiral"
"C_Admiral_Martinet"	"admiral"
"C_Admiral_Mathematician"	"admiral"
"C_Admiral_Press_Hero"	"admiral"
"C_Admiral_Rated_Ships"	"admiral"
"C_Admiral_Slacker"	"admiral"
"C_Admiral_Sobriety"	"admiral"
"C_Admiral_Spanish_National_Pride"	"admiral"
"C_Admiral_Swashbuckling"	"admiral"
"C_Agent_Secret_Police"	"assassin"
"C_Agent_Secret_Police"	"rake"
"C_Agent_Spy_Network"	"assassin"
"C_Agent_Spy_Network"	"rake"
"C_Feck_Vice"	"admiral"
"C_Feck_Vice"	"assassin"
"C_Feck_Vice"	"General"
"C_Feck_Vice"	"gentleman"
"C_Feck_Vice"	"minister"
"C_Feck_Vice"	"pirate"
"C_Feck_Vice"	"rake"
"C_General_Ambush_Good"	"General"
"C_General_Ambusher_Bad"	"General"
"C_General_Americas_Bad"	"General"
"C_General_Americas_Good"	"General"
"C_General_Attacker_Bad"	"General"
"C_General_Attacker_Good"	"General"
"C_General_Austrian_Hates_Ottomans"	"General"
"C_General_Bad_Field_Commander"	"General"
"C_General_Bloody"	"General"
"C_General_Born_Soldier"	"General"
"C_General_Brave"	"General"
"C_General_Coward"	"General"
"C_General_Defender_Bad"	"General"
"C_General_Defender_Good"	"General"
"C_General_Drunkard"	"General"
"C_General_French_Elan"	"General"
"C_General_Good_Field_Commander"	"General"
"C_General_India_Bad"	"General"
"C_General_India_Good"	"General"
"C_General_Lampooned"	"General"
"C_General_Mad"	"General"
"C_General_Marine_Bad"	"General"
"C_General_Marine_Good"	"General"
"C_General_Martinet"	"General"
"C_General_Mughal_Anti_European"	"General"
"C_General_of_Artillery"	"General"
"C_General_of_Cavalry"	"General"
"C_General_of_Infantry"	"General"
"C_General_Polish_Stubborn"	"General"
"C_General_Press_Hero"	"General"
"C_General_Prussian_Blue"	"General"
"C_General_Russian_Vodka"	"General"
"C_General_Scout"	"General"
"C_General_Siege_Attack_Bad"	"General"
"C_General_Siege_Attack_Good"	"General"
"C_General_Siege_Defend_Bad"	"General"
"C_General_Siege_Defend_Good"	"General"
"C_General_Slacker"	"General"
"C_General_Swedish_Aggression"	"General"
"C_General_Turkish_Master_Gunner"	"General"
"C_General_US_Backwoodsman"	"General"
"C_General_Warlord"	"General"
"C_Gent_Academic_Honours"	"Eastern_Scholar"
"C_Gent_Academic_Honours"	"gentleman"
"C_Gent_Duelling_Pistol"	"gentleman"
"C_Gent_Duelling_Sword"	"gentleman"
"C_Gent_Research_Agriculture"	"Eastern_Scholar"
