version 3, schema campaigns_campaign_variables_junctions_tables, guid 2b096b1e-e3c2-49d1-b9bb-3b290a4f41d3
unknown1(string)	unknown2(string)	unknown3(float)	unknown4(optstring)	unknown5(boolean)
"display_trade_route_trader_speed"	"jap_boshin"	0.28	nil	false
"family_age_of_guaranteed_adulthood"	"tut_shogun"	999	nil	false
"family_rounds_between_children"	"jap_boshin"	24	nil	false
"family_rounds_between_marriage_and_first_child"	"jap_boshin"	24	nil	false
"family_turns_before_any_chance_of_adulthood"	"tut_shogun"	999	nil	false
"gempei_cai_aggr_ramp_chance_base"	"jap_gempei"	20	"-1"	false
"gempei_cai_aggr_ramp_chance_base"	"jap_gempei"	20	"-2"	false
"gempei_cai_aggr_ramp_chance_base"	"jap_gempei"	20	"-3"	false
"gempei_cai_aggr_ramp_chance_base"	"jap_gempei"	12	"0"	false
"gempei_cai_aggr_ramp_chance_base"	"jap_gempei"	8	"1"	false
"gempei_cai_aggr_ramp_chance_per_round"	"jap_gempei"	0	"-1"	false
"gempei_cai_aggr_ramp_chance_per_round"	"jap_gempei"	1	"-2"	false
"gempei_cai_aggr_ramp_chance_per_round"	"jap_gempei"	1	"-3"	false
"gempei_cai_aggr_ramp_chance_per_round"	"jap_gempei"	0	"0"	false
"gempei_cai_aggr_ramp_chance_per_round"	"jap_gempei"	0	"1"	false
"gempei_cai_aggr_ramp_enabled"	"jap_gempei"	1	nil	false
"gempei_cai_aggr_ramp_fame_max"	"jap_gempei"	100	"-1"	false
"gempei_cai_aggr_ramp_fame_max"	"jap_gempei"	100	"-2"	false
"gempei_cai_aggr_ramp_fame_max"	"jap_gempei"	100	"-3"	false
"gempei_cai_aggr_ramp_fame_max"	"jap_gempei"	100	"0"	false
"gempei_cai_aggr_ramp_fame_max"	"jap_gempei"	100	"1"	false
"gempei_cai_aggr_ramp_fame_min"	"jap_gempei"	20	"-1"	false
"gempei_cai_aggr_ramp_fame_min"	"jap_gempei"	0	"-2"	false
"gempei_cai_aggr_ramp_fame_min"	"jap_gempei"	0	"-3"	false
"gempei_cai_aggr_ramp_fame_min"	"jap_gempei"	20	"0"	false
"gempei_cai_aggr_ramp_fame_min"	"jap_gempei"	20	"1"	false
"gempei_cai_aggr_ramp_level_max"	"jap_gempei"	4	"-1"	false
"gempei_cai_aggr_ramp_level_max"	"jap_gempei"	5	"-2"	false
"gempei_cai_aggr_ramp_level_max"	"jap_gempei"	5	"-3"	false
"gempei_cai_aggr_ramp_level_max"	"jap_gempei"	4	"0"	false
"gempei_cai_aggr_ramp_level_max"	"jap_gempei"	3	"1"	false
"gempei_cai_aggr_ramp_level_min"	"jap_gempei"	1	"-1"	false
"gempei_cai_aggr_ramp_level_min"	"jap_gempei"	1	"-2"	false
"gempei_cai_aggr_ramp_level_min"	"jap_gempei"	1	"-3"	false
