version 1, schema campaign_difficulty_handicap_effects_tables
Difficulty(int)	True__x0023__Player_x0020_False__x0023__AI(boolean)	Effect_IDRef(string)	Magnitude(float)
-2	true	"policing_cost_mod"	30
-2	true	"recruitment_cost_mod_land_all"	20
-2	true	"recruitment_cost_mod_naval_all"	20
-2	true	"research_rate_mod"	-12
-2	true	"upkeep_cost_mod_land_all"	18
-2	true	"upkeep_cost_mod_naval_all"	18
-1	true	"policing_cost_mod"	15
-1	true	"recruitment_cost_mod_land_all"	9
-1	true	"recruitment_cost_mod_naval_all"	12
-1	true	"research_rate_mod"	-5
-1	true	"upkeep_cost_mod_land_all"	14
-1	true	"upkeep_cost_mod_naval_all"	14
-1	false	"personal_security"	-1
-1	false	"recruitment_cost_mod_land_all"	0
-1	false	"recruitment_cost_mod_naval_all"	0
-1	false	"research_rate_mod"	15
-1	false	"upkeep_cost_mod_land_all"	0
-1	false	"upkeep_cost_mod_naval_all"	0
0	true	"recruitment_cost_mod_land_all"	-5
0	true	"recruitment_cost_mod_naval_all"	8
0	true	"upkeep_cost_mod_land_all"	10
0	true	"upkeep_cost_mod_naval_all"	10
0	false	"building_cost_mod_farms"	-8
0	false	"building_cost_mod_happiness"	-8
0	false	"building_cost_mod_industry"	-8
0	false	"building_cost_mod_mines"	-8
0	false	"building_cost_mod_plantations"	-8
0	false	"gdp_mod_all"	10
0	false	"mod_pop_growth"	0
0	false	"personal_security"	0
0	false	"policing_cost_mod"	-20
0	false	"pop_maxpop_modifier"	0
0	false	"recruitment_cost_mod_land_all"	0
0	false	"recruitment_cost_mod_naval_all"	0
0	false	"repression_character"	1
0	false	"research_rate_mod"	25
0	false	"subterfuge_counterspying"	0
0	false	"upkeep_cost_mod_land_all"	-10
0	false	"upkeep_cost_mod_naval_all"	-10
1	true	"personal_security"	2
1	true	"policing_cost_mod"	-10
1	true	"pop_maxpop_modifier"	10
1	true	"recruitment_cost_mod_land_all"	-15
1	true	"research_rate_mod"	15
1	true	"subterfuge_counterspying"	2
1	true	"upkeep_cost_mod_land_all"	0
1	true	"upkeep_cost_mod_naval_all"	0
1	false	"building_cost_mod_farms"	-20
1	false	"building_cost_mod_happiness"	-20
1	false	"building_cost_mod_industry"	-20
1	false	"building_cost_mod_mines"	-20
1	false	"building_cost_mod_plantations"	-20
1	false	"gdp_mod_all"	20
1	false	"mod_pop_growth"	0
1	false	"naval_recruitment_points"	1
1	false	"personal_security"	1
1	false	"policing_cost_mod"	-50
1	false	"pop_maxpop_modifier"	0
1	false	"recruitment_cost_mod_land_all"	-10
1	false	"recruitment_cost_mod_naval_all"	-10
1	false	"recruitment_points"	1
1	false	"repression_character"	2
1	false	"research_rate_mod"	35
1	false	"subterfuge_counterspying"	1
1	false	"upkeep_cost_mod_land_all"	-20
1	false	"upkeep_cost_mod_naval_all"	-20
2	false	"building_cost_mod_farms"	-35
2	false	"building_cost_mod_happiness"	-30
2	false	"building_cost_mod_industry"	-30
2	false	"building_cost_mod_mines"	-30
2	false	"building_cost_mod_plantations"	-30
2	false	"gdp_mod_all"	40
2	false	"mod_pop_growth"	0
2	false	"naval_recruitment_points"	4
2	false	"personal_security"	2
2	false	"policing_cost_mod"	-90
2	false	"pop_maxpop_modifier"	10
2	false	"recruitment_cost_mod_land_all"	-33
2	false	"recruitment_cost_mod_naval_all"	-27
2	false	"recruitment_points"	3
2	false	"repression_character"	3
2	false	"research_rate_mod"	50
2	false	"subterfuge_counterspying"	2
2	false	"upkeep_cost_mod_land_all"	-35
2	false	"upkeep_cost_mod_naval_all"	-33
-2	true	"attrition_difficulty_addition"	15
-1	true	"attrition_difficulty_addition"	8
2	false	"gdp_mod_farms"	20
