version 1, schema campaign_map_settlements_tables
Settlement_ID(string)	Region(string)	Capital(string)	Unknown2(int)	Slot(string)
"settlement:egy_amman:beni_sakhr"	"egy_amman"	"Beni-Sakhr"	1	"settlement"
"settlement:egy_arabah:eilat"	"egy_arabah"	"Eilat"	1	"settlement"
"settlement:egy_beheira:damanhour"	"egy_beheira"	"Damanhour"	3	"settlement"
"settlement:egy_beni_suef:beni_suef"	"egy_beni_suef"	"Beni Suef"	1	"settlement"
"settlement:egy_cyprus:nicosia"	"egy_cyprus"	"Nicosia"	2	"settlement"
"settlement:egy_dakhalia:mansoura"	"egy_dakhalia"	"Mansoura"	3	"settlement"
"settlement:egy_dumyat:damietta"	"egy_dumyat"	"Damietta"	3	"settlement"
"settlement:egy_el_jnoub:tyre"	"egy_el_jnoub"	"Tyre"	2	"settlement"
"settlement:egy_fayum_oasis:fayum"	"egy_fayum_oasis"	"Fayum"	1	"settlement"
"settlement:egy_galilee:acre"	"egy_galilee"	"Acre"	3	"settlement"
"settlement:egy_gharbia:mahalla_al_kubra"	"egy_gharbia"	"Mahalla al-Kubra"	2	"settlement"
"settlement:egy_hedjaz:tabouk"	"egy_hedjaz"	"Tabouk"	1	"settlement"
"settlement:egy_helwan:suez"	"egy_helwan"	"Suez"	1	"settlement"
"settlement:egy_judea:jerusalem"	"egy_judea"	"Jerusalem"	2	"settlement"
"settlement:egy_maan:howeitat"	"egy_maan"	"Howeitat"	1	"settlement"
"settlement:egy_matruh:awlad_ali"	"egy_matruh"	"Awlad Ali"	1	"settlement"
"settlement:egy_minya:minya"	"egy_minya"	"Minya"	3	"settlement"
"settlement:egy_mount_lebanon:beirut"	"egy_mount_lebanon"	"Beirut"	3	"settlement"
"settlement:egy_negev:gaza"	"egy_negev"	"Gaza"	3	"settlement"
"settlement:egy_north_lebanon:tripoli"	"egy_north_lebanon"	"Tripoli"	2	"settlement"
"settlement:egy_north_sinai:arish"	"egy_north_sinai"	"Arish"	2	"settlement"
"settlement:egy_palestine:jaffa"	"egy_palestine"	"Jaffa"	3	"settlement"
"settlement:egy_qalyubia:cairo"	"egy_qalyubia"	"Cairo"	4	"settlement"
"settlement:egy_red_sea_coast:ababda"	"egy_red_sea_coast"	"Ababda"	1	"settlement"
"settlement:egy_rif_dimashq:damascus"	"egy_rif_dimashq"	"Damascus"	4	"settlement"
"settlement:egy_sharqia:zagazig"	"egy_sharqia"	"Zagazig"	2	"settlement"
"settlement:egy_south_sinai:muzziena"	"egy_south_sinai"	"Muzziena"	1	"settlement"
"settlement:egy_syria:hims"	"egy_syria"	"Hims"	1	"settlement"
"settlement:egy_syrian_coast:latakia"	"egy_syrian_coast"	"Latakia"	1	"settlement"
"settlement:egy_western_delta:alexandria"	"egy_western_delta"	"Alexandria"	3	"settlement"
"settlement:eur_alsace_lorraine:strasbourg"	"eur_alsace_lorraine"	"Strasbourg"	2	"settlement"
"settlement:eur_aquitaine:bordeaux"	"eur_aquitaine"	"Bordeaux"	1	"settlement"
"settlement:eur_austria:vienna"	"eur_austria"	"Vienna"	5	"settlement"
"settlement:eur_baden_wurttemberg:stuttgart"	"eur_baden_wurttemberg"	"Stuttgart"	1	"settlement"
"settlement:eur_balearic_isles:palma"	"eur_balearic_isles"	"Palma"	1	"settlement"
"settlement:eur_balkans:belgrade"	"eur_balkans"	"Belgrade"	1	"settlement"
"settlement:eur_bavaria:munich"	"eur_bavaria"	"Munich"	2	"settlement"
"settlement:eur_belarus:minsk"	"eur_belarus"	"Minsk"	2	"settlement"
"settlement:eur_belgorod_guberniya:belgorod"	"eur_belgorod_guberniya"	"Belgorod"	1	"settlement"
"settlement:eur_bohemia:prague"	"eur_bohemia"	"Prague"	3	"settlement"
"settlement:eur_brandenburg:berlin"	"eur_brandenburg"	"Berlin"	5	"settlement"
"settlement:eur_bretagne:rennes"	"eur_bretagne"	"Rennes"	1	"settlement"
"settlement:eur_catalonia:barcelona"	"eur_catalonia"	"Barcelona"	1	"settlement"
"settlement:eur_cleves_mark:cleves"	"eur_cleves_mark"	"Cleves"	1	"settlement"
"settlement:eur_corsica:ajaccio"	"eur_corsica"	"Ajaccio"	1	"settlement"
"settlement:eur_courland:mitau"	"eur_courland"	"Mitau"	1	"settlement"
"settlement:eur_croatia:zagreb"	"eur_croatia"	"Zagreb"	1	"settlement"
"settlement:eur_denmark:copenhagen"	"eur_denmark"	"Copenhagen"	3	"settlement"
"settlement:eur_east_prussia:konigsberg"	"eur_east_prussia"	"Königsberg"	3	"settlement"
"settlement:eur_england:london"	"eur_england"	"London"	5	"settlement"
"settlement:eur_estonia_livonia:riga"	"eur_estonia_livonia"	"Riga"	2	"settlement"
"settlement:eur_finland:aabo"	"eur_finland"	"Aabo"	1	"settlement"
"settlement:eur_flanders_wallonia:brussels"	"eur_flanders_wallonia"	"Brussels"	3	"settlement"
"settlement:eur_france:paris"	"eur_france"	"Paris"	5	"settlement"
"settlement:eur_frisia:oldenburg"	"eur_frisia"	"Oldenburg"	1	"settlement"
"settlement:eur_galicia:lemberg"	"eur_galicia"	"Lemberg"	2	"settlement"
"settlement:eur_gibraltar:gibraltar"	"eur_gibraltar"	"Gibraltar"	1	"settlement"
"settlement:eur_greater_poland:warsaw"	"eur_greater_poland"	"Warsaw"	4	"settlement"
"settlement:eur_greece:athens"	"eur_greece"	"Athens"	3	"settlement"
"settlement:eur_hannover:hannover"	"eur_hannover"	"Hannover"	1	"settlement"
"settlement:eur_hessen_nassau:kassel"	"eur_hessen_nassau"	"Kassel"	1	"settlement"
"settlement:eur_holland:amsterdam"	"eur_holland"	"Amsterdam"	3	"settlement"
"settlement:eur_hungary:budapest"	"eur_hungary"	"Buda-Pest"	1	"settlement"
"settlement:eur_ingria:st_petersburg"	"eur_ingria"	"St. Petersburg"	4	"settlement"
"settlement:eur_ireland:dublin"	"eur_ireland"	"Dublin"	1	"settlement"
"settlement:eur_kiev_guberniya:kiev"	"eur_kiev_guberniya"	"Kiev"	3	"settlement"
"settlement:eur_lithuania:vilnius"	"eur_lithuania"	"Vilnius"	1	"settlement"
"settlement:eur_little_tatary:odessa"	"eur_little_tatary"	"Odessa"	1	"settlement"
"settlement:eur_mecklenburg:schwerin"	"eur_mecklenburg"	"Schwerin"	1	"settlement"
"settlement:eur_moldova_bessarabia:iasi"	"eur_moldova_bessarabia"	"Iasi"	1	"settlement"
"settlement:eur_moravia:olmutz"	"eur_moravia"	"Olmütz"	1	"settlement"
"settlement:eur_moscow_guberniya:moscow"	"eur_moscow_guberniya"	"Moscow"	5	"settlement"
"settlement:eur_naples:naples"	"eur_naples"	"Naples"	2	"settlement"
"settlement:eur_navarra:pamplona"	"eur_navarra"	"Pamplona"	1	"settlement"
"settlement:eur_normandie:caen"	"eur_normandie"	"Caen"	1	"settlement"
"settlement:eur_northern_italy:milan"	"eur_northern_italy"	"Milan"	3	"settlement"
"settlement:eur_norway:christiania"	"eur_norway"	"Christiania"	1	"settlement"
"settlement:eur_novgorod:novgorod"	"eur_novgorod"	"Novgorod"	2	"settlement"
"settlement:eur_papal_state:rome"	"eur_papal_state"	"Rome"	3	"settlement"
"settlement:eur_pays_d_oc:toulouse"	"eur_pays_d_oc"	"Toulouse"	1	"settlement"
"settlement:eur_picardie_champagne:reims"	"eur_picardie_champagne"	"Reims"	1	"settlement"
"settlement:eur_piemont_liguria:Torino"	"eur_piemont_liguria"	"Turin"	1	"settlement"
"settlement:eur_pommerania:stettin"	"eur_pommerania"	"Stettin"	1	"settlement"
"settlement:eur_portugal:lisbon"	"eur_portugal"	"Lisbon"	3	"settlement"
"settlement:eur_provence:marseille"	"eur_provence"	"Marseille"	3	"settlement"
"settlement:eur_provence:toulon_tut"	"eur_provence"	"Toulon"	3	"settlement"
"settlement:eur_rumelia:istanbul"	"eur_rumelia"	"Istanbul"	4	"settlement"
"settlement:eur_sardinia:cagliari"	"eur_sardinia"	"Cagliari"	1	"settlement"
"settlement:eur_saxony_thuringia:dresden"	"eur_saxony_thuringia"	"Dresden"	3	"settlement"
"settlement:eur_scotland:edinburgh"	"eur_scotland"	"Edinburgh"	2	"settlement"
"settlement:eur_sicily:palermo"	"eur_sicily"	"Palermo"	1	"settlement"
"settlement:eur_silesia:breslau"	"eur_silesia"	"Breslau"	2	"settlement"
"settlement:eur_smolensk_guberniya:smolensk"	"eur_smolensk_guberniya"	"Smolensk"	1	"settlement"
"settlement:eur_spain:madrid"	"eur_spain"	"Madrid"	4	"settlement"
"settlement:eur_sweden:stockholm"	"eur_sweden"	"Stockholm"	3	"settlement"
"settlement:eur_switzerland:luzern"	"eur_switzerland"	"Luzern"	1	"settlement"
"settlement:eur_transylvania:klausenburg"	"eur_transylvania"	"Klausenburg"	1	"settlement"
"settlement:eur_tyrol:innsbruck"	"eur_tyrol"	"Innsbruck"	1	"settlement"
"settlement:eur_venetia:venice"	"eur_venetia"	"Venice"	3	"settlement"
"settlement:eur_volhynia_podolia:kamenets_podolsk"	"eur_volhynia_podolia"	"Kamenets Podolsky"	1	"settlement"
"settlement:eur_wales:cardiff"	"eur_wales"	"Cardiff"	1	"settlement"
"settlement:eur_wallachia:bucharest"	"eur_wallachia"	"Bucharest"	2	"settlement"
"settlement:eur_west_prussia:danzig"	"eur_west_prussia"	"Danzig"	1	"settlement"
"settlement:ita_alpes_maritimes:nice"	"ita_alpes_maritimes"	"Nice"	2	"settlement"
"settlement:ita_ancona:ancona"	"ita_ancona"	"Ancona"	2	"settlement"
"settlement:ita_brescia:brescia"	"ita_brescia"	"Brescia"	1	"settlement"
"settlement:ita_carinthia:klagenfurt"	"ita_carinthia"	"Klagenfurt"	2	"settlement"
"settlement:ita_cuneo:coni"	"ita_cuneo"	"Coni"	1	"settlement"
"settlement:ita_emilio_romagna:bologna"	"ita_emilio_romagna"	"Bologna"	1	"settlement"
"settlement:ita_friuli:udine"	"ita_friuli"	"Udine"	1	"settlement"
"settlement:ita_liguria:genoa"	"ita_liguria"	"Genoa"	1	"settlement"
"settlement:ita_lissandria:alessandria"	"ita_lissandria"	"Alessandria"	1	"settlement"
"settlement:ita_lodi:lodi"	"ita_lodi"	"Lodi"	1	"settlement"
"settlement:ita_lucca:lucca"	"ita_lucca"	"Lucca"	1	"settlement"
"settlement:ita_mantova:mantua"	"ita_mantova"	"Mantua"	2	"settlement"
"settlement:ita_massa_carrara:pontremoli"	"ita_massa_carrara"	"Pontremoli"	1	"settlement"
"settlement:ita_milano:milan"	"ita_milano"	"Milan"	2	"settlement"
"settlement:ita_modena:modena"	"ita_modena"	"Modena"	1	"settlement"
"settlement:ita_nuara:novara"	"ita_nuara"	"Nuara"	1	"settlement"
"settlement:ita_padova:padua"	"ita_padova"	"Padua"	1	"settlement"
"settlement:ita_parma:parma"	"ita_parma"	"Parma"	1	"settlement"
"settlement:ita_torino:turin"	"ita_torino"	"Torino"	2	"settlement"
"settlement:ita_trento:trient"	"ita_trento"	"Trient"	1	"settlement"
"settlement:ita_tuscany:florence"	"ita_tuscany"	"Florence"	2	"settlement"
"settlement:ita_tyrol:innsbruck"	"ita_tyrol"	"Innsbruck"	1	"settlement"
"settlement:ita_valle_d_aosta:aosta"	"ita_valle_d_aosta"	"Aosta"	1	"settlement"
"settlement:ita_veneto:venice"	"ita_veneto"	"Venice"	2	"settlement"
"settlement:ita_verona:verona"	"ita_verona"	"Verona"	1	"settlement"
"settlement:spa_alentejo:evora"	"spa_alentejo"	"Évora"	1	"settlement"
"settlement:spa_algarves:faro"	"spa_algarves"	"Faro"	1	"settlement"
"settlement:spa_asturias:oviedo"	"spa_asturias"	"Oviedo"	1	"settlement"
"settlement:spa_badajoz:badajos"	"spa_badajoz"	"Badajos"	2	"settlement"
