version 1, schema battle_entities_tables, guid 2e35f755-81c0-48d0-90a0-d07c395af0e3
Battle_x0020_Entity_x0020_ID(string)	class_validation(string)	type(string)	walk_speed(float)	run_speed(float)	acceleration(float)	deceleration(float)	charge_speed(float)	crawl_speed(float)	charge_distance_commence_run(float)	charge_distance_adopt_charge_pose(float)	charge_distance_pick_target(float)	radius(float)	shape(string)	radii_ratio(float)	mass(float)	height(float)	fire_arc_close(float)	fire_arc_loose(float)	turn_speed(float)	hit_points(int)
"ammo_caisson_large"	"artillery"	"ammo_caisson"	1.62	3.42	2	2	5.22	1	20	20	20	2	"ellipse"	0.25	900	2.5	30	45	45	35
"ammo_caisson_small"	"artillery"	"ammo_caisson"	1.8	3.6	2	2	5.85	1	20	20	20	2	"ellipse"	0.25	700	2.3	30	45	45	35
"artillery_breech_cannon"	"artillery"	"artillery"	0	0	2	4	0	0	0	0	0	1.2	"ellipse"	0.41	1000	1.5	360	360	45	15
"artillery_mangonel"	"artillery"	"artillery"	0	0	2	4	0	0	0	0	0	3	"ellipse"	0.68	3000	6	360	360	15	15
"boshin_artillery_medium"	"artillery"	"artillery"	0.8	1.4	2	4	4	1	30	25	25	1.5	"ellipse"	0.5	200	1.2	360	360	30	15
"boshin_artillery_slow"	"artillery"	"artillery"	0.6	1.2	2	4	4	1	30	25	25	1.5	"ellipse"	0.5	300	1.2	360	360	30	15
"boshin_cavalry_heavy"	"cavalry"	"horse"	2.5	8	3	6	10	1	50	35	35	2	"ellipse"	0.25	800	2.2	90	90	60	1
"boshin_cavalry_light"	"cavalry"	"horse"	3.5	12	5	10	14	1	50	35	35	2	"ellipse"	0.25	400	2.2	90	90	120	1
"boshin_cavalry_medium"	"cavalry"	"horse"	3	10	4	8	12	1	50	35	35	2	"ellipse"	0.25	600	2.2	90	90	90	1
"boshin_gatling_gun"	"artillery"	"artillery"	0.8	1.4	2	4	4	1	30	25	25	1.5	"ellipse"	0.5	300	1.2	360	360	60	35
"boshin_infantry_heavy"	"infantry"	"man"	1.4	3	2	6	4	1	30	25	25	0.35	"circle"	1	100	1.6	90	90	60	1
"boshin_infantry_light"	"infantry"	"man"	1.6	4	3	6	5	1	30	25	25	0.35	"circle"	1	60	1.6	90	90	120	1
