version 1, schema agent_attributes_tables
Attribute_ID(string)	Pip_Path(string)
"command_land"	"data/ui/campaign ui/pips/skill_command.tga"
"command_sea"	"data/ui/campaign ui/pips/skill_naval.tga"
"duelling_pistols"	"data/ui/campaign ui/pips/skill_shooting.tga"
"duelling_swords"	"data/ui/campaign ui/pips/skill_swordfighting.tga"
"land_defence_engineering"	"PLACEHOLDER"
"land_siege_engineering"	"PLACEHOLDER"
"management"	"data/ui/campaign ui/pips/skill_managing.tga"
"morale_land"	"PLACEHOLDER"
"morale_sea"	"PLACEHOLDER"
"movement_points_land"	"PLACEHOLDER"
"research"	"data/ui/campaign ui/pips/skill_research.tga"
"subterfuge"	"data/ui/campaign ui/pips/skill_spying.tga"
"trade"	"PLACEHOLDER"
"zeal"	"data/ui/campaign ui/pips/skill_zeal.tga"
