version 1, schema battle_type_setup_limits_tables
Battle_Type_IDRef(string)	Unit_Type(string)	Unit_Size(string)	Unit_Availability(string)	unknown1(int)	unknown2(int)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)
"capture_point"	"artillery_heavy"	"large"	"early"	8	8	4	0	0	0	12
"capture_point"	"artillery_heavy"	"large"	"late"	8	8	4	0	0	0	58
"capture_point"	"artillery_heavy"	"large"	"middle"	8	8	4	0	0	0	46
"capture_point"	"artillery_heavy"	"medium"	"early"	7	4	3	0	0	0	11
"capture_point"	"artillery_heavy"	"medium"	"late"	7	4	3	0	0	0	57
"capture_point"	"artillery_heavy"	"medium"	"middle"	7	4	3	0	0	0	45
"capture_point"	"artillery_heavy"	"small"	"early"	3	2	2	0	0	0	10
"capture_point"	"artillery_heavy"	"small"	"late"	3	2	2	0	0	0	56
"capture_point"	"artillery_heavy"	"small"	"middle"	3	2	2	0	0	0	44
"capture_point"	"balanced"	"large"	"early"	13	4	3	0	0	0	18
"capture_point"	"balanced"	"large"	"late"	13	4	3	0	0	0	64
"capture_point"	"balanced"	"large"	"middle"	7	7	6	0	0	0	52
"capture_point"	"balanced"	"medium"	"early"	9	3	2	0	0	0	17
"capture_point"	"balanced"	"medium"	"late"	9	3	2	0	0	0	63
"capture_point"	"balanced"	"medium"	"middle"	9	3	2	0	0	0	51
"capture_point"	"balanced"	"small"	"early"	3	2	2	0	0	0	16
"capture_point"	"balanced"	"small"	"late"	3	2	2	0	0	0	62
"capture_point"	"balanced"	"small"	"middle"	3	2	2	0	0	0	50
"capture_point"	"cavalry_heavy"	"large"	"early"	8	9	3	0	0	0	15
"capture_point"	"cavalry_heavy"	"large"	"late"	8	9	3	0	0	0	61
"capture_point"	"cavalry_heavy"	"large"	"middle"	8	9	3	0	0	0	49
"capture_point"	"cavalry_heavy"	"medium"	"early"	5	7	2	0	0	0	14
"capture_point"	"cavalry_heavy"	"medium"	"late"	5	7	2	0	0	0	60
"capture_point"	"cavalry_heavy"	"medium"	"middle"	5	7	2	0	0	0	48
"capture_point"	"cavalry_heavy"	"small"	"early"	3	3	1	0	0	0	13
"capture_point"	"cavalry_heavy"	"small"	"late"	3	3	1	0	0	0	59
"capture_point"	"cavalry_heavy"	"small"	"middle"	3	3	1	0	0	0	47
"capture_point"	"infantry_heavy"	"large"	"early"	15	2	3	0	0	0	8
"capture_point"	"infantry_heavy"	"large"	"late"	15	2	3	0	0	0	55
"capture_point"	"infantry_heavy"	"large"	"middle"	15	2	3	0	0	0	43
"capture_point"	"infantry_heavy"	"medium"	"early"	9	3	2	0	0	0	7
"capture_point"	"infantry_heavy"	"medium"	"late"	9	3	2	0	0	0	54
"capture_point"	"infantry_heavy"	"medium"	"middle"	9	3	2	0	0	0	42
"capture_point"	"infantry_heavy"	"small"	"early"	5	1	1	0	0	0	6
"capture_point"	"infantry_heavy"	"small"	"late"	5	1	1	0	0	0	53
"capture_point"	"infantry_heavy"	"small"	"middle"	5	1	1	0	0	0	41
"classic"	"artillery_heavy"	"large"	"early"	11	6	3	0	0	0	21
"classic"	"artillery_heavy"	"large"	"late"	11	6	3	0	0	0	76
"classic"	"artillery_heavy"	"large"	"middle"	11	6	3	0	0	0	73
"classic"	"artillery_heavy"	"medium"	"early"	8	4	2	0	0	0	20
"classic"	"artillery_heavy"	"medium"	"late"	8	4	2	0	0	0	75
"classic"	"artillery_heavy"	"medium"	"middle"	8	4	2	0	0	0	72
"classic"	"artillery_heavy"	"small"	"early"	3	2	2	0	0	0	19
"classic"	"artillery_heavy"	"small"	"late"	3	2	2	0	0	0	74
"classic"	"artillery_heavy"	"small"	"middle"	3	2	2	0	0	0	71
"classic"	"balanced"	"large"	"early"	13	4	3	0	0	0	28
"classic"	"balanced"	"large"	"late"	13	4	3	0	0	0	90
"classic"	"balanced"	"large"	"middle"	13	4	3	0	0	0	87
"classic"	"balanced"	"medium"	"early"	9	3	2	0	0	0	26
"classic"	"balanced"	"medium"	"late"	9	3	2	0	0	0	89
"classic"	"balanced"	"medium"	"middle"	9	3	2	0	0	0	85
"classic"	"balanced"	"small"	"early"	4	2	1	0	0	0	25
