version 1, schema events_tables
Event_ID(string)	Image(string)	unknown1(boolean)	Date(int)	Season(string)	Condition(string)	Image2(string)
"3_colour_printing"	"Industry_european.tga"	false	1702	"season_summer"	""	"Industry_european.tga"
"air_loom"	"Crime_European.tga"	false	1793	"season_summer"	""	"Crime_European.tga"
"alcoholic_apothecary"	"culture-eu.tga"	false	1794	"season_summer"	""	"culture-eu.tga"
"alcoholic_apothecary_dies"	"culture-eu.tga"	false	1800	"season_winter"	""	"culture-eu.tga"
"american_blizzard"	"disaster_eu.tga"	false	1717	"season_winter"	""	"disaster_eu.tga"
"amish_to_america"	"fleet1.tga"	false	1727	"season_summer"	""	"fleet1.tga"
"ascending_mont_blanc"	"culture-eu.tga"	false	1786	"season_summer"	""	"culture-eu.tga"
"ascending_triglav"	"culture-eu.tga"	false	1778	"season_summer"	""	"culture-eu.tga"
"astronomical_aberration"	"medicine_european.tga"	true	1729	"season_summer"	"FactionBuildingExists(\"britain\", \"royal_observatory\")"	"medicine_european.tga"
"australia_day"	"fleet1.tga"	false	1788	"season_summer"	""	"fleet1.tga"
"autobiography_colley_cibber"	"culture-eu.tga"	false	1740	"season_winter"	""	"culture-eu.tga"
"bach_brandenburg_concertos"	"culture-eu.tga"	false	1721	"season_summer"	""	"culture-eu.tga"
"bach_dies"	"small funeral-eu.tga"	false	1750	"season_summer"	""	"small funeral-eu.tga"
"bach_toccata_and_fugue_in_d_minor"	"culture-eu.tga"	false	1707	"season_summer"	""	"culture-eu.tga"
"bach_well_tempered_clavier_1"	"culture-eu.tga"	false	1722	"season_summer"	""	"culture-eu.tga"
"bach_well_tempered_clavier_2"	"culture-eu.tga"	false	1744	"season_summer"	""	"culture-eu.tga"
"ballistics_advanced"	"medicine_european.tga"	true	1742	"season_summer"	"[FactionBuildingExists(\"britain\", \"gunnery_school\") or FactionBuildingExists(\"france\", \"gunnery_school\") or FactionBuildingExists(\"austria\", \"gunnery_school\") or FactionBuildingExists(\"spain\", \"gunnery_school\") or FactionBuildingExists(\"prussia\", \"gunnery_school\") or FactionBuildingExists(\"russia\", \"gunnery_school\") or FactionBuildingExists(\"ottomans\", \"gunnery_school\") or FactionBuildingExists(\"netherlands\", \"gunnery_school\") or FactionBuildingExists(\"maratha\", \"gunnery_school\") or FactionBuildingExists(\"mughal\", \"gunnery_school\") or FactionBuildingExists(\"sweden\", \"gunnery_school\")]"	"medicine_european.tga"
"bangorian_controversy"	"Religion_European.tga"	true	1717	"season_summer"	"FactionTechExists(\"britain\", \"enlightenment_secular_humanism\")"	"Religion_European.tga"
"bavarian_illuminai"	"culture-eu.tga"	false	1784	"season_summer"	""	"culture-eu.tga"
"belfast_news_letter_published"	"culture-eu.tga"	false	1737	"season_summer"	""	"culture-eu.tga"
"bellamy_killed"	"pirates afterloose.tga"	false	1717	"season_summer"	""	"pirates afterloose.tga"
"biathlon_norway"	"culture-eu.tga"	false	1767	"season_winter"	""	"culture-eu.tga"
"big_bottom_massacre"	"Politics_european.tga"	false	1791	"season_summer"	""	"Politics_european.tga"
"bioelectricity_discovered"	"medicine_european.tga"	false	1768	"season_summer"	""	"medicine_european.tga"
"blackbeard_killed"	"pirates afterloose.tga"	false	1718	"season_summer"	""	"pirates afterloose.tga"
"blood_pressure"	"medicine_european.tga"	true	1726	"season_summer"	"FactionTechExists(\"britain\", \"industry_agriculture_improved_animal_husbandry\")"	"medicine_european.tga"
"bonnet_hanged"	"pirates afterloose.tga"	false	1718	"season_winter"	""	"pirates afterloose.tga"
"bow_street_runners"	"Politics_european.tga"	true	1748	"season_summer"	"FactionBuildingExists(\"britain\", \"governors_residence\")"	"Politics_european.tga"
"british_museum"	"culture-eu.tga"	true	1753	"season_winter"	"FactionBuildingExists(\"britain\", \"great_museum\")"	"culture-eu.tga"
"brotherhood_of_the_wolf"	"culture-eu.tga"	false	1767	"season_summer"	""	"culture-eu.tga"
"broughton_rules"	"culture-eu.tga"	false	1743	"season_summer"	""	"culture-eu.tga"
"calendar_changes"	"culture-eu.tga"	false	1751	"season_summer"	""	"culture-eu.tga"
"cast_steel"	"Industry_european.tga"	true	1735	"season_summer"	"FactionBuildingExists(\"britain\", \"ironmasters_works\")"	"Industry_european.tga"
"celsius_scale"	"medicine_european.tga"	false	1741	"season_winter"	""	"medicine_european.tga"
"cheese_revolution"	"shipyard.tga"	true	1758	"season_summer"	"FactionBuildingExists(\"britain\", \"military_navy_preserved_foods\")"	"shipyard.tga"
"chlorine_disinfectant"	"medicine_european.tga"	false	1773	"season_summer"	""	"medicine_european.tga"
"circular_saw"	"Industry_european.tga"	true	1777	"season_summer"	"FactionTechExists(\"britain\", \"industry_metal_machine_tools\")"	"Industry_european.tga"
"circus_london"	"culture-eu.tga"	false	1768	"season_winter"	""	"culture-eu.tga"
"clever_stick"	"medicine_european.tga"	false	1736	"season_winter"	""	"medicine_european.tga"
