version 1, schema historical_character_traits_tables
Name_IDRef(string)	Trait_Level_IDRef(string)
"abraham_de_moivre"	"C_Gent_Research_Philosophy_2"
"abraham_gotthelf_kastner"	"C_Gent_Academic_Honours_2"
"abraham_gotthelf_kastner"	"C_Gent_Research_Philosophy_1"
"abraham_gottlob_werner"	"C_Gent_Science_Club_2"
"abraham_gottlob_werner"	"C_Personal_Sickly_1"
"adam_duncan"	"C_Admiral_Blockader_Good_1"
"adam_duncan"	"C_Admiral_Good_2"
"adam_gottlob_moltke"	"C_Minister_Physiocrat_1"
"adam_gottlob_moltke"	"C_Minister_Reactionary_1"
"adam_smith"	"C_Gent_Academic_Honours_2"
"adam_smith"	"C_Gent_Research_Economics_2"
"adam_smith"	"C_Gent_Research_Philosophy_2"
"adrien_legendre"	"C_Gent_Research_Philosophy_1"
"ahmed_resmi_efendi"	"C_Gent_Research_Philosophy_2"
"aleksander_august_zamoyski"	"C_Minister_Upright_2"
"alexander_gottlieb_baumgarten"	"C_Gent_Research_Philosophy_2"
"alexander_hamilton"	"C_Minister_Fiscal_Genius_2"
"alexander_pope"	"C_Gent_Research_Philosophy_2"
"alexander_rumyantsev"	"C_Minister_Unjust_1"
"alexander_vasilyevich_suvorov"	"C_General_Attacker_Good_2"
"alexander_vasilyevich_suvorov"	"C_General_Good_Field_Commander_3"
"alexander_vasilyevich_suvorov"	"C_General_Slacker_1"
"alexis_clairault"	"C_Gent_Research_Philosophy_2"
"anders_chydenius"	"C_Gent_Research_Economics_2"
"anders_chydenius"	"C_Gent_Research_Philosophy_2"
"anders_sparrman"	"C_Gent_Academic_Honours_1"
"anders_sparrman"	"C_Gent_Research_Philosophy_1"
"andre_massena"	"C_General_Good_Field_Commander_3"
"andre_massena"	"C_General_Siege_Defend_Good_2"
"andreas_felix_von_oefele"	"C_Gent_Research_Philosophy_2"
"andreas_hadik"	"C_General_of_Cavalry_2"
"andreas_hofer"	"C_Admiral_Press_Hero_1"
"andreas_hofer"	"C_General_Good_Field_Commander_2"
"andreas_marggraf"	"C_Gent_Science_Club_2"
"andrew_meikle"	"C_Gent_Research_Agriculture_2"
"andrew_meikle"	"C_Gent_Research_Industry_1"
"andrew_plumber"	"C_Gent_Research_Philosophy_1"
"andrey_timofeyevich_bolotov"	"C_Gent_Research_Agriculture_3"
"antoich_kantemir"	"C_Gent_Research_Philosophy_2"
"anton_van_leeuwenhoek"	"C_Gent_Research_Philosophy_1"
"anton_van_leeuwenhoek"	"C_Gent_Science_Club_1"
"anton_wilhelm_von_lestocq"	"C_General_of_Cavalry_2"
"antonio_de_ulloa"	"C_Gent_Research_Industry_1"
"antonio_de_ulloa"	"C_Gent_Science_Club_2"
"arnold_drakenborch"	"C_Gent_Academic_Honours_2"
"arnold_drakenborch"	"C_Gent_Research_Philosophy_1"
"artemy_volynsky"	"C_Minister_Corrupt_1"
"artemy_volynsky"	"C_Minister_Trader_2"
"arthur_wellesley"	"C_General_Attacker_Good_2"
"arthur_wellesley"	"C_General_Born_Soldier_1"
"arthur_wellesley"	"C_General_Good_Field_Commander_3"
"adam_duncan"	"C_Admiral_Brave_2"
"adrien_legendre"	"C_Gent_Research_Military_1"
"alexis_clairault"	"C_Gent_Science_Club_1"
"andreas_hadik"	"C_General_Attacker_Good_2"
"augustin_luyando"	"C_Gent_Research_Philosophy_1"
"augustus_keppel"	"C_Admiral_Good_2"
"baji_rao_i"	"C_General_Good_Field_Commander_3"
"baji_rao_i"	"C_General_of_Cavalry_2"
"banastre_tarleton"	"C_General_Bloody_1"
"banastre_tarleton"	"C_General_of_Cavalry_1"
"barry_stledger"	"C_General_Ambush_Good_1"
"barry_stledger"	"C_General_Siege_Attack_Good_2"
"bartolomeo_rastrelli"	"C_Minister_Good_Entertainment_2"
"beauchamp_bagenal"	"C_Rake_Born_Bounder_1"
"beauchamp_bagenal"	"C_Rake_Naughty_Club_2"
"benedict_arnold"	"C_General_Brave_1"
"benedict_arnold"	"C_General_Good_Field_Commander_1"
"benjamin_banneker"	"C_Gent_Research_Agriculture_1"
"benjamin_banneker"	"C_Gent_Science_Club_1"
"benjamin_child"	"C_Rake_Born_Bounder_1"
"benjamin_thompson"	"C_Gent_Research_Military_1"
"benjamin_thompson"	"C_Gent_Science_Club_1"
"bernardo_de_galvez"	"C_General_Brave_2"
"bernardo_de_galvez"	"C_General_Good_Field_Commander_1"
"bestuzhev_ryumin"	"C_Minister_Army_Good_1"
"bestuzhev_ryumin_2"	"C_Minister_Corrupt_1"
"blas_de_lezo"	"C_Admiral_Brave_2"
"blas_de_lezo"	"C_Admiral_Good_2"
"boris_sheremetev"	"C_General_Good_Field_Commander_2"
"anton_wilhelm_von_lestocq"	"C_General_Good_Field_Commander_1"
"blas_de_lezo"	"C_Admiral_Defender_Good_2"
"carl_andreas_duker"	"C_Gent_Academic_Honours_2"
"boris_sheremetev"	"C_General_Russian_Vodka_2"
"bruno_de_heceta"	"C_Admiral_Spanish_National_Pride_2"
"burkhard_christoph_von_munnich"	"C_General_Good_Field_Commander_1"
"burkhard_christoph_von_munnich"	"C_General_Siege_Attack_Good_2"
"button_gwinnett"	"C_Gent_Duelling_Pistol_1"
"button_gwinnett"	"C_Gent_Research_Agriculture_2"
"carl_andreas_duker"	"C_Gent_Research_Philosophy_1"
"carl_fredrik_pechlin"	"C_Minister_Corrupt_1"
"carl_gauss"	"C_Gent_Academic_Honours_1"
"carl_gauss"	"C_Gent_Research_Philosophy_2"
"carl_gauss"	"C_Gent_Science_Club_1"
"carl_gustaf_tessin"	"C_Minister_Upright_1"
"carl_linnaeus"	"C_Gent_Academic_Honours_2"
"carl_linnaeus"	"C_Gent_Research_Philosophy_1"
"caspar_wessel"	"C_Gent_Research_Philosophy_1"
"cezayirli_gazi_hasan_pasha"	"C_Admiral_Good_2"
"charles_cornwallis"	"C_General_Good_Field_Commander_2"
"charles_cornwallis"	"C_General_Brave_1"
"charles_coulomb"	"C_Gent_Science_Club_2"
"charles_de_geer"	"C_Gent_Research_Philosophy_1"
"charles_de_geer"	"C_Gent_Science_Club_2"
"charles_de_secondat"	"C_Gent_Research_Philosophy_2"
"charles_deon"	"C_Agent_Spy_Network_2"
"charles_deon"	"C_Rake_Im_A_Laydee_2"
"charles_fox"	"C_Minister_Radical_1"
"cezayirli_gazi_hasan_pasha"	"C_Admiral_Brave_1"
"charles_coulomb"	"C_Gent_Research_Philosophy_1"
"charles_de_geer"	"C_Gent_Research_Industry_2"
"charles_hardy"	"C_Admiral_Good_2"
"charles_lewenhaupt"	"C_General_Bad_1"
"charles_lewenhaupt"	"C_General_Swedish_Aggression_2"
"charles_mohun"	"C_Gent_Duelling_Pistol_1"
"charles_mohun"	"C_Gent_Duelling_Sword_2"
"charles_talleyrand"	"C_Minister_Corrupt_1"
"charles_talleyrand"	"C_Minister_Radical_1"
"charles_townshend"	"C_Gent_Research_Agriculture_3"
"cholmeley_dering"	"C_Gent_Duelling_Pistol_1"
"christian_august_crusius"	"C_Gent_Academic_Honours_2"
"christian_august_crusius"	"C_Gent_Research_Philosophy_2"
"christian_goldbach"	"C_Gent_Research_Philosophy_1"
"christian_gunther_von_bernstorff"	"C_Minister_Reactionary_1"
"christian_hendrik_persoon"	"C_Gent_Academic_Honours_1"
"christian_hendrik_persoon"	"C_Gent_Research_Philosophy_1"
"christian_mayer"	"C_Gent_Academic_Honours_2"
"christian_mayer"	"C_Gent_Science_Club_1"
"christian_thomasius"	"C_Gent_Research_Philosophy_2"
"christian_wolff"	"C_Gent_Academic_Honours_2"
"christian_wolff"	"C_Gent_Research_Philosophy_2"
"claude_berthollet"	"C_Gent_Science_Club_1"
"claude_helvetius"	"C_Gent_Research_Agriculture_1"
"claude_helvetius"	"C_Gent_Research_Philosophy_2"
"christian_mayer"	"C_Gent_Research_Philosophy_1"
"claude_berthollet"	"C_Gent_Research_Philosophy_1"
"colin_maclaurin"	"C_Gent_Research_Philosophy_1"
"comte_de_marsin"	"C_General_French_Elan_1"
"colin_maclaurin"	"C_Gent_Academic_Honours_2"
