version 1, schema resources_tables
Resource_ID(string)	Dimension_Unit(optstring)	Slot_ID(string)	Effect_for_non_trade_goods_x0020__x0028__x003F__x0029_(int)	Graphic_path(string)
"res_cattle"	nil	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\corn.tga"
"res_coffee"	"sacks"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\coffee.tga"
"res_corn"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\corn.tga"
"res_cotton"	"bales"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\cotton.tga"
"res_fish"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\fish.tga"
"res_furs"	"pelts"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\furs.tga"
"res_gems"	nil	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\gems.tga"
"res_gold"	nil	"settlement"	75	"data\\UI\\Campaign UI\\Pips\\gold.tga"
"res_iron"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\iron.tga"
"res_ivory"	"tusks"	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\ivory.tga"
"res_rice"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\rice.tga"
"res_sheep"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\sheep.tga"
"res_silver"	nil	"settlement"	50	"data\\UI\\Campaign UI\\Pips\\silver.tga"
"res_spices"	"pounds"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\spices.tga"
"res_sugar"	"loaves"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\sugar.tga"
"res_tea"	"chests"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\tea.tga"
"res_timber"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\timber.tga"
"res_tobacco"	"barrels"	"settlement"	0	"data\\UI\\Campaign UI\\Pips\\tobacco.tga"
"res_wheat"	nil	"settlement"	25	"data\\UI\\Campaign UI\\Pips\\wheat.tga"
"res_wine"	nil	"settlement"	30	"data\\UI\\Campaign UI\\Pips\\wine.tga"
