version 3, schema cdir_events_dilemma_payloads_tables, guid 314a2e07-3444-45d6-98fb-5eb008e2c090
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(float)	unknown5(string)	unknown6(boolean)	unknown7(string)
"FIRST"	"d_ambitious_traders"	1240	0	"p_foreign_prosperity"	true	"DURATION[6]"
"SECOND"	"d_ambitious_traders"	1247	0	"p_thriving_markets"	true	"DURATION[6]"
"FIRST"	"d_auxiliary_supplies"	1253	0	"p_ample_supplies"	true	"DURATION[8]"
"FIRST"	"d_auxiliary_supplies"	1263	0	"TREASURY"	true	"AMOUNT[-2000]"
"FIRST"	"d_better_agent_metsuke"	1266	0	"p_master_metsuke"	true	"DURATION[8]"
"FIRST"	"d_better_agent_metsuke"	1270	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_better_agent_missionary"	1283	0	"p_master_missionaries"	true	"DURATION[8]"
"FIRST"	"d_better_agent_missionary"	1291	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_better_agent_monk"	1296	0	"p_master_monks"	true	"DURATION[8]"
"FIRST"	"d_better_agent_monk"	1305	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_better_agent_ninja"	1320	0	"p_master_ninja"	true	"DURATION[8]"
"FIRST"	"d_better_agent_ninja"	1330	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_bountiful_harvest"	1337	0	"p_grateful_populace_global"	true	"DURATION[2]"
"SECOND"	"d_bountiful_harvest"	1341	0	"p_plenty"	true	"DURATION[4]"
"FIRST"	"d_conflict_beliefs_buddhist"	1345	0	"p_religious_zeal"	true	"DURATION[6];GLOBAL"
"SECOND"	"d_conflict_beliefs_buddhist"	1348	0	"p_word_of_god_local"	true	"DURATION[4]"
"FIRST"	"d_conflict_beliefs_christian"	1350	0	"p_religious_zeal"	true	"DURATION[6];GLOBAL"
"SECOND"	"d_conflict_beliefs_christian"	1354	0	"p_compassion_buddha_local"	true	"DURATION[4]"
"FIRST"	"d_desecration"	1356	0	"p_grateful_populace_local"	true	"DURATION[4]"
"SECOND"	"d_desecration"	1365	0	"p_nanban_ambassador"	true	"DURATION[4];GLOBAL"
"FIRST"	"d_developmental_focus"	1373	0	"p_martial_wisdom"	true	"DURATION[4]"
"SECOND"	"d_developmental_focus"	1382	0	"p_administrative_insight"	true	"DURATION[4]"
"FIRST"	"d_disgruntled_vassal"	1386	0	"TREASURY"	true	"AMOUNT[-1000]"
"FIRST"	"d_francis_xavier"	1395	0	"p_old_ways"	true	"DURATION[8]"
"SECOND"	"d_francis_xavier"	1398	0	"p_word_of_god_global"	true	"DURATION[8]"
"FIRST"	"d_gaijin_trouble"	1407	0	"p_disaffected_populace_local"	true	"DURATION[4]"
"SECOND"	"d_gaijin_trouble"	1409	0	"p_nanban_ire"	true	"DURATION[8];GLOBAL"
"FIRST"	"d_hachiman_flock"	1411	0	"p_war_fervour"	true	"DURATION[4]"
"SECOND"	"d_hachiman_flock"	1413	0	"p_abundant_catch_global"	true	"DURATION[4]"
"FIRST"	"d_heralding_spring"	1416	0	"p_inspired_endeavours_global"	true	"DURATION[4]"
"FIRST"	"d_heralding_spring"	1423	0	"TREASURY"	true	"AMOUNT[-2500]"
"SECOND"	"d_heralding_spring"	1430	0	"p_taskmaster_global"	true	"DURATION[6]"
"FIRST"	"d_intoxication"	1438	0	"p_iron_fist"	true	"DURATION[4];GLOBAL"
"SECOND"	"d_intoxication"	1447	0	"p_grateful_populace_global"	true	"DURATION[4];GLOBAL"
"FIRST"	"d_jizamurai"	1450	0	"p_agrarian_toil_global"	true	"DURATION[4]"
"SECOND"	"d_jizamurai"	1460	0	"p_call_to_arms"	true	"DURATION[4]"
"FIRST"	"d_land_dispute"	1467	0	"HONOUR"	true	"AMOUNT[1]"
"SECOND"	"d_land_dispute"	1470	0	"TREASURY"	true	"AMOUNT[2000]"
"FIRST"	"d_martial_priorities"	1471	0	"p_aggressive_ardour"	true	"DURATION[6]"
"SECOND"	"d_martial_priorities"	1474	0	"p_staunch_defence"	true	"DURATION[6]"
"FIRST"	"d_master_archer"	1480	0	"p_master_archers"	true	"DURATION[10]"
