version 1, schema diplomacy_attitudes_tables
Cause(string)	Limit(int)	Change_Per_Turn(int)	Change_Once(int)
"abandoned_ally_in_war"	0	2	-25
"abused_military_access"	0	1	-30
"alliance"	80	1	30
"alliance_broken"	0	2	-40
"alliance_refuse_war_of_agression"	0	0	-50
"allied_with_enemies"	0	1	-20
"annexed_territory"	0	1	-30
"assassination"	0	2	-50
"backstabbing"	0	1	0
"break_alliance"	0	-2	0
"break_trade"	0	-2	0
"cultural_alliance_broken"	0	1	0
"government_type"	0	2	0
"initial_modifier"	0	1	0
"peace"	0	2	120
"peace_dragged_by_ally"	0	2	60
"sabotage"	0	2	-20
"spying"	0	2	-20
"state_gift"	0	-1	100
"third_party_assassination"	0	1	-5
"third_party_sabotage"	0	1	-2
"third_party_spying"	0	1	-2
"threatened"	0	3	-30
"trade"	60	1	15
"trade_broken"	0	2	-20
"war"	-200	-2	-140
"war_against_enemies"	0	-1	15
"war_against_friends"	0	1	-15
"war_dragged_by_ally"	-130	-2	-70
