version 2, schema encyclopedia_page_linkages_tables, guid 86483a2d-6904-40fc-8049-1e1099753a7d
unknown1(optstring)	unknown2(string)	unknown3(optstring)
"002_enc_advisor_help"	"001_enc_enc_help"	"enc_manual_index"
"002b_enc_glossary"	"002_enc_advisor_help"	"enc_manual_index"
"003_enc_ui_frontend"	"002b_enc_glossary"	"enc_manual_index"
"004_enc_ui_ingame"	"003_enc_ui_frontend"	"enc_manual_index"
"003b_enc_ui_frontend_options"	"003a_enc_ui_frontend_grand_clan"	"003_enc_ui_frontend"
"003c_enc_ui_frontend_options_graphics_gamma"	"003b_enc_ui_frontend_options"	"003_enc_ui_frontend"
"003d_enc_ui_frontend_options_controls_keys"	"003c_enc_ui_frontend_options_graphics_gamma"	"003_enc_ui_frontend"
nil	"003d_enc_ui_frontend_options_controls_keys"	"003_enc_ui_frontend"
"005_enc_tut_help"	"004_enc_ui_ingame"	"enc_manual_index"
nil	"004a_enc_ui_ingame_options"	"004_enc_ui_ingame"
"006_enc_manual_intro"	"005_enc_tut_help"	"enc_manual_index"
"018_enc_manual_actions_campaign"	"006_enc_manual_intro"	"enc_manual_index"
"046_enc_manual_battle_deployment"	"007_enc_manual_hud"	"enc_manual_index"
"009_enc_manual_hud_lists"	"008_enc_manual_hud_radar"	"007_enc_manual_hud"
"010_enc_manual_hud_date"	"009_enc_manual_hud_lists"	"007_enc_manual_hud"
"011_enc_manual_hud_treasury"	"010_enc_manual_hud_date"	"007_enc_manual_hud"
"012_enc_manual_hud_events"	"011_enc_manual_hud_treasury"	"007_enc_manual_hud"
"012a_enc_manual_hud_events_dilemmas"	"012_enc_manual_hud_events"	"007_enc_manual_hud"
"012b_enc_manual_hud_events_victory"	"012a_enc_manual_hud_events_dilemmas"	"007_enc_manual_hud"
"012c_enc_manual_hud_events_missions"	"012b_enc_manual_hud_events_victory"	"007_enc_manual_hud"
"013_enc_manual_hud_finances"	"012c_enc_manual_hud_events_missions"	"007_enc_manual_hud"
"014_enc_manual_hud_arts"	"013_enc_manual_hud_finances"	"007_enc_manual_hud"
"015_enc_manual_hud_diplomacy"	"014_enc_manual_hud_arts"	"007_enc_manual_hud"
