version 1, schema units_to_exclusive_faction_permissions_tables
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"2_Decker_50"	"courland"	true
"2_Decker_50"	"crimean_khanate"	true
"2_Decker_50"	"egy_britain"	true
"2_Decker_64"	"courland"	true
"2_Decker_64"	"crimean_khanate"	true
"2_Decker_74"	"courland"	true
"2_Decker_74"	"egy_britain"	true
"2_Decker_British_50_4th_Rate"	"britain"	true
"2_Decker_British_50_4th_Rate"	"spa_britain"	true
"2_Decker_British_64_3rd_Rate"	"britain"	true
"2_Decker_British_64_3rd_Rate"	"spa_britain"	true
"2_Decker_British_74_3rd_Rate"	"britain"	true
"2_Decker_British_74_3rd_Rate"	"spa_britain"	true
"2_Decker_British_80_3rd_Rate"	"britain"	true
"2_Decker_British_80_3rd_Rate"	"spa_britain"	true
"2_Decker_French_74"	"france"	true
"2_Decker_French_74"	"spa_france"	true
"2_Decker_French_74"	"tut_france"	true
"2_Decker_French_80"	"france"	true
"2_Decker_French_80"	"spa_france"	true
"2_Decker_HMS_Elephant"	"britain"	true
"2_Decker_HMS_Elephant"	"spa_britain"	true
"2_Decker_Ottoman_50"	"ottomans"	true
"2_Decker_Ottoman_64"	"ottomans"	true
"2_Decker_Ottoman_80"	"ottomans"	true
"2_Decker_Russian_50"	"russia"	true
"2_Decker_Russian_64"	"russia"	true
"2_Decker_Russian_74"	"russia"	true
"2_Decker_Russian_80"	"russia"	true
"2_Decker_Spanish_64"	"spa_spain"	true
"2_Decker_Spanish_64"	"spain"	true
"2_Decker_Spanish_74"	"spa_spain"	true
"2_Decker_Spanish_74"	"spain"	true
"2_Decker_Spanish_80"	"spa_spain"	true
"2_Decker_Spanish_80"	"spain"	true
"2_Decker_Tutorial_74"	"tut_france"	true
"3_Decker_British_1st_Rate"	"britain"	true
"3_Decker_British_2nd_Rate"	"britain"	true
"3_Decker_British_Heavy_1st_Rate"	"britain"	true
"3_Decker_French_122"	"france"	true
"3_Decker_Spanish_106"	"spain"	true
"3_Decker_Spanish_122"	"spain"	true
"4_Decker_Spanish_Santissima_Trinidad"	"spain"	true
"Art_Fix_Austrian_Rocket_Troop"	"austria"	true
"Art_Fix_British_Rocket_Troop"	"britain"	true
"Art_Fix_French_Rocket_Troop"	"france"	true
"Art_Fix_Ottoman_Bombardment_Mortars"	"egy_ottomans"	true
"Art_Fix_Ottoman_Bombardment_Mortars"	"ottomans"	true
"Art_Fix_Prussian_Rocket_Troop"	"prussia"	true
"Art_Fix_Russian_Rocket_Troop"	"russia"	true
"Art_Foot_12_lber"	"bavaria"	true
"Art_Foot_12_lber"	"belgium"	true
"Art_Foot_12_lber"	"brittany"	true
"Art_Foot_12_lber"	"catalonia"	true
"Art_Foot_12_lber"	"courland"	true
"Art_Foot_12_lber"	"crimean_khanate"	true
"Art_Foot_12_lber"	"denmark"	true
"Art_Foot_12_lber"	"greece"	true
"Art_Foot_12_lber"	"hannover"	true
"Art_Foot_12_lber"	"hessen"	true
"Art_Foot_12_lber"	"hungary"	true
"Art_Foot_12_lber"	"ireland"	true
"Art_Foot_12_lber"	"italy"	true
"Art_Foot_12_lber"	"italy_kingdom"	true
"Art_Foot_12_lber"	"mecklenburg"	true
"Art_Foot_12_lber"	"naples"	true
"Art_Foot_12_lber"	"netherlands"	true
"Art_Foot_12_lber"	"norway"	true
"Art_Foot_12_lber"	"oldenburg"	true
"Art_Foot_12_lber"	"piedmont_savoy"	true
"Art_Foot_12_lber"	"poland_lithuania"	true
"Art_Foot_12_lber"	"romania"	true
"Art_Foot_12_lber"	"sardinia"	true
"Art_Foot_12_lber"	"scotland"	true
"Art_Foot_12_lber"	"sicily"	true
"Art_Foot_12_lber"	"sweden"	true
"Art_Foot_12_lber"	"united_netherlands"	true
"Art_Foot_12_lber"	"westphalia"	true
"Art_Foot_12_lber"	"wurttemberg"	true
"Art_Foot_6_lber"	"bavaria"	true
"Art_Foot_6_lber"	"belgium"	true
"Art_Foot_6_lber"	"brittany"	true
"Art_Foot_6_lber"	"catalonia"	true
"Art_Foot_6_lber"	"courland"	true
"Art_Foot_6_lber"	"crimean_khanate"	true
"Art_Foot_6_lber"	"denmark"	true
"Art_Foot_6_lber"	"greece"	true
"Art_Foot_6_lber"	"hannover"	true
"Art_Foot_6_lber"	"hessen"	true
"Art_Foot_6_lber"	"hungary"	true
"Art_Foot_6_lber"	"ireland"	true
"Art_Foot_6_lber"	"italy"	true
"Art_Foot_6_lber"	"italy_kingdom"	true
"Art_Foot_6_lber"	"mecklenburg"	true
"Art_Foot_6_lber"	"naples"	true
"Art_Foot_6_lber"	"netherlands"	true
"Art_Foot_6_lber"	"norway"	true
"Art_Foot_6_lber"	"oldenburg"	true
"Art_Foot_6_lber"	"piedmont_savoy"	true
"Art_Foot_6_lber"	"poland_lithuania"	true
"Art_Foot_6_lber"	"romania"	true
"Art_Foot_6_lber"	"sardinia"	true
"Art_Foot_6_lber"	"saxony"	true
"Art_Foot_6_lber"	"scotland"	true
"Art_Foot_6_lber"	"sicily"	true
"Art_Foot_6_lber"	"sweden"	true
"Art_Foot_6_lber"	"swiss_confederation"	true
"Art_Foot_6_lber"	"tut_swiss_confederation"	true
"Art_Foot_6_lber"	"united_netherlands"	true
"Art_Foot_6_lber"	"westphalia"	true
"Art_Foot_6_lber"	"wurttemberg"	true
"Art_Foot_7_lber_Howitzer"	"bavaria"	true
"Art_Foot_7_lber_Howitzer"	"belgium"	true
"Art_Foot_7_lber_Howitzer"	"brittany"	true
"Art_Foot_7_lber_Howitzer"	"catalonia"	true
"Art_Foot_7_lber_Howitzer"	"courland"	true
"Art_Foot_7_lber_Howitzer"	"denmark"	true
"Art_Foot_7_lber_Howitzer"	"greece"	true
"Art_Foot_7_lber_Howitzer"	"hannover"	true
