version 1, schema uniforms_tables
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(string)
"Austria_Art_Fix_Austrian_Rocket_Troop"	"austria"	"Austria_Art_Fix_Austrian_Rocket_Troop"	"Art_Fix_Austrian_Rocket_Troop"
"Austria_Art_Foot_Austrian_12_lber"	"austria"	"Austria_Art_Foot_Austrian_12_lber"	"Art_Foot_Austrian_12_lber"
"Austria_Art_Foot_Austrian_6_lber"	"austria"	"Austria_Art_Foot_Austrian_6_lber"	"Art_Foot_Austrian_6_lber"
"Austria_Art_Foot_Austrian_7_lber_Howitzer"	"austria"	"Austria_Art_Foot_Austrian_7_lber_Howitzer"	"Art_Foot_Austrian_7_lber_Howitzer"
"Austria_Art_Foot_Austrian_Experimental_Howitzer"	"austria"	"Austria_Art_Foot_Austrian_Experimental_Howitzer"	"Art_Foot_Austrian_Experimental_Howitzer"
"Austria_Cav_Heavy_Austrian_Cuirassiers"	"austria"	"Austria_Cav_Heavy_Austrian_Cuirassiers"	"Cav_Heavy_Austrian_Cuirassiers"
"Austria_Cav_Heavy_Austrian_Dragoons"	"austria"	"Austria_Cav_Heavy_Austrian_Dragoons"	"Cav_Heavy_Austrian_Dragoons"
"Austria_Cav_Lancer_Austrian_Ulans"	"austria"	"Austria_Cav_Lancer_Austrian_Ulans"	"Cav_Lancer_Austrian_Ulans"
"Austria_Cav_Light_Austrian_1st_Hussars"	"austria"	"Austria_Cav_Light_Austrian_1st_Hussars"	"Cav_Light_Austrian_1st_Hussars"
"Austria_Cav_Light_Austrian_Hungarian_Hussars"	"austria"	"Austria_Cav_Light_Austrian_Hungarian_Hussars"	"Cav_Light_Austrian_Hungarian_Hussars"
"Austria_Cav_Stand_Austrian_Chevauxlegers"	"austria"	"Austria_Cav_Stand_Austrian_Chevauxlegers"	"Cav_Stand_Austrian_Chevauxlegers"
"Austria_Gen_Archduke_Charles"	"austria"	"Austria_Gen_Archduke_Charles"	"Gen_Archduke_Charles"
"Austria_Gen_Generals_Staff"	"austria"	"Austria_Gen_Generals_Staff"	"Gen_Generals_Staff"
"Austria_Gen_Jozsef_Alvinczi"	"austria"	"Austria_Gen_Jozsef_Alvinczi"	"Gen_Jozsef_Alvinczi"
"Austria_Gen_Karl_Schwarzenberg"	"austria"	"Austria_Gen_Karl_Schwarzenberg"	"Gen_Karl_Schwarzenberg"
"Austria_Inf_Gren_Austrian_German_Grenadiers"	"austria"	"Austria_Inf_Gren_Austrian_German_Grenadiers"	"Inf_Gren_Austrian_German_Grenadiers"
"Austria_Inf_Gren_Austrian_Hungarian_Grenadiers"	"austria"	"Austria_Inf_Gren_Austrian_Hungarian_Grenadiers"	"Inf_Gren_Austrian_Hungarian_Grenadiers"
"Austria_Inf_Light_Austrian_Grenzers"	"austria"	"Austria_Inf_Light_Austrian_Grenzers"	"Inf_Light_Austrian_Grenzers"
"Austria_Inf_Line_Austrian_1st_Emperors_Own"	"austria"	"Austria_Inf_Line_Austrian_1st_Emperors_Own"	"Inf_Line_Austrian_1st_Emperors_Own"
"Austria_Inf_Line_Austrian_47th_Czech"	"austria"	"Austria_Inf_Line_Austrian_47th_Czech"	"Inf_Line_Austrian_47th_Czech"
"Austria_Inf_Line_Austrian_German_Fusiliers"	"austria"	"Austria_Inf_Line_Austrian_German_Fusiliers"	"Inf_Line_Austrian_German_Fusiliers"
"Austria_Inf_Line_Austrian_Hungarian_Fusiliers"	"austria"	"Austria_Inf_Line_Austrian_Hungarian_Fusiliers"	"Inf_Line_Austrian_Hungarian_Fusiliers"
"Austria_Inf_Militia_Austrian_Landesschutzen"	"austria"	"Austria_Inf_Militia_Austrian_Landesschutzen"	"Inf_Militia_Austrian_Landesschutzen"
"Austria_Inf_Militia_Austrian_Landwehr"	"austria"	"Austria_Inf_Militia_Austrian_Landwehr"	"Inf_Militia_Austrian_Landwehr"
"Austria_Inf_Mob_Armed_Citizenry"	"austria"	"Austria_Inf_Mob_Armed_Citizenry"	"Inf_Mob_Armed_Citizenry"
"Austria_Inf_Skirm_Austrian_Jager"	"austria"	"Austria_Inf_Skirm_Austrian_Jager"	"Inf_Skirm_Austrian_Jager"
"Austria_Inf_Skirm_Austrian_Windbucshe_Jager"	"austria"	"Austria_Inf_Skirm_Austrian_Windbucshe_Jager"	"Inf_Skirm_Austrian_Windbucshe_Jager"
"Austrian_Rebels_Art_Foot_12_lber"	"austrian_rebels"	"Austrian_Rebels_Art_Foot_12_lber"	"Art_Foot_12_lber"
