version 1, schema ancillary_to_included_agents_tables, guid 372ddc29-dcb6-4de7-9abc-f7d0032df025
Ancillary_IDRef(string)	Agent_IDRef(string)
"s2_anc_bosh_hovercraft_eels"	"boshin_veteran"
"s2_anc_pdlc_daimyo_civil_judge"	"General"
"s2_anc_pdlc_daimyo_civil_secretary"	"General"
"s2_anc_pdlc_daimyo_civil_servant"	"General"
"s2_anc_pdlc_daimyo_governor"	"General"
"s2_anc_pdlc_daimyo_little_tea_pot_1"	"General"
"s2_anc_pdlc_daimyo_little_tea_pot_2"	"General"
"s2_anc_pdlc_daimyo_little_tea_pot_3"	"General"
"s2_anc_pdlc_daimyo_pet_tiger"	"General"
"s2_anc_pdlc_daimyo_samurai_senior"	"General"
"s2_anc_pdlc_daimyo_vassal"	"General"
"s2_anc_pdlc_general_bow_practice"	"General"
"s2_anc_pdlc_general_bow_target_long"	"General"
"s2_anc_pdlc_general_bow_target_medium"	"General"
"s2_anc_pdlc_general_bow_target_short"	"General"
"s2_anc_pdlc_general_governor"	"General"
"s2_anc_pdlc_general_governor_zuryo"	"General"
"s2_anc_pdlc_general_mii_dera"	"General"
"s2_anc_pdlc_general_monk_enryaky_ji"	"General"
"s2_anc_pdlc_general_moon_carp"	"General"
"s2_anc_pdlc_general_poet_chinese"	"General"
"s2_anc_pdlc_general_poet_nihon"	"General"
"s2_anc_pdlc_general_weapon_yoroi_toshi"	"General"
"s2_anc_pdlc_monk_follower_itako"	"gempei_monk"
"s2_anc_pdlc_monk_follower_itako"	"ikko_monk"
"s2_anc_pdlc_monk_follower_itako"	"monk"
"s2_anc_pdlc_monk_follower_komuso"	"ikko_monk"
"s2_anc_pdlc_monk_follower_komuso"	"monk"
"s2_anc_pdlc_monk_follower_miko_spirit"	"ikko_monk"
"s2_anc_pdlc_monk_follower_miko_spirit"	"monk"
"s2_anc_pdlc_monk_follower_miko_tea"	"gempei_monk"
"s2_anc_pdlc_monk_follower_miko_tea"	"ikko_monk"
"s2_anc_pdlc_monk_follower_miko_tea"	"monk"
"s2_anc_pdlc_monk_follower_ninja"	"gempei_monk"
"s2_anc_pdlc_monk_follower_ninja"	"ikko_monk"
"s2_anc_pdlc_monk_follower_ninja"	"monk"
"s2_anc_pdlc_monk_follower_noble"	"ikko_monk"
"s2_anc_pdlc_monk_follower_noble"	"monk"
"s2_anc_pdlc_monk_follower_ronin"	"ikko_monk"
"s2_anc_pdlc_monk_follower_ronin"	"monk"
"s2_anc_pdlc_monk_follower_yamahoshi"	"gempei_monk"
"s2_anc_pdlc_monk_follower_yamahoshi"	"ikko_monk"
"s2_anc_pdlc_monk_follower_yamahoshi"	"monk"
"s2_anc_pdlc_monk_item_beads"	"ikko_monk"
"s2_anc_pdlc_monk_item_beads"	"monk"
"s2_anc_pdlc_monk_item_bowl"	"gempei_monk"
"s2_anc_pdlc_monk_item_bowl"	"ikko_monk"
"s2_anc_pdlc_monk_item_bowl"	"monk"
"s2_anc_pdlc_monk_item_cup"	"ikko_monk"
"s2_anc_pdlc_monk_item_cup"	"monk"
"s2_anc_pdlc_monk_item_flute"	"gempei_monk"
"s2_anc_pdlc_monk_item_flute"	"ikko_monk"
"s2_anc_pdlc_monk_item_flute"	"monk"
"s2_anc_pdlc_monk_item_lotus"	"ikko_monk"
"s2_anc_pdlc_monk_item_lotus"	"monk"
"s2_anc_pdlc_monk_item_rice"	"ikko_monk"
"s2_anc_pdlc_monk_item_rice"	"monk"
"s2_anc_pdlc_monk_origami"	"ikko_monk"
"s2_anc_pdlc_monk_origami"	"monk"
"s2_anc_pdlc_monk_pet_cat"	"ikko_monk"
"s2_anc_pdlc_monk_pet_cat"	"monk"
"s2_anc_pdlc_monk_pet_cricket"	"ikko_monk"
"s2_anc_pdlc_monk_pet_cricket"	"monk"
