version 2, schema regions_tables, guid acd5ae7e-1ff1-4f17-ac83-1d872256d4f5
Region_ID(string)	Continent_IDRef(string)	R(int)	G(int)	B(int)	unknown6(string)
"bos_aki"	"cont_japan"	51	102	51	"Aki"
"bos_aomori"	"cont_japan"	83	29	79	"Aomori"
"bos_awa"	"cont_japan"	204	153	102	"Awa"
"bos_awaji"	"cont_japan"	51	255	255	"Awaji"
"bos_bingo"	"cont_japan"	0	51	0	"Bingo"
"bos_bitchu"	"cont_japan"	0	204	0	"Bitchu"
"bos_bizen"	"cont_japan"	51	255	51	"Bizen"
"bos_bungo"	"cont_japan"	102	102	51	"Bungo"
"bos_buzen"	"cont_japan"	153	153	102	"Buzen"
"bos_echigo"	"cont_japan"	255	153	204	"Echigo"
"bos_echizen"	"cont_japan"	51	51	255	"Echizen"
"bos_etchu"	"cont_japan"	102	51	102	"Etchu"
"bos_france_base"	"cont_japan"	100	100	100	"France Base"
"bos_fukushima"	"cont_japan"	204	102	153	"Fukushima"
"bos_goto_island"	"cont_japan"	0	255	186	"Goto Island"
"bos_great_britain_base"	"cont_japan"	101	101	101	"Great Britain Base"
"bos_harima"	"cont_japan"	0	51	51	"Harima"
"bos_hida"	"cont_japan"	204	153	204	"Hida"
"bos_higo"	"cont_japan"	153	153	51	"Higo"
"bos_hitachi"	"cont_japan"	102	0	51	"Hitachi"
"bos_hiyama"	"cont_japan"	168	163	104	"Hiyama"
"bos_hizen"	"cont_japan"	255	255	204	"Hizen"
"bos_hoki"	"cont_japan"	0	153	0	"Hoki"
"bos_hyuga"	"cont_japan"	204	204	51	"Hyuga"
"bos_iburi"	"cont_japan"	184	169	1	"Iburi"
"bos_iga"	"cont_japan"	0	0	153	"Iga"
"bos_inaba"	"cont_japan"	102	153	153	"Inaba"
"bos_ise"	"cont_japan"	0	0	102	"Ise"
"bos_iwami"	"cont_japan"	102	153	102	"Iwami"
"bos_iwate"	"cont_japan"	153	0	51	"Iwate"
