version 2, schema warscape_equipment_themes_tables, guid 823cba0c-6bc9-44fa-b8b0-a2b937099b21
Warscape_Equipment_Theme_ID(string)	Primary_Weapon(optstring)	Secondary_Weapon(optstring)	Shield(optstring)	Equipment(optstring)	Instrument(optstring)	unknown7(optstring)
"boshin_american"	"boshin_minnie"	"boshin_sabre"	nil	"boshin_american_bp"	nil	nil
"boshin_british"	"boshin_snider"	"boshin_sabre"	nil	"boshin_british_bp"	nil	nil
"boshin_campaign_colt"	"boshin_campaign_pistol"	"boshin_campaign_sabre"	nil	nil	nil	nil
"boshin_cav_lance"	"boshin_cav_lance"	nil	nil	nil	nil	nil
"boshin_chassepot"	"boshin_chassepot"	"shogun_katana"	nil	nil	nil	nil
"boshin_chassepot_bp_1"	"boshin_chassepot"	"shogun_katana"	nil	"boshin_japan_bp_1"	nil	nil
"boshin_chassepot_bp_2"	"boshin_chassepot"	"shogun_katana"	nil	"boshin_japan_bp_2"	nil	nil
"boshin_flag"	"boshin_sabre"	nil	nil	nil	nil	"boshin_flag"
"boshin_french"	"boshin_chassepot"	"boshin_sabre"	nil	"boshin_french_bp"	nil	nil
"boshin_general"	"boshin_colt"	"boshin_sabre"	nil	nil	nil	nil
"boshin_katana_pistol"	"boshin_colt"	"shogun_katana"	nil	nil	nil	nil
"boshin_minnie"	"boshin_minnie"	"shogun_katana"	nil	nil	nil	nil
"boshin_minnie_ammo"	"boshin_minnie"	"shogun_katana"	nil	"boshin_ammo_pouch_a"	nil	nil
"boshin_minnie_bp_1"	"boshin_minnie"	"shogun_katana"	nil	"boshin_japan_bp_1"	nil	nil
"boshin_minnie_bp_2"	"boshin_minnie"	"shogun_katana"	nil	"boshin_japan_bp_2"	nil	nil
"boshin_pistol"	"boshin_colt"	"boshin_sabre"	nil	nil	nil	nil
"boshin_revolver"	"boshin_colt"	"boshin_sabre"	nil	"boshin_colt3"	nil	nil
"boshin_sabre"	"boshin_sabre"	nil	nil	nil	nil	nil
"boshin_snider"	"boshin_snider"	"shogun_katana"	nil	"boshin_ammo_pouch_a"	nil	nil
"boshin_snider_ammo"	"boshin_snider"	"shogun_katana"	nil	"boshin_ammo_pouch"	nil	nil
"boshin_snider_bp_1"	"boshin_snider"	"shogun_katana"	nil	"boshin_japan_bp_1"	nil	nil
"boshin_snider_bp_2"	"boshin_snider"	"shogun_katana"	nil	"boshin_japan_bp_2"	nil	nil
"boshin_spencer"	"boshin_spencer"	"shogun_katana"	nil	"boshin_ammo_pouch"	nil	nil
