version 1, schema trait_info_tables
Trait_IDRef(string)	Game_Entity(string)
"C_Tribal_Leader_Cursed_Iroquois_Flying_Head"	"agent"
"C_Tribal_Leader_Debauched"	"agent"
"C_Tribal_Leader_Dullard"	"agent"
"C_Tribal_Leader_Foreign_Tastes"	"agent"
"C_Tribal_Leader_Harsh_Ruler"	"agent"
"C_Tribal_Leader_Hindu"	"agent"
"C_Tribal_Leader_Huntin_Shootin_Fishin"	"agent"
"C_Tribal_Leader_Islamic"	"agent"
"C_Tribal_Leader_Mad"	"agent"
"C_Tribal_Leader_Orthodox"	"agent"
"C_Tribal_Leader_Peacemaker"	"agent"
"C_Tribal_Leader_Plains_Cursed"	"agent"
"C_Tribal_Leader_Protestant"	"agent"
"C_Tribal_Minister_Agriculturalist"	"agent"
"C_Tribal_Minister_Army_Good"	"agent"
"C_Tribal_Minister_Industrialist"	"agent"
"C_Tribal_Minister_Trader"	"agent"
"C_Tribal_Scout_Good_Army_Sabotage"	"agent"
"C_Tribal_Scout_Good_Assassin"	"agent"
"C_Tribal_Scout_Good_Spy"	"agent"
"C_Tribal_Scout_Sabot_Good"	"agent"
"C_Tribal_Shaman_Likes_Mushrooms"	"agent"
"C_Tribal_Shaman_Plains_Buffalo_Dancer"	"agent"
"C_Tribal_Shaman_Powwow"	"agent"
"C_Tribal_Shaman_Pueblo_Sun_Dancer"	"agent"
"C_Tribal_Shaman_Research_Military"	"agent"
"C_Admiral_Attacker_Bad"	"agent"
"C_Admiral_Attacker_Good"	"agent"
"C_Admiral_Bad"	"agent"
"C_Admiral_Blockade_Runner_Good"	"agent"
"C_Admiral_Blockader_Good"	"agent"
"C_Admiral_Boring_Speaker"	"agent"
"C_Admiral_Born_Sailor"	"agent"
"C_Admiral_Brave"	"agent"
"C_Admiral_British_Drakes_Drum"	"agent"
"C_Admiral_Coward"	"agent"
"C_Admiral_Cruisers"	"agent"
"C_Admiral_Defender_Bad"	"agent"
"C_Admiral_Defender_Good"	"agent"
"C_Admiral_Drunkard"	"agent"
"C_Admiral_Dutch_Seamanship"	"agent"
"C_Admiral_Good"	"agent"
"C_Admiral_Lampooned"	"agent"
"C_Admiral_Mad"	"agent"
"C_Admiral_Martinet"	"agent"
"C_Admiral_Mathematician"	"agent"
"C_Admiral_Press_Hero"	"agent"
"C_Admiral_Rated_Ships"	"agent"
"C_Admiral_Slacker"	"agent"
"C_Admiral_Sobriety"	"agent"
"C_Admiral_Spanish_National_Pride"	"agent"
"C_Admiral_Swashbuckling"	"agent"
"C_Agent_Secret_Police"	"agent"
"C_Agent_Spy_Network"	"agent"
"C_Feck_Vice"	"agent"
"C_General_Ambush_Good"	"agent"
"C_General_Ambusher_Bad"	"agent"
"C_General_Americas_Bad"	"agent"
"C_General_Americas_Good"	"agent"
"C_General_Attacker_Bad"	"agent"
"C_General_Attacker_Good"	"agent"
"C_General_Austrian_Hates_Ottomans"	"agent"
"C_General_Bad_Field_Commander"	"agent"
"C_General_Bloody"	"agent"
"C_General_Born_Soldier"	"agent"
"C_General_Brave"	"agent"
"C_General_Coward"	"agent"
"C_General_Defender_Bad"	"agent"
"C_General_Defender_Good"	"agent"
"C_General_Drunkard"	"agent"
"C_General_French_Elan"	"agent"
"C_General_Good_Field_Commander"	"agent"
"C_General_India_Bad"	"agent"
"C_General_India_Good"	"agent"
"C_General_Lampooned"	"agent"
"C_General_Mad"	"agent"
"C_General_Marine_Bad"	"agent"
"C_General_Marine_Good"	"agent"
"C_General_Martinet"	"agent"
"C_General_Mughal_Anti_European"	"agent"
"C_General_of_Artillery"	"agent"
"C_General_of_Cavalry"	"agent"
"C_General_of_Infantry"	"agent"
"C_General_Polish_Stubborn"	"agent"
"C_General_Press_Hero"	"agent"
"C_General_Prussian_Blue"	"agent"
"C_General_Russian_Vodka"	"agent"
"C_General_Scout"	"agent"
"C_General_Siege_Attack_Bad"	"agent"
"C_General_Siege_Attack_Good"	"agent"
"C_General_Siege_Defend_Bad"	"agent"
"C_General_Siege_Defend_Good"	"agent"
"C_General_Slacker"	"agent"
"C_General_Swedish_Aggression"	"agent"
"C_General_Turkish_Master_Gunner"	"agent"
"C_General_US_Backwoodsman"	"agent"
"C_General_Warlord"	"agent"
"C_Gent_Academic_Honours"	"agent"
"C_Gent_Duelling_Pistol"	"agent"
"C_Gent_Duelling_Sword"	"agent"
"C_Gent_Research_Agriculture"	"agent"
"C_Gent_Research_Economics"	"agent"
"C_Gent_Research_Industry"	"agent"
"C_Gent_Research_Military"	"agent"
"C_Gent_Research_Navy"	"agent"
"C_Gent_Research_Philosophy"	"agent"
"C_Gent_Science_Club"	"agent"
"C_Honourable_Service"	"agent"
"C_Infected_Cholera"	"agent"
"C_Infected_Dengue_Fever"	"agent"
"C_Infected_Dysentry"	"agent"
"C_Infected_Influenza"	"agent"
"C_Infected_Leprosy"	"agent"
"C_Infected_Malaria"	"agent"
"C_Infected_Measles"	"agent"
"C_Infected_Plague"	"agent"
"C_Infected_Scurvy"	"agent"
"C_Infected_Smallpox"	"agent"
"C_Infected_TB"	"agent"
"C_Infected_Typhus"	"agent"
"C_Infected_Yellow_Fever"	"agent"
"C_Leader_Agent_99"	"agent"
"C_Leader_Army_Buff"	"agent"
"C_Leader_Clever_Stick"	"agent"
"C_Leader_Debauched"	"agent"
"C_Leader_Dullard"	"agent"
"C_Leader_Enlightened_Despot"	"agent"
"C_Leader_Favourites"	"agent"
"C_Leader_Fertile"	"agent"
"C_Leader_Foreign_Tastes"	"agent"
"C_Leader_Harsh_Ruler"	"agent"
"C_Leader_Humanist"	"agent"
"C_Leader_Huntin_Shootin_Fishin"	"agent"
"C_Leader_Inbred"	"agent"
"C_Leader_Infertile"	"agent"
"C_Leader_Intellectual_Pretensions"	"agent"
"C_Leader_M"	"agent"
"C_Leader_Mad"	"agent"
"C_Leader_Merit"	"agent"
"C_Leader_Mr_Waverley"	"agent"
"C_Leader_Natural_King"	"agent"
"C_Leader_Natural_President"	"agent"
"C_Leader_Navy_Buff"	"agent"
"C_Leader_Philistine"	"agent"
"C_Leader_Uncouth"	"agent"
"C_Leader_Witty"	"agent"
"C_Minister_Army_Good"	"agent"
"C_Minister_Corrupt"	"agent"
"C_Minister_Entertainer"	"agent"
"C_Minister_Fiscal_Genius"	"agent"
"C_Minister_Industrialist"	"agent"
"C_Minister_Miser"	"agent"
"C_Minister_Navy_Good"	"agent"
"C_Minister_Physiocrat"	"agent"
"C_Minister_Radical"	"agent"
"C_Minister_Reactionary"	"agent"
