version 1, schema unit_movement_modifiers_tables
Movement_Modifier(string)	Horse_Artillery(float)	Foot_Artillery(float)	Cavalry(float)	Infantry(float)
"field_ploughed"	0.7	0.8	0.85	0.9
"field_ploughed_wet"	0.8	0.85	0.9	0.95
"grassland"	0.9	0.95	1	1
"mud"	0.75	0.8	0.85	0.87
"mud_wet"	0.7	0.75	0.82	0.85
"road"	1	1	1	1
"road_frozen"	1	1	1	1
"rock"	0.8	0.85	0.9	0.95
"sand"	0.7	0.75	0.8	0.85
"sand_wet"	0.75	0.8	0.85	0.9
"scree"	0.65	0.7	0.75	0.8
"snow"	0.7	0.75	0.8	0.8
"stone_masonry"	1	1	1	1
"vegetation_dense_forest"	0.6	0.65	0.7	0.75
"vegetation_light_scrub"	0.75	0.8	0.85	0.9
"vegetation_medium_woodland"	0.7	0.75	0.8	0.85
"water_deep"	0.3	0.35	0.4	0.45
"water_frozen"	0.43	0.45	0.5	0.55
"water_medium_ford"	0.45	0.5	0.55	0.6
"water_shallow"	0.55	0.6	0.65	0.7
"wood"	1	1	1	1
