version 1, schema groupings_factions_junct_tables
Faction_x0020_Group(string)	Faction(string)
"all_european_factions"	"austria"
"all_european_factions"	"britain"
"all_european_factions"	"france"
"all_european_factions"	"netherlands"
"all_european_factions"	"ottomans"
"all_european_factions"	"poland_lithuania"
"all_european_factions"	"prussia"
"all_european_factions"	"russia"
"all_european_factions"	"spain"
"all_european_factions"	"sweden"
"all_european_factions_us"	"austria"
"all_european_factions_us"	"britain"
"all_european_factions_us"	"france"
"all_european_factions_us"	"netherlands"
"all_european_factions_us"	"ottomans"
"all_european_factions_us"	"poland_lithuania"
"all_european_factions_us"	"prussia"
"all_european_factions_us"	"russia"
"all_european_factions_us"	"spain"
"all_european_factions_us"	"sweden"
"all_european_factions_us"	"united_states"
"all_factions"	"austria"
"all_factions"	"britain"
"all_factions"	"france"
"all_factions"	"maratha"
"all_factions"	"mughal"
"all_factions"	"netherlands"
"all_factions"	"ottomans"
"all_factions"	"poland_lithuania"
"all_factions"	"prussia"
"all_factions"	"russia"
"all_factions"	"spain"
"all_factions"	"sweden"
"all_factions"	"united_states"
"faction_austria"	"austria"
"faction_britain"	"britain"
"faction_france"	"france"
"faction_netherlands"	"netherlands"
"faction_ottomans"	"ottomans"
"faction_poland"	"poland_lithuania"
"faction_prussia"	"prussia"
"faction_russia"	"russia"
"faction_spain"	"spain"
"faction_sweden"	"sweden"
"faction_us"	"united_states"
"factions_india"	"maratha"
"factions_india"	"mughal"
