version 1, schema campaign_map_tooltips_tables
Unknown1(string)	tooltip_ID(string)
"army"	"land_can_disembark"
"army"	"land_can_disembark_can_ambush"
"army"	"land_cannot_disembark"
"army"	"land_cannot_disembark_can_ambush"
"army"	"non_player_army"
"army"	"non_player_fort"
"army"	"non_player_land_trade_route"
"army"	"non_player_navy_at_sea"
"army"	"non_player_navy_in_port"
"army"	"non_player_port_occupied"
"army"	"non_player_port_unoccupied"
"army"	"non_player_region_capital"
"army"	"non_player_resource"
"army"	"non_player_town"
"army"	"non_player_university"
"army"	"player_army"
"army"	"player_army_can_ambush"
"army"	"player_fort"
"army"	"player_navy"
"army"	"player_port"
"army"	"player_region_capital"
"army"	"player_resource"
"army"	"player_town"
"army"	"player_university"
"army_can_ambush"	"land_can_disembark"
"army_can_ambush"	"land_can_disembark_can_ambush"
"army_can_ambush"	"land_cannot_disembark"
"army_can_ambush"	"land_cannot_disembark_can_ambush"
"army_can_ambush"	"non_player_army"
"army_can_ambush"	"non_player_fort"
"army_can_ambush"	"non_player_land_trade_route"
"army_can_ambush"	"non_player_navy_at_sea"
"army_can_ambush"	"non_player_navy_in_port"
"army_can_ambush"	"non_player_port_occupied"
"army_can_ambush"	"non_player_port_unoccupied"
"army_can_ambush"	"non_player_region_capital"
"army_can_ambush"	"non_player_resource"
"army_can_ambush"	"non_player_town"
"army_can_ambush"	"non_player_university"
"army_can_ambush"	"player_army"
"army_can_ambush"	"player_army_can_ambush"
"army_can_ambush"	"player_fort"
"army_can_ambush"	"player_navy"
"army_can_ambush"	"player_port"
"army_can_ambush"	"player_region_capital"
"army_can_ambush"	"player_resource"
"army_can_ambush"	"player_town"
"army_can_ambush"	"player_university"
"gentleman"	"land_can_disembark"
"gentleman"	"land_can_disembark_can_ambush"
"gentleman"	"land_cannot_disembark"
"gentleman"	"land_cannot_disembark_can_ambush"
"gentleman"	"non_player_army"
"gentleman"	"non_player_gentleman"
"gentleman"	"non_player_land_trade_route"
"gentleman"	"non_player_navy_at_sea"
"gentleman"	"non_player_navy_in_port"
"gentleman"	"non_player_port_occupied"
"gentleman"	"non_player_port_unoccupied"
"gentleman"	"non_player_rake"
"gentleman"	"non_player_region_capital"
"gentleman"	"non_player_resource"
"gentleman"	"non_player_town"
"gentleman"	"non_player_university"
"gentleman"	"player_army"
"gentleman"	"player_army_can_ambush"
"gentleman"	"player_fort"
"gentleman"	"player_navy"
"gentleman"	"player_port"
"gentleman"	"player_region_capital"
"gentleman"	"player_resource"
"gentleman"	"player_town"
"gentleman"	"player_university"
"missionary"	"land_can_disembark"
"missionary"	"land_can_disembark_can_ambush"
"missionary"	"land_cannot_disembark"
"missionary"	"land_cannot_disembark_can_ambush"
"missionary"	"non_player_army"
"missionary"	"non_player_land_trade_route"
"missionary"	"non_player_navy_at_sea"
"missionary"	"non_player_navy_in_port"
"missionary"	"non_player_port_occupied"
"missionary"	"non_player_port_unoccupied"
"missionary"	"non_player_region_capital"
"missionary"	"non_player_resource"
"missionary"	"non_player_town"
"missionary"	"non_player_university"
"missionary"	"player_army"
"missionary"	"player_army_can_ambush"
"missionary"	"player_navy"
"missionary"	"player_port"
"missionary"	"player_region_capital"
"missionary"	"player_resource"
"missionary"	"player_town"
"missionary"	"player_university"
"navy_empty"	"non_player_army"
"navy_empty"	"non_player_navy_at_sea"
"navy_empty"	"non_player_navy_in_port"
"navy_empty"	"non_player_port_occupied"
"navy_empty"	"non_player_port_unoccupied"
"navy_empty"	"non_player_region_capital"
"navy_empty"	"non_player_resource"
"navy_empty"	"non_player_sea_trade_route"
"navy_empty"	"non_player_town"
"navy_empty"	"non_player_university"
"navy_empty"	"player_army"
"navy_empty"	"player_army_can_ambush"
"navy_empty"	"player_navy"
"navy_empty"	"player_port"
"navy_empty"	"player_region_capital"
"navy_empty"	"player_resource"
"navy_empty"	"player_town"
"navy_empty"	"player_university"
"navy_empty"	"sea"
"navy_empty"	"sea_trade_post"
"navy_empty"	"sea_trade_post_can_attack"
"navy_empty"	"theatre_transition"
"navy_that_can_trade"	"sea_trade_post"
"navy_that_can_trade"	"sea_trade_post_can_attack"
"navy_transporting"	"land_can_disembark"
"navy_transporting"	"land_can_disembark_can_ambush"
"navy_transporting"	"land_cannot_disembark"
"navy_transporting"	"land_cannot_disembark_can_ambush"
"navy_transporting"	"non_player_army"
"navy_transporting"	"non_player_land_trade_route"
"navy_transporting"	"non_player_navy_at_sea"
"navy_transporting"	"non_player_navy_in_port"
"navy_transporting"	"non_player_port_occupied"
"navy_transporting"	"non_player_port_unoccupied"
"navy_transporting"	"non_player_region_capital"
"navy_transporting"	"non_player_resource"
"navy_transporting"	"non_player_sea_trade_route"
"navy_transporting"	"non_player_town"
"navy_transporting"	"non_player_university"
"navy_transporting"	"player_agent_other"
"navy_transporting"	"player_army"
"navy_transporting"	"player_army_can_ambush"
"navy_transporting"	"player_navy"
"navy_transporting"	"player_port"
"navy_transporting"	"player_rake"
"navy_transporting"	"player_region_capital"
"navy_transporting"	"player_resource"
"navy_transporting"	"player_town"
"navy_transporting"	"player_university"
"navy_transporting"	"sea"
"navy_transporting"	"sea_trade_post"
"navy_transporting"	"sea_trade_post_can_attack"
"navy_transporting"	"theatre_transition"
"none_or_self"	"navy_that_can_trade"
"none_or_self"	"non_player_agent_other"
"none_or_self"	"non_player_army"
"none_or_self"	"non_player_fort"
"none_or_self"	"non_player_gentleman"
"none_or_self"	"non_player_land_trade_route"
"none_or_self"	"non_player_navy_at_sea"
"none_or_self"	"non_player_navy_in_port"
"none_or_self"	"non_player_port_occupied"
"none_or_self"	"non_player_port_unoccupied"
"none_or_self"	"non_player_rake"
"none_or_self"	"non_player_region_capital"
"none_or_self"	"non_player_resource"
"none_or_self"	"non_player_sea_trade_route"
"none_or_self"	"non_player_town"
"none_or_self"	"non_player_university"
"none_or_self"	"player_agent_other"
"none_or_self"	"player_army"
"none_or_self"	"player_army_can_ambush"
"none_or_self"	"player_fort"
"none_or_self"	"player_harbour"
"none_or_self"	"player_navy"
"none_or_self"	"player_port"
"none_or_self"	"player_rake"
"none_or_self"	"player_region_capital"
"none_or_self"	"player_resource"
"none_or_self"	"player_town"
"none_or_self"	"player_university"
"none_or_self"	"player_village"
"none_or_self"	"theatre_transition"
"other_agent"	"land_can_disembark"
"other_agent"	"land_can_disembark_can_ambush"
"other_agent"	"land_cannot_disembark"
"other_agent"	"land_cannot_disembark_can_ambush"
"other_agent"	"non_player_agent_other"
"other_agent"	"non_player_army"
"other_agent"	"non_player_gentleman"
"other_agent"	"non_player_land_trade_route"
"other_agent"	"non_player_navy_at_sea"
"other_agent"	"non_player_navy_in_port"
"other_agent"	"non_player_port_occupied"
"other_agent"	"non_player_port_unoccupied"
"other_agent"	"non_player_rake"
"other_agent"	"non_player_region_capital"
"other_agent"	"non_player_resource"
"other_agent"	"non_player_town"
"other_agent"	"non_player_university"
"other_agent"	"player_army"
"other_agent"	"player_army_can_ambush"
"other_agent"	"player_navy"
"other_agent"	"player_port"
"other_agent"	"player_region_capital"
"other_agent"	"player_resource"
"other_agent"	"player_town"
"other_agent"	"player_university"
"rake"	"land_can_disembark"
"rake"	"land_can_disembark_can_ambush"
"rake"	"land_cannot_disembark"
"rake"	"land_cannot_disembark_can_ambush"
"rake"	"non_player_agent_other"
"rake"	"non_player_army"
"rake"	"non_player_fort"
"rake"	"non_player_gentleman"
"rake"	"non_player_land_trade_route"
"rake"	"non_player_navy_at_sea"
"rake"	"non_player_navy_in_port"
"rake"	"non_player_port_occupied"
"rake"	"non_player_port_unoccupied"
"rake"	"non_player_rake"
"rake"	"non_player_region_capital"
"rake"	"non_player_resource"
"rake"	"non_player_town"
"rake"	"non_player_university"
"rake"	"player_army"
"rake"	"player_army_can_ambush"
"rake"	"player_fort"
"rake"	"player_navy"
"rake"	"player_port"
"rake"	"player_region_capital"
"rake"	"player_resource"
"rake"	"player_town"
"rake"	"player_university"
"researchers_who_cannot_duel"	"land_can_disembark"
"researchers_who_cannot_duel"	"land_can_disembark_can_ambush"
"researchers_who_cannot_duel"	"land_cannot_disembark"
"researchers_who_cannot_duel"	"land_cannot_disembark_can_ambush"
"researchers_who_cannot_duel"	"non_player_army"
"researchers_who_cannot_duel"	"non_player_land_trade_route"
"researchers_who_cannot_duel"	"non_player_navy_at_sea"
"researchers_who_cannot_duel"	"non_player_navy_in_port"
"researchers_who_cannot_duel"	"non_player_port_occupied"
"researchers_who_cannot_duel"	"non_player_port_unoccupied"
"researchers_who_cannot_duel"	"non_player_region_capital"
"researchers_who_cannot_duel"	"non_player_resource"
"researchers_who_cannot_duel"	"non_player_town"
"researchers_who_cannot_duel"	"non_player_university"
"researchers_who_cannot_duel"	"player_army"
"researchers_who_cannot_duel"	"player_army_can_ambush"
"researchers_who_cannot_duel"	"player_navy"
"researchers_who_cannot_duel"	"player_port"
"researchers_who_cannot_duel"	"player_region_capital"
"researchers_who_cannot_duel"	"player_resource"
"researchers_who_cannot_duel"	"player_town"
"researchers_who_cannot_duel"	"player_university"
