version 1, schema campaign_map_slots_tables
Campaign_Map_Slot_ID(string)	Region(string)	Slot(string)	Unknown1(blob:5)
"gold:eur_austria:rauris"	"eur_austria"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_hessen_nassau:fulda"	"eur_hessen_nassau"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_northern_italy:modena"	"eur_northern_italy"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_papal_state:assisi"	"eur_papal_state"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_pays_d_oc:beziers"	"eur_pays_d_oc"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_portugal:covilha"	"eur_portugal"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_sardinia:iglesias"	"eur_sardinia"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_silesia:brzeg"	"eur_silesia"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_spain:penarroya"	"eur_spain"	"gold"	"\x00\x00\x00\x00\x00"
"gold:eur_venetia:saonara"	"eur_venetia"	"gold"	"\x00\x00\x00\x00\x00"
"gold:ita_tyrol:schwaz"	"ita_tyrol"	"gold"	"\x00\x00\x00\x00\x00"
"gold:spa_leon:las_medulas"	"spa_leon"	"gold"	"\x00\x00\x00\x00\x00"
"gold:spa_sevilla:huelva"	"spa_sevilla"	"gold"	"\x00\x00\x00\x00\x00"
"horses:egy_fayum_oasis:birket_qarum"	"egy_fayum_oasis"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_hedjaz:al_bir"	"egy_hedjaz"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_helwan:fayid"	"egy_helwan"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_north_sinai:bir_el_abd"	"egy_north_sinai"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_rif_dimashq:dara"	"egy_rif_dimashq"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_sharqia:lake_manzala"	"egy_sharqia"	"horses"	"\x00\x00\x00\x00\x00"
"horses:egy_syrian_coast:safita"	"egy_syrian_coast"	"horses"	"\x00\x00\x00\x00\x00"
"iron:egy_arabah:timna_valley"	"egy_arabah"	"iron"	"\x00\x00\x00\x00\x00"
"iron:egy_cyprus:skouriotissa"	"egy_cyprus"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_alsace_lorraine:nancy"	"eur_alsace_lorraine"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_austria:graz"	"eur_austria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_balkans:mostar"	"eur_balkans"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_bohemia:ostrau"	"eur_bohemia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_brandenburg:wolfsburg"	"eur_brandenburg"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_cleves_mark:siegen"	"eur_cleves_mark"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_england:coalbrookdale"	"eur_england"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_france:chateauroux"	"eur_france"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_moravia:prerov"	"eur_moravia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_piemont_liguria:asti"	"eur_piemont_liguria"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_rumelia:plovdiv"	"eur_rumelia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_saxony_thuringia:leipzig"	"eur_saxony_thuringia"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_scotland:dumfries"	"eur_scotland"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_smolensk_guberniya:orsha"	"eur_smolensk_guberniya"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_sweden:hallstavik"	"eur_sweden"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_tyrol:bozen"	"eur_tyrol"	"iron"	"\x00\x00\x00\x00\x00"
"iron:eur_wales:caernarfon"	"eur_wales"	"iron"	"\x00\x00\x00\x00\x00"
"iron:spa_asturias:langreo"	"spa_asturias"	"iron"	"\x00\x00\x00\x00\x00"
"iron:spa_cataluna:ripoll"	"spa_cataluna"	"iron"	"\x00\x00\x00\x00\x00"
"iron:spa_cordoba:bailen"	"spa_cordoba"	"iron"	"\x00\x00\x00\x00\x00"
"pasture:eur_brandenburg:pritzwalk"	"eur_brandenburg"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_england:peterborough"	"eur_england"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_france:le_mans"	"eur_france"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_frisia:emden"	"eur_frisia"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_hannover:luneburg"	"eur_hannover"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_hungary:csongrad"	"eur_hungary"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_lithuania:brest-litovsk"	"eur_lithuania"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_little_tatary:tokmak"	"eur_little_tatary"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_mecklenburg:rostock"	"eur_mecklenburg"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_moscow_guberniya:tula"	"eur_moscow_guberniya"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:eur_spain:valladolid"	"eur_spain"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:ita_massa_carrara:sarzana"	"ita_massa_carrara"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:ita_torino:ivrea"	"ita_torino"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:spa_castilla_la_vieja:arevalo"	"spa_castilla_la_vieja"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:spa_cuenca:molina_de_aragon"	"spa_cuenca"	"horses"	"\x00\x00\x00\x00\x00"
"pasture:spa_sevilla:jerez_de_la_frontera"	"spa_sevilla"	"horses"	"\x00\x00\x00\x00\x00"
"timber:egy_north_lebanon:batroun"	"egy_north_lebanon"	"timber"	"\x00\x00\x00\x00\x00"
"timber:egy_western_delta:idku"	"egy_western_delta"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_bavaria:coburg"	"eur_bavaria"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_courland:valdemarpils"	"eur_courland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_estonia_livonia:valmiera"	"eur_estonia_livonia"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_finland:lathi"	"eur_finland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_france:limoges"	"eur_france"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_greater_poland:Mszczonow"	"eur_greater_poland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_ingria:bugry"	"eur_ingria"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_moscow_guberniya:kovrov"	"eur_moscow_guberniya"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_norway:porsgrunn"	"eur_norway"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_novgorod:borovichi"	"eur_novgorod"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_sweden:nybro"	"eur_sweden"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_switzerland:basel"	"eur_switzerland"	"timber"	"\x00\x00\x00\x00\x00"
"timber:eur_transylvania:kronstadt"	"eur_transylvania"	"timber"	"\x00\x00\x00\x00\x00"
"timber:ita_carinthia:millstatt"	"ita_carinthia"	"timber"	"\x00\x00\x00\x00\x00"
"timber:spa_basses_pyrenees:arette"	"spa_basses_pyrenees"	"timber"	"\x00\x00\x00\x00\x00"
"timber:spa_galicia:ourense"	"spa_galicia"	"timber"	"\x00\x00\x00\x00\x00"
"timber:spa_lisboa:leiria"	"spa_lisboa"	"timber"	"\x00\x00\x00\x00\x00"
"timber:spa_valencia:sinarcas"	"spa_valencia"	"timber"	"\x00\x00\x00\x00\x00"
"wheat:egy_beheira:itay_al_barud"	"egy_beheira"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_beni_suef:biba"	"egy_beni_suef"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_dakhalia:benha"	"egy_dakhalia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_dumyat:belqas"	"egy_dumyat"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_el_jnoub:jazzin"	"egy_el_jnoub"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_galilee:safed"	"egy_galilee"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_judea:jericho"	"egy_judea"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_minya:mallawi"	"egy_minya"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_mount_lebanon:jounieh"	"egy_mount_lebanon"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_negev:al_madjal"	"egy_negev"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_palestine:qalqilyah"	"egy_palestine"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_qalyubia:dashur"	"egy_qalyubia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_sharqia:faqous"	"egy_sharqia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:egy_syria:salamieh"	"egy_syria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_austria:danube"	"eur_austria"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_belarus:homyel"	"eur_belarus"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_belgorod_guberniya:kursk"	"eur_belgorod_guberniya"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_brandenburg:prenzlau"	"eur_brandenburg"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_bretagne:pontrieux"	"eur_bretagne"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_croatia:osijek"	"eur_croatia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_denmark:aarhus"	"eur_denmark"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_east_prussia:tilsit"	"eur_east_prussia"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_england:yorkshire"	"eur_england"	"wheat"	"\x00\x00\x00\x00\x00"
"wheat:eur_flanders_wallonia:gent"	"eur_flanders_wallonia"	"wheat"	"\x00\x00\x00\x00\x00"
