version 1, schema battle_terrain_sets_tables
Terrain_Set_ID(string)	unknown1(int)	Season(string)	Colour_Map(string)	Blend_Map(string)	unknown2(optstring)	Cliff_Map(string)	Rock_Map(string)	Tiled_Map(string)	Detail_Map_0(string)	Detail_Map_11(string)	Detail_Map_12(string)	Detail_Map_13(string)	Forest_Underlay(string)	Climate(string)
"American_South"	0	"season_summer"	"BattleTerrain/colour_maps/wet2d"	"BattleTerrain/blend_maps/blend_map_lc_am_se_usa"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Swamprock2"	"BattleTerrain/rock_maps/Swamprock2"	"BattleTerrain/tiled_maps/south1"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_se_usa"	"mediterranean"
"Arid_Half_Green"	0	"season_summer"	"BattleTerrain/colour_maps/wild4"	"BattleTerrain/blend_maps/blend_map_lc_mediterranean"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Aridrock"	"BattleTerrain/rock_maps/Aridrock"	"BattleTerrain/tiled_maps/savannah2"	"BattleTerrain/detail_maps/arid_l0"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/detail_maps/arid_l1"	"BattleTerrain/forest_underlays/underlay_lc_eu_south_s_arid"	"mediterranean"
"Arid_Half_Green"	0	"season_winter"	"BattleTerrain/colour_maps/white1"	"BattleTerrain/blend_maps/blend_map_lc_mediterranean"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Aridrock"	"BattleTerrain/rock_maps/Aridrock"	"BattleTerrain/tiled_maps/snow4"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"mediterranean_winter"
"Beach_Pebbles"	0	"season_summer"	"BattleTerrain/colour_maps/blue1d"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/earth2c_bw"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/wild3d"	"Temperate"
"Beach_Sand_Dark"	0	"season_summer"	"BattleTerrain/colour_maps/blue1c"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/seabed2_bw"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/wild3d"	"Temperate"
"Beach_Sand_Smooth"	0	"season_summer"	"BattleTerrain/colour_maps/desert2c"	"BattleTerrain/blend_maps/blank"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/beach1b_bw"	"BattleTerrain/detail_maps/dry_l0"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/detail_maps/dry_l1"	"BattleTerrain/forest_underlays/wild3d"	"Temperate"
"Bushy"	0	"season_summer"	"BattleTerrain/colour_maps/wild5x"	"BattleTerrain/blend_maps/blend_map_lc_eu_north_humid"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temporaterock2"	"BattleTerrain/rock_maps/Temperaterock2"	"BattleTerrain/tiled_maps/bushy1"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_eu_north_humid"	"Temperate"
"Bushy"	0	"season_winter"	"BattleTerrain/colour_maps/white2"	"BattleTerrain/blend_maps/blend_map_lc_eu_north_humid"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temporaterock2"	"BattleTerrain/rock_maps/Temperaterock2"	"BattleTerrain/tiled_maps/snow1"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
"Central"	0	"season_summer"	"BattleTerrain/colour_maps/basefields2"	"BattleTerrain/blend_maps/blend_map_lc_am_us_central"	"BattleTerrain/grass_maps/default_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/grass2g"	"BattleTerrain/detail_maps/temp_l0"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_am_us_central"	"Temperate"
"Central"	0	"season_winter"	"BattleTerrain/colour_maps/white2"	"BattleTerrain/blend_maps/blend_map_lc_am_us_central"	"BattleTerrain/grass_maps/winter_grassmap"	"BattleTerrain/cliff_maps/Temperaterock"	"BattleTerrain/rock_maps/Temperaterock"	"BattleTerrain/tiled_maps/snow6b"	"BattleTerrain/detail_maps/cold_l0"	"BattleTerrain/detail_maps/cold_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/detail_maps/temp_l1"	"BattleTerrain/forest_underlays/underlay_lc_snow"	"Temperate_winter"
