version 1, schema _kv_rules_tables, guid 3ba5be94-3130-448a-a198-d455aee51581
Key(string)	Value(float)
"armour_melee_penetrating_divisor"	4
"armour_melee_piercing_divisor"	2
"armour_missile_penetrating_divisor"	4
"armour_missile_piercing_divisor"	2
"artillery_projectile_calibration_target_area"	35
"attackpower_extreme_range_multplier"	0.7
"attackpower_long_range_multiplier"	0.85
"battle_camera_max_distance_from_army"	200
"bayonet_melee_attack_bonus"	0
"bayonet_ring_reload_time_penalty"	0
"boarding_bonus_time"	60
"boarding_melee_attack_bonus"	10
"boarding_melee_defense_bonus"	10
"broadsides_accuracy_modifier"	0
"broadsides_damage_modifier"	1.5
"building_ignition_rain_multiplier"	0.25
"bulletproof_projectile_damage"	0.7
"charge_cool_down_time"	10
"climbing_walls_fall_chance_ashigaru"	0.012
"climbing_walls_fall_chance_samurai"	0.007999999448657036
"climbing_walls_min_width"	20
"climbing_walls_penalty_time"	5
"defense_melee_penetrating_divisor"	4
"defense_melee_piercing_divisor"	2
"defense_missile_penetrating_divisor"	4
"defense_missile_piercing_divisor"	2
"factor_attackdir_flankleft"	8
"factor_attackdir_flankright"	8
"factor_attackdir_front"	0
"factor_attackdir_rear"	25
"fire_and_advance_reload_modifier"	30
"fire_on_walls_accuracy_modifier"	10
"fire_on_walls_range_modifier"	10
"fire_on_walls_reload_modifier"	10
"fire_rocket_projectile_calibration_target_area"	30
"fire_volley_arrow_min_threshold"	0.1
"fire_volley_gun_min_threshold"	0.025
"fire_volley_max_aim_delay_ashigaru"	0.5
"fire_volley_max_aim_delay_samurai"	0.25
"firing_drill_improved_platoon_fire_reload_modifier"	50
"firing_drill_mass_fire_reload_modifier"	0
"firing_drill_platoon_fire_reload_modifier"	0
"firing_drill_rank_fire_reload_modifier"	0
"hnbonus_bayonet"	0
"hnbonus_melee_cavalry_v_infantry"	5
"hnbonus_melee_cavalry_v_squareinfantry"	0
"hnbonus_melee_loose_formation"	10
"land_mortar_projectile_calibration_target_area"	750
"last_stand_siege_accuracy_penalty"	-10
"last_stand_siege_melee_attacker"	15
"last_stand_siege_melee_defender"	-10
"last_stand_siege_reload_penalty"	-10
"magazine_explosion_interrupt_chance"	15
"magazine_explosion_radius"	25
"mangonel_projectile_calibration_target_area"	40
"melee_charge_factor_power_divisor"	1
"melee_entrenchement_level_multiplier"	3
"melee_environment_forest_multiplier"	0.2
"melee_height_delta_max"	1.5
"melee_height_delta_min"	-1.5
"melee_hn_to_xholds_0_max"	-6
"melee_hn_to_xholds_1_max"	0
"melee_hn_to_xholds_2_max"	6
"melee_hn_to_xholds_3_max"	12
"melee_xholds_knockback_0"	70
"melee_xholds_knockback_1"	90
"melee_xholds_knockback_2"	110
"melee_xholds_knockback_3"	150
"melee_xholds_knockback_4"	200
"melee_xholds_knockdown_0"	30
"melee_xholds_knockdown_1"	50
"melee_xholds_knockdown_2"	60
"melee_xholds_knockdown_3"	80
"melee_xholds_knockdown_4"	100
"melee_xholds_stepback_0"	70
"melee_xholds_stepback_1"	90
"melee_xholds_stepback_2"	130
"melee_xholds_stepback_3"	185
"melee_xholds_stepback_4"	270
"misfire_cannon_flintlock"	0
"misfire_cannon_matchlock"	0
"misfire_musket_flintlock"	0
"misfire_musket_matchlock"	0
"misfire_musket_percussion_cap"	0
"missile_cover_factor_excellent"	0
"missile_cover_factor_good"	0
"missile_cover_factor_none"	0
"missile_cover_factor_slight"	0
"missile_cover_factor_some"	0
"missile_distance_for_half_chance_hit"	100
"missile_distance_for_half_chance_hit_artillery"	300
"missile_distance_for_half_chance_hit_naval"	300
"missile_heavy_fog_accuracy_multiplier"	0.7
"missile_heavy_rain_accuracy_multiplier"	0.5
"missile_heavy_snow_accuracy_multiplier"	0.7
"missile_hn_to_xholds_0_max"	-6
"missile_hn_to_xholds_1_max"	0
"missile_hn_to_xholds_2_max"	6
"missile_hn_to_xholds_3_max"	12
"missile_light_fog_accuracy_multiplier"	0.7
"missile_light_rain_accuracy_multiplier"	0.9
"missile_light_snow_accuracy_multiplier"	0.7
"missile_medium_fog_accuracy_multiplier"	0.7
"missile_medium_rain_accuracy_multiplier"	0.7
"missile_medium_snow_accuracy_multiplier"	0.7
"missile_xholds_knockdown_0"	35
"missile_xholds_knockdown_1"	40
"missile_xholds_knockdown_2"	47
"missile_xholds_knockdown_3"	55
"missile_xholds_knockdown_4"	65
"naval_incendiary_projectile_chance_high"	40
"naval_incendiary_projectile_chance_low"	5
"naval_incendiary_projectile_chance_medium"	15
"naval_incendiary_projectile_chance_very_high"	80
"naval_incendiary_projectile_chance_very_low"	0.1
"naval_projectile_calibration_target_area"	9
"pike_wall_move_speed_modifier"	0.75
"projectile_calibration_target_area"	1
"projectile_damage_accuracy_multiplier"	0.25
"projectile_damage_armour_divisor"	0.5
"projectile_damage_base_multiplier"	60
"projectile_damage_defense_divisor"	4
"projectile_damage_distance_multiplier"	2
"projectile_damage_shield_divisor"	1
"projectile_environment_forest_multiplier"	0.2
"projectile_incendiary_chance_high"	0.003
"projectile_incendiary_chance_low"	0.0009999999310821295
